name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Dibella,0,WOD_Shrine_Dibella_01,556,348,14,32,5561434832,Tigonus,556.109,-348.75
Shrine of Dibella,0,WOD_Shrine_Dibella_01,595,378,31,63,5953137863,Tigonus,595.242,-378.5078125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,562,298,14,13,5621429813,Tigonus,562.109,-298.8984375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,537,331,73,47,5377333147,Tigonus,537.57,-331.6328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,592,382,122,44,59212238244,Tigonus,592.953,-382.65625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,575,330,8,96,5750833096,Tigonus,575.063,-330.25
Shrine of Dibella,0,WOD_Shrine_Dibella_01,512,355,49,105,51249355105,Tigonus,512.383,-355.1796875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,570,307,72,77,5707230777,Tigonus,570.563,-307.3984375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,579,296,59,6,5795929606,Tigonus,579.461,-296.953125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,587,299,3,115,58703299115,Tigonus,587.023,-299.1015625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,518,360,3,28,5180336028,Tigonus,518.023,-360.78125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,503,361,118,17,50311836117,Tigonus,503.922,-361.8671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,550,298,83,74,5508329874,Tigonus,550.648,-298.421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,583,343,35,72,5833534372,Tigonus,583.273,-343.4375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,551,309,13,83,5511330983,Tigonus,551.102,-309.3515625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,535,333,59,60,5355933360,Tigonus,535.461,-333.53125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,567,361,90,77,5679036177,Tigonus,567.703,-361.3984375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,536,359,81,13,5368135913,Tigonus,536.633,-359.8984375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,540,348,88,82,5408834882,Tigonus,540.688,-348.359375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,550,319,17,105,55017319105,Tigonus,550.133,-319.1796875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,544,354,19,86,5441935486,Tigonus,544.148,-354.328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,496,344,22,68,4962234468,Tigonus,496.172,-344.46875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,566,331,70,96,5667033196,Tigonus,566.547,-331.25
Shrine of Dibella,0,WOD_Shrine_Dibella_01,555,362,31,63,5553136263,Tigonus,555.242,-362.5078125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,553,364,104,13,55310436413,Tigonus,553.813,-364.8984375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,538,343,3,5,5380334305,Tigonus,538.023,-343.9609375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,573,297,90,45,5739029745,Tigonus,573.703,-297.6484375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,573,368,78,73,5737836873,Tigonus,573.609,-368.4296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,514,329,101,46,51410132946,Tigonus,514.789,-329.640625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,539,330,33,54,5393333054,Tigonus,539.258,-330.578125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,544,322,42,42,5444232242,Tigonus,544.328,-322.671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,472,355,45,124,47245355124,Tigonus,472.352,-355.03125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,471,352,22,27,4712235227,Tigonus,471.172,-352.7890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,583,315,58,88,5835831588,Tigonus,583.453,-315.3125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,534,318,78,20,5347831820,Tigonus,534.609,-318.84375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,569,313,115,124,569115313124,Tigonus,569.898,-313.03125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,518,314,115,42,51811531442,Tigonus,518.898,-314.671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,568,378,83,37,5688337837,Tigonus,568.648,-378.7109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,603,380,32,73,6033238073,Tigonus,603.25,-380.4296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,586,338,114,33,58611433833,Tigonus,586.891,-338.7421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,549,341,58,78,5495834178,Tigonus,549.453,-341.390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,525,351,49,115,52549351115,Tigonus,525.383,-351.1015625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,588,275,96,124,58896275124,Tigonus,588.75,-275.03125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,515,360,111,72,51511136072,Tigonus,515.867,-360.4375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,554,315,47,13,5544731513,Tigonus,554.367,-315.8984375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,594,371,56,72,5945637172,Tigonus,594.438,-371.4375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,565,365,63,100,56563365100,Tigonus,565.492,-365.21875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,564,319,33,47,5643331947,Tigonus,564.258,-319.6328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,571,381,86,27,5718638127,Tigonus,571.672,-381.7890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,562,349,113,27,56211334927,Tigonus,562.883,-349.7890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,572,308,120,72,57212030872,Tigonus,572.938,-308.4375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,549,362,52,42,5495236242,Tigonus,549.406,-362.671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,535,343,44,115,53544343115,Tigonus,535.344,-343.1015625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,521,348,91,18,5219134818,Tigonus,521.711,-348.859375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,567,305,26,10,5672630510,Tigonus,567.203,-305.921875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,544,352,114,92,54411435292,Tigonus,544.891,-352.28125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,586,372,124,55,58612437255,Tigonus,586.969,-372.5703125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,590,377,119,4,59011937704,Tigonus,590.93,-377.96875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,496,359,106,20,49610635920,Tigonus,496.828,-359.84375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,960,339,32,108,96032339108,Mournoth,960.25,-339.15625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,998,307,74,95,9987430795,Mournoth,998.578,-307.2578125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,880,301,102,102,880102301102,Mournoth,880.797,-301.203125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,900,291,29,60,9002929160,Mournoth,900.227,-291.53125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,992,302,93,26,9929330226,Mournoth,992.727,-302.796875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_02,994,290,125,88,99412529088,Mournoth,994.977,-290.3125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,984,335,12,69,9841233569,Mournoth,984.094,-335.4609375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_05,990,321,70,65,9907032165,Mournoth,990.547,-321.4921875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_07,946,300,100,29,94610030029,Mournoth,946.781,-300.7734375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,986,321,31,61,9863132161,Mournoth,986.242,-321.5234375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,945,291,111,108,945111291108,Mournoth,945.867,-291.15625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,964,347,70,56,9647034756,Mournoth,964.547,-347.5625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,896,324,108,4,89610832404,Mournoth,896.844,-324.96875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,985,333,22,114,98522333114,Mournoth,985.172,-333.109375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,962,369,40,4,9624036904,Mournoth,962.313,-369.96875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_02,962,294,8,120,96208294120,Mournoth,962.063,-294.0625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,917,284,3,120,91703284120,Mournoth,917.023,-284.0625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_04,891,312,22,32,8912231232,Mournoth,891.172,-312.75
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_05,945,376,10,110,94510376110,Mournoth,945.078,-376.140625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_06,906,276,59,18,9065927618,Mournoth,906.461,-276.859375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_07,930,283,73,22,9307328322,Mournoth,930.57,-283.828125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,979,371,78,83,9797837183,Mournoth,979.609,-371.3515625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,954,297,104,65,95410429765,Mournoth,954.813,-297.4921875
