name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Camp,0,WOD_BanditCamp_05,176,454,118,70,17611845470,Abibon-gora,176.921875,-454.453125
Bandit Camp,0,WOD_BanditCamp_06,199,493,61,64,1996149364,Abibon-gora,199.4765625,-493.5
Bandit Fort,0,WOD_BanditFort_01,200,467,83,31,2008346731,Abibon-gora,200.6484375,-467.7578125
Bandit Camp,0,WOD_BanditCamp_05,178,484,51,115,17851484115,Abibon-gora,178.3984375,-484.1015625
Bandit Camp,0,WOD_BanditCamp_03,165,491,100,83,16510049183,Abibon-gora,165.78125,-491.3515625
Bandit Fort,0,WOD_BanditFort_01,166,486,77,116,16677486116,Abibon-gora,166.6015625,-486.09375
Bandit Fort,0,WOD_BanditFort_03,201,460,65,28,2016546028,Abibon-gora,201.5078125,-460.78125
Bandit Fort,0,WOD_BanditFort_02,189,459,58,93,1895845993,Abibon-gora,189.453125,-459.2734375
Bandit Camp,0,WOD_BanditCamp_05,196,471,70,83,1967047183,Abibon-gora,196.546875,-471.3515625
Bandit Fort,0,WOD_BanditFort_01,198,498,41,76,1984149876,Abibon-gora,198.3203125,-498.40625
Bandit Fort,0,WOD_BanditFort_03,179,451,22,61,1792245161,Abibon-gora,179.171875,-451.5234375
Bandit Camp,0,WOD_BanditCamp_05,205,469,113,26,20511346926,Abibon-gora,205.8828125,-469.796875
Bandit Camp,0,WOD_BanditCamp_06,191,462,40,90,1914046290,Abibon-gora,191.3125,-462.296875
Bandit Camp,0,WOD_BanditCamp_03,198,498,51,42,1985149842,Abibon-gora,198.3984375,-498.671875
Bandit Camp,0,WOD_BanditCamp_03,196,470,118,50,19611847050,Abibon-gora,196.921875,-470.609375
Bandit Camp,0,WOD_BanditCamp_01,166,484,19,3,1661948403,Abibon-gora,166.1484375,-484.9765625
Bandit Fort,0,WOD_BanditFort_02,177,453,56,50,1775645350,Abibon-gora,177.4375,-453.609375
