name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,altitude,sink,scale
Rocks,1,WOD_Rocks_Round_Small_04,-53,171,478,90,115,17190478115,Abibon-gora,171.703125,-478.1015625,7.0,,0.445649471366536,0.8632901085472298
Rocks,1,WOD_Rocks_Round_Small_09,-35,203,488,67,42,2036748842,Abibon-gora,203.5234375,-488.671875,7.0,,0.3852249206975395,0.9905088318894192
Rocks,1,WOD_Rocks_Round_Small_05,150,205,497,52,95,2055249795,Abibon-gora,205.40625,-497.2578125,7.0,,0.4217300509738364,0.8312046182314692
Rocks,1,WOD_Rocks_Round_Small_03,-92,192,479,84,125,19284479125,Abibon-gora,192.65625,-479.0234375,7.0,,0.4198008184191273,0.7638444244702292
Rocks,1,WOD_Rocks_Round_Small_10,-97,156,488,61,67,1566148867,Abibon-gora,156.4765625,-488.4765625,7.0,,0.3042093368560639,0.9149750227679848
Rocks,1,WOD_Rocks_Round_Small_09,139,178,496,102,118,178102496118,Abibon-gora,178.796875,-496.078125,7.0,,0.4407536104291701,0.750875273006365
Rocks,1,WOD_Rocks_Round_Small_06,56,180,486,46,26,1804648626,Abibon-gora,180.359375,-486.796875,7.0,,0.3170547837838616,0.8173437883593433
Rocks,1,WOD_Rocks_Round_Small_10,139,211,485,1,104,21101485104,Abibon-gora,211.0078125,-485.1875,7.0,,0.2819419668689786,0.7560618018374143
Rocks,1,WOD_Rocks_Round_Small_01,83,192,479,67,122,19267479122,Abibon-gora,192.5234375,-479.046875,7.0,,0.3382269090542027,0.8236000357210569
Rocks,1,WOD_Rocks_Round_Small_01,-12,199,470,113,26,19911347026,Abibon-gora,199.8828125,-470.796875,7.0,,0.4471479838544419,0.8782857791249625
Rocks,1,WOD_Rocks_Round_Small_06,102,177,482,23,12,1772348212,Abibon-gora,177.1796875,-482.90625,7.0,,0.3295773621593743,0.7832183320865203
Rocks,1,WOD_Rocks_Round_Small_07,-82,194,471,109,17,19410947117,Abibon-gora,194.8515625,-471.8671875,7.0,,0.3556202994416318,0.829641106153747
Rocks,1,WOD_Rocks_Round_Small_06,44,205,477,5,108,20505477108,Abibon-gora,205.0390625,-477.15625,7.0,,0.3551246592632409,0.7696493800519651
Rocks,1,WOD_Rocks_Round_Small_09,125,211,484,104,6,21110448406,Abibon-gora,211.8125,-484.953125,7.0,,0.2942748599328075,0.7773987727200502
Rocks,1,WOD_Rocks_Round_Small_03,-20,181,494,96,56,1819649456,Abibon-gora,181.75,-494.5625,7.0,,0.3747338542111242,0.9473080684077976
Rocks,1,WOD_Rocks_Round_Small_10,-40,153,491,92,26,1539249126,Abibon-gora,153.71875,-491.796875,7.0,,0.3396116221687734,0.7557288270336825
Rocks,1,WOD_Rocks_Round_Small_10,165,182,451,4,8,1820445108,Abibon-gora,182.03125,-451.9375,7.0,,0.3416799926603773,0.9487697353520872
Rocks,1,WOD_Rocks_Round_Small_05,-41,189,491,35,120,18935491120,Abibon-gora,189.2734375,-491.0625,7.0,,0.4385957042764953,0.8749810573010085
Rocks,1,WOD_Rocks_Round_Small_08,93,186,489,3,113,18603489113,Abibon-gora,186.0234375,-489.1171875,7.0,,0.4190636641924872,0.7817801314940278
