name,type,prefab,worldX,worldY,terrainX,terrainY,gisX,gisY
WOD_Ruins,0,WOD_Ruins_02,705,88,64,21,705.5,-88.8359375
WOD_BanditCamp,0,WOD_BanditCamp_08,707,89,58,107,707.5,-89.1640625
WOD_BanditCamp,0,WOD_BanditCamp_09,707,89,58,21,707.5,-89.8359375
WOD_BanditCamp,0,WOD_BanditCamp_04,707,90,57,107,707.5,-90.1640625
WOD_Ruins,0,WOD_Ruins_02,705,91,107,107,705.8359375,-91.1640625
WOD_BanditCamp,0,WOD_BanditCamp_03,707,91,71,21,707.5,-91.8359375
WOD_Ruins,0,WOD_Ruins_03,709,91,107,21,709.8359375,-91.8359375
WOD_Ruins,0,WOD_Ruins_01,709,91,107,64,709.8359375,-91.5
WOD_Ruins,0,WOD_Ruins_04,707,92,107,107,707.8359375,-92.1640625
WOD_Ruins,0,WOD_Ruins_02,713,92,107,21,713.8359375,-92.8359375
WOD_Ruins,0,WOD_Ruins_01,706,93,64,72,706.5,-93.5
WOD_Ruins,0,WOD_Ruins_03,709,93,64,21,709.5,-93.8359375
WOD_BanditCamp,0,WOD_BanditCamp_09,709,93,64,107,709.5,-93.1640625
WOD_Ruins,0,WOD_Ruins_03,710,93,21,70,710.1640625,-93.5
WOD_Ruins,0,WOD_Ruins_03,710,93,107,64,710.8359375,-93.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_05,706,94,107,107,706.8359375,-94.1640625
WOD_Ruins,0,WOD_Ruins_03,707,94,21,21,707.1640625,-94.8359375
WOD_Ruins,0,WOD_Ruins_04,707,94,107,68,707.8359375,-94.5
WOD_BanditCamp,0,WOD_BanditCamp_07,726,94,21,21,726.1640625,-94.8359375
WOD_BanditCamp,0,WOD_BanditCamp_09,707,95,21,107,707.1640625,-95.1640625
WOD_Ruins,0,WOD_Ruins_03,714,95,21,64,714.1640625,-95.5
WOD_BanditCamp,0,WOD_BanditCamp_01,714,95,64,21,714.5,-95.8359375
WOD_Ruins,0,WOD_Ruins_05,712,96,64,21,712.5,-96.8359375
WOD_Ruins,0,WOD_Ruins_05,712,96,107,107,712.8359375,-96.1640625
