name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,598,405,56,27,5985640527,Alik'r Desert,598.4375,-405.7890625
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,586,388,81,106,58681388106,Alik'r Desert,586.6328125,-388.171875
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,293,457,44,63,2934445763,Alik'r Desert,293.34375,-457.5078125
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,284,496,42,49,2844249649,Alik'r Desert,284.328125,-496.6171875
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,522,420,20,27,5222042027,Alik'r Desert,522.15625,-420.7890625
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,260,453,9,74,2600945374,Alik'r Desert,260.0703125,-453.421875
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,595,401,69,28,5956940128,Alik'r Desert,595.5390625,-401.78125
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,282,496,23,86,2822349686,Alik'r Desert,282.1796875,-496.328125
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,226,495,123,41,22612349541,Alik'r Desert,226.9609375,-495.6796875
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,334,468,52,32,3345246832,Alik'r Desert,334.40625,-468.75
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,398,443,10,36,3981044336,Alik'r Desert,398.078125,-443.71875
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,454,463,123,93,45412346393,Alik'r Desert,454.9609375,-463.2734375
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,343,469,56,38,3435646938,Alik'r Desert,343.4375,-469.703125
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,447,452,33,51,4473345251,Alik'r Desert,447.2578125,-452.6015625
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,541,406,83,27,5418340627,Alik'r Desert,541.6484375,-406.7890625
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,619,391,38,104,61938391104,Alik'r Desert,619.296875,-391.1875
Guardtower,0,WOD_AlikrDesert_ScoutTower_01,462,482,74,24,4627448224,Alik'r Desert,462.578125,-482.8125
