name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,sink,scale
Desert Mountain,1,WOD_Mountain_03,-118,397,473,114,6,39711447306,Alik'r Desert,397.890625,-473.953125,8,1,0.4892873
Desert Mountain,1,WOD_Mountain_09,61,378,455,22,122,37822455122,Alik'r Desert,378.171875,-455.046875,8,1,0.4334885
Desert Mountain,1,WOD_Mountain_03,-120,395,454,26,40,3952645440,Alik'r Desert,395.203125,-454.6875,8,1,0.4431043
Desert Mountain,1,WOD_Mountain_04,45,343,476,72,81,3437247681,Alik'r Desert,343.5625,-476.3671875,8,1,0.4864081
Desert Mountain,1,WOD_Mountain_01,41,333,432,70,81,3337043281,Alik'r Desert,333.546875,-432.3671875,8,1,0.6538915
Desert Mountain,1,WOD_Mountain_10,52,480,479,31,14,4803147914,Alik'r Desert,480.2421875,-479.890625,8,1,0.5735907
Desert Mountain,1,WOD_Mountain_06,13,372,437,70,6,3727043706,Alik'r Desert,372.546875,-437.953125,8,1,0.4865766
Desert Mountain,1,WOD_Mountain_08,2,388,460,88,52,3888846052,Alik'r Desert,388.6875,-460.59375,8,1,0.4956635
Desert Mountain,1,WOD_Mountain_04,67,513,451,22,60,5132245160,Alik'r Desert,513.171875,-451.53125,8,1,0.5949373
Desert Mountain,1,WOD_Mountain_01,164,399,468,88,12,3998846812,Alik'r Desert,399.6875,-468.90625,8,1,0.560665
Desert Mountain,1,WOD_Mountain_05,39,463,471,106,100,463106471100,Alik'r Desert,463.828125,-471.21875,8,1,0.4528046
Desert Mountain,1,WOD_Mountain_02,128,477,476,12,26,4771247626,Alik'r Desert,477.09375,-476.796875,8,1,0.4602975
Desert Mountain,1,WOD_Mountain_03,77,476,477,77,47,4767747747,Alik'r Desert,476.6015625,-477.6328125,8,1,0.5869445
Desert Mountain,1,WOD_Mountain_08,-48,363,436,27,108,36327436108,Alik'r Desert,363.2109375,-436.15625,8,1,0.4324338
Desert Mountain,1,WOD_Mountain_10,-122,374,498,3,64,3740349864,Alik'r Desert,374.0234375,-498.5,8,1,0.4086985
Desert Mountain,1,WOD_Mountain_03,30,477,476,4,9,4770447609,Alik'r Desert,477.03125,-476.9296875,8,1,0.5081052
Desert Mountain,1,WOD_Mountain_02,-173,363,436,69,101,36369436101,Alik'r Desert,363.5390625,-436.2109375,8,1,0.6079748
Desert Mountain,1,WOD_Mountain_09,99,371,437,124,9,37112443709,Alik'r Desert,371.96875,-437.9296875,8,1,0.6378011
Desert Mountain,1,WOD_Mountain_09,-153,374,498,79,55,3747949855,Alik'r Desert,374.6171875,-498.5703125,8,1,0.6088745
Desert Mountain,1,WOD_Mountain_03,-8,399,474,9,87,3990947487,Alik'r Desert,399.0703125,-474.3203125,8,1,0.5839857
Desert Mountain,1,WOD_Mountain_01,-55,488,470,50,40,4885047040,Alik'r Desert,488.390625,-470.6875,8,1,0.5458486
Desert Mountain,1,WOD_Mountain_04,88,396,455,10,86,3961045586,Alik'r Desert,396.078125,-455.328125,8,1,0.5705644
Desert Mountain,1,WOD_Mountain_04,-2,394,499,102,116,394102499116,Alik'r Desert,394.796875,-499.09375,8,1,0.5695442
Desert Mountain,1,WOD_Mountain_05,95,399,474,22,86,3992247486,Alik'r Desert,399.171875,-474.328125,8,1,0.5794262
Desert Mountain,1,WOD_Mountain_05,45,476,477,93,93,4769347793,Alik'r Desert,476.7265625,-477.2734375,8,1,0.518718
Desert Mountain,1,WOD_Mountain_02,-160,399,469,106,120,399106469120,Alik'r Desert,399.828125,-469.0625,8,1,0.5747421
Desert Mountain,1,WOD_Mountain_07,-25,476,476,1,72,4760147672,Alik'r Desert,476.0078125,-476.4375,8,1,0.4923949
Desert Mountain,1,WOD_Mountain_07,-75,399,469,106,90,39910646990,Alik'r Desert,399.828125,-469.296875,8,1,0.5624927
Desert Mountain,1,WOD_Mountain_05,142,371,437,119,40,37111943740,Alik'r Desert,371.9296875,-437.6875,8,1,0.4435726
Desert Mountain,1,WOD_Mountain_09,-108,363,435,27,10,3632743510,Alik'r Desert,363.2109375,-435.921875,8,1,0.4795376
Desert Mountain,1,WOD_Mountain_06,-35,476,476,38,128,47638476128,Alik'r Desert,476.296875,-476.0,8,1,0.4920046
Desert Mountain,1,WOD_Mountain_09,-82,463,470,120,24,46312047024,Alik'r Desert,463.9375,-470.8125,8,1,0.5545476
Desert Mountain,1,WOD_Mountain_10,-138,463,470,38,12,4633847012,Alik'r Desert,463.296875,-470.90625,8,1,0.656395
Desert Mountain,1,WOD_Mountain_09,-77,370,498,69,31,3706949831,Alik'r Desert,370.5390625,-498.7578125,8,1,0.5254696
Desert Mountain,1,WOD_Mountain_01,98,464,471,72,123,46472471123,Alik'r Desert,464.5625,-471.0390625,8,1,0.6046647
Desert Mountain,1,WOD_Mountain_08,5,488,470,37,83,4883747083,Alik'r Desert,488.2890625,-470.3515625,8,1,0.6385324
Desert Mountain,1,WOD_Mountain_08,6,371,437,102,82,37110243782,Alik'r Desert,371.796875,-437.359375,8,1,0.6122979
Desert Mountain,1,WOD_Mountain_07,40,476,476,58,83,4765847683,Alik'r Desert,476.453125,-476.3515625,8,1,0.699499
Desert Mountain,1,WOD_Mountain_05,-152,480,480,68,114,48068480114,Alik'r Desert,480.53125,-480.109375,8,1,0.6072623
Desert Mountain,1,WOD_Mountain_03,-170,475,474,12,9,4751247409,Alik'r Desert,475.09375,-474.9296875,8,1,0.6260575
Desert Mountain,1,WOD_Mountain_05,139,400,469,46,95,4004646995,Alik'r Desert,400.359375,-469.2578125,8,1,0.5069603
Desert Mountain,1,WOD_Mountain_05,-55,333,432,13,118,33313432118,Alik'r Desert,333.1015625,-432.078125,8,1,0.514039
Desert Mountain,1,WOD_Mountain_06,-111,476,476,45,78,4764547678,Alik'r Desert,476.3515625,-476.390625,8,1,0.4026718
Desert Mountain,1,WOD_Mountain_02,-139,480,480,26,124,48026480124,Alik'r Desert,480.203125,-480.03125,8,1,0.6392416
Desert Mountain,1,WOD_Mountain_06,105,463,470,26,12,4632647012,Alik'r Desert,463.203125,-470.90625,8,1,0.5700477
Desert Mountain,1,WOD_Mountain_09,129,373,438,29,9,3732943809,Alik'r Desert,373.2265625,-438.9296875,8,1,0.5643622
Desert Mountain,1,WOD_Mountain_08,90,439,494,0,116,43900494116,Alik'r Desert,439.0,-494.09375,8,1,0.646205
