name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,291,453,91,76,2919145376,Alik'r Desert,291.711,-453.40625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,595,434,69,49,5956943449,Alik'r Desert,595.539,-434.6171875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,237,475,116,61,23711647561,Alik'r Desert,237.906,-475.5234375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,355,490,110,106,355110490106,Alik'r Desert,355.859,-490.171875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,542,408,6,47,5420640847,Alik'r Desert,542.047,-408.6328125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_02,347,478,100,55,34710047855,Alik'r Desert,347.781,-478.5703125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,286,494,81,15,2868149415,Alik'r Desert,286.633,-494.8828125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_04,294,493,58,17,2945849317,Alik'r Desert,294.453,-493.8671875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_06,378,454,92,92,3789245492,Alik'r Desert,378.719,-454.28125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_07,601,424,35,13,6013542413,Alik'r Desert,601.273,-424.8984375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,307,441,32,63,3073244163,Alik'r Desert,307.25,-441.5078125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,422,499,78,115,42278499115,Alik'r Desert,422.609,-499.1015625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,490,425,50,91,4905042591,Alik'r Desert,490.391,-425.2890625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,351,437,20,119,35120437119,Alik'r Desert,351.156,-437.0703125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,589,421,52,91,5895242191,Alik'r Desert,589.406,-421.2890625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,305,453,124,76,30512445376,Alik'r Desert,305.969,-453.40625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_02,366,415,10,78,3661041578,Alik'r Desert,366.078,-415.390625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,596,409,42,60,5964240960,Alik'r Desert,596.328,-409.53125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_04,427,494,24,55,4272449455,Alik'r Desert,427.188,-494.5703125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_05,535,431,6,106,53506431106,Alik'r Desert,535.047,-431.171875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_06,600,402,83,65,6008340265,Alik'r Desert,600.648,-402.4921875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_07,507,408,37,12,5073740812,Alik'r Desert,507.289,-408.90625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,378,465,20,38,3782046538,Alik'r Desert,378.156,-465.703125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,268,458,74,42,2687445842,Alik'r Desert,268.578,-458.671875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,356,482,87,123,35687482123,Alik'r Desert,356.68,-482.0390625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,556,419,97,101,55697419101,Alik'r Desert,556.758,-419.2109375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,285,458,58,106,28558458106,Alik'r Desert,285.453,-458.171875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,364,445,56,109,36456445109,Alik'r Desert,364.438,-445.1484375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,558,424,119,114,558119424114,Alik'r Desert,558.93,-424.109375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_04,389,441,24,114,38924441114,Alik'r Desert,389.188,-441.109375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_05,554,393,26,61,5542639361,Alik'r Desert,554.203,-393.5234375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_06,394,441,24,37,3942444137,Alik'r Desert,394.188,-441.7109375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_07,440,493,76,22,4407649322,Alik'r Desert,440.594,-493.828125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,286,471,116,26,28611647126,Alik'r Desert,286.906,-471.796875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,449,444,70,40,4497044440,Alik'r Desert,449.547,-444.6875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,368,497,79,26,3687949726,Alik'r Desert,368.617,-497.796875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,376,412,55,79,3765541279,Alik'r Desert,376.43,-412.3828125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,419,436,82,4,4198243604,Alik'r Desert,419.641,-436.96875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_02,608,433,76,120,60876433120,Alik'r Desert,608.594,-433.0625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,404,431,86,97,4048643197,Alik'r Desert,404.672,-431.2421875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_05,469,480,119,78,46911948078,Alik'r Desert,469.93,-480.390625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_06,275,472,32,109,27532472109,Alik'r Desert,275.25,-472.1484375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_07,312,449,118,99,31211844999,Alik'r Desert,312.922,-449.2265625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,284,471,83,124,28483471124,Alik'r Desert,284.648,-471.03125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,554,434,60,119,55460434119,Alik'r Desert,554.469,-434.0703125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,500,431,88,90,5008843190,Alik'r Desert,500.688,-431.296875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,359,469,74,87,3597446987,Alik'r Desert,359.578,-469.3203125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,491,471,68,33,4916847133,Alik'r Desert,491.531,-471.7421875
