name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region
Bandit Fort,0,WOD_BanditFort_01,437,498,56,91,4375649891,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,364,477,41,17,3644147717,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,468,483,54,26,4685448326,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,628,416,36,33,6283641633,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,465,486,12,70,4651248670,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,376,493,127,96,37612749396,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,625,418,3,15,6250341815,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,347,469,3,14,3470346914,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,517,428,63,68,5176342868,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,483,422,31,63,4833142263,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,234,480,49,102,23449480102,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,388,424,42,51,3884242451,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,365,461,51,128,36551461128,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_03,624,409,4,47,6240440947,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,384,445,37,0,3843744500,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_05,337,458,81,60,3378145860,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_03,299,464,18,19,2991846419,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,583,419,83,116,58383419116,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_02,357,467,119,56,35711946756,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_01,589,411,31,58,5893141158,Alik'r Desert
Bandit Fort,0,WOD_BanditFort_01,541,398,14,22,5411439822,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,352,458,35,99,3523545899,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,299,453,12,50,2991245350,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_06,329,470,72,67,3297247067,Alik'r Desert
Bandit Camp,0,WOD_BanditCamp_02,358,422,105,3,35810542203,Alik'r Desert
