name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Camp,0,WOD_BanditCamp_06,287,467,84,15,2878446715,Alik'r Desert,287.65625,-467.8828125
Bandit Fort,0,WOD_BanditFort_01,396,464,104,59,39610446459,Alik'r Desert,396.8125,-464.5390625
Bandit Camp,0,WOD_BanditCamp_02,571,440,29,73,5712944073,Alik'r Desert,571.2265625,-440.4296875
Bandit Camp,0,WOD_BanditCamp_01,521,399,81,74,5218139974,Alik'r Desert,521.6328125,-399.421875
Bandit Camp,0,WOD_BanditCamp_06,450,493,68,77,4506849377,Alik'r Desert,450.53125,-493.3984375
Bandit Fort,0,WOD_BanditFort_02,538,438,6,74,5380643874,Alik'r Desert,538.046875,-438.421875
Bandit Camp,0,WOD_BanditCamp_02,372,492,81,106,37281492106,Alik'r Desert,372.6328125,-492.171875
Bandit Camp,0,WOD_BanditCamp_03,632,431,84,42,6328443142,Alik'r Desert,632.65625,-431.671875
Bandit Camp,0,WOD_BanditCamp_01,525,411,79,88,5257941188,Alik'r Desert,525.6171875,-411.3125
Bandit Fort,0,WOD_BanditFort_01,588,392,99,49,5889939249,Alik'r Desert,588.7734375,-392.6171875
Bandit Camp,0,WOD_BanditCamp_06,352,437,95,35,3529543735,Alik'r Desert,352.7421875,-437.7265625
Bandit Camp,0,WOD_BanditCamp_01,249,456,84,27,2498445627,Alik'r Desert,249.65625,-456.7890625
Bandit Camp,0,WOD_BanditCamp_06,563,395,12,36,5631239536,Alik'r Desert,563.09375,-395.71875
Bandit Fort,0,WOD_BanditFort_02,343,439,101,26,34310143926,Alik'r Desert,343.7890625,-439.796875
Bandit Fort,0,WOD_BanditFort_01,498,458,46,83,4984645883,Alik'r Desert,498.359375,-458.3515625
Bandit Camp,0,WOD_BanditCamp_01,506,404,92,92,5069240492,Alik'r Desert,506.71875,-404.28125
Bandit Camp,0,WOD_BanditCamp_03,295,454,40,42,2954045442,Alik'r Desert,295.3125,-454.671875
Bandit Camp,0,WOD_BanditCamp_05,521,395,73,105,52173395105,Alik'r Desert,521.5703125,-395.1796875
Bandit Fort,0,WOD_BanditFort_02,498,447,40,45,4984044745,Alik'r Desert,498.3125,-447.6484375
Bandit Camp,0,WOD_BanditCamp_05,378,494,123,47,37812349447,Alik'r Desert,378.9609375,-494.6328125
Bandit Fort,0,WOD_BanditFort_02,332,460,108,86,33210846086,Alik'r Desert,332.84375,-460.328125
Bandit Fort,0,WOD_BanditFort_01,606,422,51,59,6065142259,Alik'r Desert,606.3984375,-422.5390625
Bandit Camp,0,WOD_BanditCamp_06,391,435,74,116,39174435116,Alik'r Desert,391.578125,-435.09375
Bandit Camp,0,WOD_BanditCamp_06,286,475,68,83,2866847583,Alik'r Desert,286.53125,-475.3515625
Bandit Camp,0,WOD_BanditCamp_02,578,394,10,79,5781039479,Alik'r Desert,578.078125,-394.3828125
Bandit Fort,0,WOD_BanditFort_02,445,497,42,76,4454249776,Alik'r Desert,445.328125,-497.40625
Bandit Camp,0,WOD_BanditCamp_05,380,485,9,29,3800948529,Alik'r Desert,380.0703125,-485.7734375
Bandit Camp,0,WOD_BanditCamp_06,394,486,19,90,3941948690,Alik'r Desert,394.1484375,-486.296875
Bandit Camp,0,WOD_BanditCamp_06,366,432,29,9,3662943209,Alik'r Desert,366.2265625,-432.9296875
Bandit Fort,0,WOD_BanditFort_02,385,489,40,82,3854048982,Alik'r Desert,385.3125,-489.359375
Bandit Camp,0,WOD_BanditCamp_06,341,454,45,79,3414545479,Alik'r Desert,341.3515625,-454.3828125
Bandit Fort,0,WOD_BanditFort_03,377,494,28,50,3772849450,Alik'r Desert,377.21875,-494.609375
Bandit Fort,0,WOD_BanditFort_01,339,485,77,90,3397748590,Alik'r Desert,339.6015625,-485.296875
Bandit Camp,0,WOD_BanditCamp_05,367,476,119,46,36711947646,Alik'r Desert,367.9296875,-476.640625
Bandit Camp,0,WOD_BanditCamp_06,455,491,100,91,45510049191,Alik'r Desert,455.78125,-491.2890625
Bandit Camp,0,WOD_BanditCamp_03,287,472,29,10,2872947210,Alik'r Desert,287.2265625,-472.921875
