name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,rotYaxis,scale
Small Mountain,3,WOD_Mountain_Brown_09,631,405,49,45,6314940545,Alik'r Desert,631.3828125,-405.6484375,159,0.55
Small Mountain,3,WOD_Mountain_Brown_09,628,400,77,119,62877400119,Alik'r Desert,628.6015625,-400.0703125,164,0.5
Small Mountain,3,WOD_Mountain_Brown_09,624,400,104,23,62410440023,Alik'r Desert,624.8125,-400.8203125,145,0.58
Small Mountain,3,WOD_Mountain_Brown_03,626,404,76,63,6267640463,Alik'r Desert,626.59375,-404.5078125,-113,0.72
Small Mountain,3,WOD_Mountain_Brown_03,625,400,108,59,62510840059,Alik'r Desert,625.84375,-400.5390625,-124,0.52
Small Mountain,3,WOD_Mountain_Brown_05,620,397,105,17,62010539717,Alik'r Desert,620.8203125,-397.8671875,94,0.57
Small Mountain,3,WOD_Mountain_Brown_01,623,401,58,70,6235840170,Alik'r Desert,623.453125,-401.453125,149,0.65
Small Mountain,3,WOD_Mountain_Brown_09,616,388,49,6,6164938806,Alik'r Desert,616.3828125,-388.953125,-51,0.7
Small Mountain,3,WOD_Mountain_Brown_05,632,407,56,6,6325640706,Alik'r Desert,632.4375,-407.953125,10,0.58
Small Mountain,3,WOD_Mountain_Brown_08,621,394,90,19,6219039419,Alik'r Desert,621.703125,-394.8515625,-160,0.5
Small Mountain,3,WOD_Mountain_Brown_09,623,401,22,38,6232240138,Alik'r Desert,623.171875,-401.703125,-12,0.53
Small Mountain,3,WOD_Mountain_Brown_06,623,399,45,109,62345399109,Alik'r Desert,623.3515625,-399.1484375,95,0.68
Small Mountain,3,WOD_Mountain_Brown_01,628,406,9,78,6280940678,Alik'r Desert,628.0703125,-406.390625,-137,0.51
Small Mountain,3,WOD_Mountain_Brown_03,629,403,113,116,629113403116,Alik'r Desert,629.8828125,-403.09375,78,0.61
Small Mountain,3,WOD_Mountain_Brown_06,623,396,28,124,62328396124,Alik'r Desert,623.21875,-396.03125,101,0.56
