name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Camp,0,WOD_BanditCamp_02,436,135,45,6,4364513506,Anticlere,436.3515625,-135.953125
Bandit Camp,0,WOD_BanditCamp_05,396,140,22,92,3962214092,Anticlere,396.171875,-140.28125
Bandit Camp,0,WOD_BanditCamp_03,363,122,56,64,3635612264,Anticlere,363.4375,-122.5
Bandit Fort,0,WOD_BanditFort_02,421,176,18,59,4211817659,Anticlere,421.140625,-176.5390625
Bandit Fort,0,WOD_BanditFort_01,343,167,47,114,34347167114,Anticlere,343.3671875,-167.109375
Bandit Fort,0,WOD_BanditFort_03,379,138,108,69,37910813869,Anticlere,379.84375,-138.4609375
Bandit Camp,0,WOD_BanditCamp_01,355,162,49,95,3554916295,Anticlere,355.3828125,-162.2578125
Bandit Camp,0,WOD_BanditCamp_01,469,151,32,81,4693215181,Anticlere,469.25,-151.3671875
Bandit Fort,0,WOD_BanditFort_02,341,179,37,19,3413717919,Anticlere,341.2890625,-179.8515625
Bandit Camp,0,WOD_BanditCamp_02,393,138,23,73,3932313873,Anticlere,393.1796875,-138.4296875
Bandit Camp,0,WOD_BanditCamp_05,369,169,84,4,3698416904,Anticlere,369.65625,-169.96875
Bandit Camp,0,WOD_BanditCamp_03,381,162,86,114,38186162114,Anticlere,381.671875,-162.109375
Bandit Camp,0,WOD_BanditCamp_01,434,166,86,70,4348616670,Anticlere,434.671875,-166.453125
Bandit Camp,0,WOD_BanditCamp_02,338,171,95,58,3389517158,Anticlere,338.7421875,-171.546875
Bandit Fort,0,WOD_BanditFort_01,477,142,41,56,4774114256,Anticlere,477.3203125,-142.5625
Bandit Fort,0,WOD_BanditFort_01,382,157,78,38,3827815738,Anticlere,382.609375,-157.703125
Bandit Camp,0,WOD_BanditCamp_05,405,167,81,74,4058116774,Anticlere,405.6328125,-167.421875
Bandit Camp,0,WOD_BanditCamp_03,384,132,78,86,3847813286,Anticlere,384.609375,-132.328125
Bandit Camp,0,WOD_BanditCamp_01,354,167,36,33,3543616733,Anticlere,354.28125,-167.7421875
Bandit Camp,0,WOD_BanditCamp_06,405,137,28,23,4052813723,Anticlere,405.21875,-137.8203125
Bandit Camp,0,WOD_BanditCamp_06,474,143,22,110,47422143110,Anticlere,474.171875,-143.140625
Bandit Camp,0,WOD_BanditCamp_01,437,152,42,67,4374215267,Anticlere,437.328125,-152.4765625
Bandit Fort,0,WOD_BanditFort_02,359,152,63,93,3596315293,Anticlere,359.4921875,-152.2734375
Bandit Camp,0,WOD_BanditCamp_05,435,158,51,52,4355115852,Anticlere,435.3984375,-158.59375
Bandit Camp,0,WOD_BanditCamp_01,497,155,46,50,4974615550,Anticlere,497.359375,-155.609375
Bandit Fort,0,WOD_BanditFort_02,344,149,41,31,3444114931,Anticlere,344.3203125,-149.7578125
Bandit Fort,0,WOD_BanditFort_01,398,188,50,13,3985018813,Anticlere,398.390625,-188.8984375
Bandit Camp,0,WOD_BanditCamp_05,428,141,29,109,42829141109,Anticlere,428.2265625,-141.1484375
Bandit Camp,0,WOD_BanditCamp_01,354,164,83,59,3548316459,Anticlere,354.6484375,-164.5390625
Bandit Camp,0,WOD_BanditCamp_02,475,159,91,100,47591159100,Anticlere,475.7109375,-159.21875
Bandit Fort,0,WOD_BanditFort_01,423,128,23,40,4232312840,Anticlere,423.1796875,-128.6875
Bandit Fort,0,WOD_BanditFort_03,387,141,73,92,3877314192,Anticlere,387.5703125,-141.28125
Bandit Fort,0,WOD_BanditFort_01,386,138,13,61,3861313861,Anticlere,386.1015625,-138.5234375
Bandit Camp,0,WOD_BanditCamp_03,406,118,40,110,40640118110,Anticlere,406.3125,-118.140625
Bandit Fort,0,WOD_BanditFort_03,383,159,41,72,3834115972,Anticlere,383.3203125,-159.4375
Bandit Fort,0,WOD_BanditFort_03,500,154,22,47,5002215447,Anticlere,500.171875,-154.6328125
Bandit Fort,0,WOD_BanditFort_03,498,155,56,79,4985615579,Anticlere,498.4375,-155.3828125
Bandit Camp,0,WOD_BanditCamp_03,460,147,59,58,4605914758,Anticlere,460.4609375,-147.546875
Bandit Camp,0,WOD_BanditCamp_03,402,175,74,20,4027417520,Anticlere,402.578125,-175.84375
Bandit Fort,0,WOD_BanditFort_01,464,157,88,106,46488157106,Anticlere,464.6875,-157.171875
Bandit Camp,0,WOD_BanditCamp_03,403,181,28,44,4032818144,Anticlere,403.21875,-181.65625
Bandit Camp,0,WOD_BanditCamp_03,354,180,74,18,3547418018,Anticlere,354.578125,-180.859375
Bandit Camp,0,WOD_BanditCamp_06,348,185,52,56,3485218556,Anticlere,348.40625,-185.5625
Bandit Camp,0,WOD_BanditCamp_06,402,138,20,49,4022013849,Anticlere,402.15625,-138.6171875
Bandit Camp,0,WOD_BanditCamp_05,360,157,22,38,3602215738,Anticlere,360.171875,-157.703125
Bandit Fort,0,WOD_BanditFort_01,403,159,49,12,4034915912,Anticlere,403.3828125,-159.90625
Bandit Camp,0,WOD_BanditCamp_01,394,162,58,114,39458162114,Anticlere,394.453125,-162.109375
Bandit Camp,0,WOD_BanditCamp_05,356,149,81,10,3568114910,Anticlere,356.6328125,-149.921875
Bandit Camp,0,WOD_BanditCamp_02,412,160,111,18,41211116018,Anticlere,412.8671875,-160.859375
Bandit Camp,0,WOD_BanditCamp_06,395,149,87,46,3958714946,Anticlere,395.6796875,-149.640625
Bandit Camp,0,WOD_BanditCamp_03,442,161,74,118,44274161118,Anticlere,442.578125,-161.078125
