name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Guardtower,0,WOD_Anticlere_ScoutTower_01,464,170,63,91,4646317091,Anticlere,464.4921875,-170.2890625
Guardtower,0,WOD_Anticlere_ScoutTower_01,455,163,91,4,4559116304,Anticlere,455.7109375,-163.96875
Guardtower,0,WOD_Anticlere_ScoutTower_01,361,171,29,91,3612917191,Anticlere,361.2265625,-171.2890625
Guardtower,0,WOD_Anticlere_ScoutTower_01,472,165,13,42,4721316542,Anticlere,472.1015625,-165.671875
Guardtower,0,WOD_Anticlere_ScoutTower_01,466,169,90,116,46690169116,Anticlere,466.703125,-169.09375
Guardtower,0,WOD_Anticlere_ScoutTower_01,391,140,74,78,3917414078,Anticlere,391.578125,-140.390625
Guardtower,0,WOD_Anticlere_ScoutTower_01,346,173,84,64,3468417364,Anticlere,346.65625,-173.5
Guardtower,0,WOD_Anticlere_ScoutTower_01,367,134,81,124,36781134125,Anticlere,367.6328125,-134.0234375
Guardtower,0,WOD_Anticlere_ScoutTower_01,372,171,35,73,3723517173,Anticlere,372.2734375,-171.4296875
Guardtower,0,WOD_Anticlere_ScoutTower_01,472,136,49,99,4724913699,Anticlere,472.3828125,-136.2265625
Guardtower,0,WOD_Anticlere_ScoutTower_01,418,155,65,52,4186515552,Anticlere,418.5078125,-155.59375
Guardtower,0,WOD_Anticlere_ScoutTower_01,413,162,8,35,4130816235,Anticlere,413.0625,-162.7265625
Guardtower,0,WOD_Anticlere_ScoutTower_01,418,140,76,83,4187614083,Anticlere,418.59375,-140.3515625
Guardtower,0,WOD_Anticlere_ScoutTower_01,349,170,56,110,34956170110,Anticlere,349.4375,-170.140625
Guardtower,0,WOD_Anticlere_ScoutTower_01,507,134,50,70,5075013470,Anticlere,507.390625,-134.453125
Guardtower,0,WOD_Anticlere_ScoutTower_01,376,143,73,41,3767314341,Anticlere,376.5703125,-143.6796875
Guardtower,0,WOD_Anticlere_ScoutTower_01,363,165,105,93,36310516593,Anticlere,363.8203125,-165.2734375
Guardtower,0,WOD_Anticlere_ScoutTower_01,356,128,40,32,3564012832,Anticlere,356.3125,-128.75
Guardtower,0,WOD_Anticlere_ScoutTower_01,342,153,35,52,3423515352,Anticlere,342.2734375,-153.59375
Guardtower,0,WOD_Anticlere_ScoutTower_01,440,156,24,46,4402415646,Anticlere,440.1875,-156.640625
Guardtower,0,WOD_Anticlere_ScoutTower_01,380,125,63,41,3806312541,Anticlere,380.4921875,-125.6796875
Guardtower,0,WOD_Anticlere_ScoutTower_01,492,135,92,97,4929213597,Anticlere,492.71875,-135.2421875
Guardtower,0,WOD_Anticlere_ScoutTower_01,382,144,46,8,3824614408,Anticlere,382.359375,-144.9375
Guardtower,0,WOD_Anticlere_ScoutTower_01,394,120,56,74,3945612074,Anticlere,394.4375,-120.421875
Guardtower,0,WOD_Anticlere_ScoutTower_01,426,141,67,83,4266714183,Anticlere,426.5234375,-141.3515625
Guardtower,0,WOD_Anticlere_ScoutTower_01,494,156,83,84,4948315684,Anticlere,494.6484375,-156.34375
Guardtower,0,WOD_Anticlere_ScoutTower_01,361,121,106,90,36110612190,Anticlere,361.828125,-121.296875
Guardtower,0,WOD_Anticlere_ScoutTower_01,391,151,108,31,39110815131,Anticlere,391.84375,-151.7578125
Guardtower,0,WOD_Anticlere_ScoutTower_01,501,152,69,50,5016915250,Anticlere,501.5390625,-152.609375
Guardtower,0,WOD_Anticlere_ScoutTower_01,466,133,88,10,4668813310,Anticlere,466.6875,-133.921875
Guardtower,0,WOD_Anticlere_ScoutTower_01,406,141,59,100,40659141100,Anticlere,406.4609375,-141.21875
Guardtower,0,WOD_Anticlere_ScoutTower_01,476,151,87,109,47687151109,Anticlere,476.6796875,-151.1484375
Guardtower,0,WOD_Anticlere_ScoutTower_01,439,160,8,8,4390816008,Anticlere,439.0625,-160.9375
Guardtower,0,WOD_Anticlere_ScoutTower_01,449,143,51,73,4495114373,Anticlere,449.3984375,-143.4296875
