name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Dibella,0,WOD_Shrine_Dibella_01,346,157,44,96,3464415796,Anticlere,346.344,-157.25
Shrine of Dibella,0,WOD_Shrine_Dibella_01,502,143,29,104,50229143104,Anticlere,502.227,-143.1875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,466,160,14,109,46614160109,Anticlere,466.109,-160.1484375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,400,173,58,46,4005817346,Anticlere,400.453,-173.640625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,386,145,12,124,38612145124,Anticlere,386.094,-145.03125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,403,118,38,78,4033811878,Anticlere,403.297,-118.390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,387,123,58,46,3875812346,Anticlere,387.453,-123.640625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,406,127,22,88,4062212788,Anticlere,406.172,-127.3125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,438,169,118,58,43811816958,Anticlere,438.922,-169.546875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,402,119,84,78,4028411978,Anticlere,402.656,-119.390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,483,145,31,118,48331145118,Anticlere,483.242,-145.078125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,512,142,73,12,5127314212,Anticlere,512.57,-142.90625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,473,157,23,65,4732315765,Anticlere,473.18,-157.4921875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,426,158,105,114,426105158114,Anticlere,426.82,-158.109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,416,160,41,101,41641160101,Anticlere,416.32,-160.2109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,433,134,116,78,43311613478,Anticlere,433.906,-134.390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,445,152,47,47,4454715247,Anticlere,445.367,-152.6328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,369,171,82,33,3698217133,Anticlere,369.641,-171.7421875
