name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Camp,0,WOD_BanditCamp_03,482,461,72,86,4827246186,Antiphyllos,482.5625,-461.328125
Bandit Camp,0,WOD_BanditCamp_05,442,431,51,84,4425143184,Antiphyllos,442.3984375,-431.34375
Bandit Camp,0,WOD_BanditCamp_01,470,446,41,55,4704144655,Antiphyllos,470.3203125,-446.5703125
Bandit Camp,0,WOD_BanditCamp_01,456,437,5,8,4560543708,Antiphyllos,456.0390625,-437.9375
Bandit Camp,0,WOD_BanditCamp_03,463,444,104,113,463104444113,Antiphyllos,463.8125,-444.1171875
Bandit Fort,0,WOD_BanditFort_02,443,419,56,32,4435641932,Antiphyllos,443.4375,-419.75
Bandit Camp,0,WOD_BanditCamp_02,450,425,28,35,4502842535,Antiphyllos,450.21875,-425.7265625
Bandit Camp,0,WOD_BanditCamp_06,445,436,92,59,4459243659,Antiphyllos,445.71875,-436.5390625
Bandit Camp,0,WOD_BanditCamp_06,490,437,20,97,4902043797,Antiphyllos,490.15625,-437.2421875
Bandit Camp,0,WOD_BanditCamp_01,479,437,101,3,47910143703,Antiphyllos,479.7890625,-437.9765625
Bandit Fort,0,WOD_BanditFort_03,477,434,8,99,4770843499,Antiphyllos,477.0625,-434.2265625
Bandit Fort,0,WOD_BanditFort_02,446,422,33,65,4463342265,Antiphyllos,446.2578125,-422.4921875
Bandit Camp,0,WOD_BanditCamp_05,481,430,18,56,4811843056,Antiphyllos,481.140625,-430.5625
Bandit Camp,0,WOD_BanditCamp_06,466,442,109,33,46610944233,Antiphyllos,466.8515625,-442.7421875
Bandit Camp,0,WOD_BanditCamp_01,481,438,14,114,48114438114,Antiphyllos,481.109375,-438.109375
Bandit Fort,0,WOD_BanditFort_01,451,430,17,119,45117430119,Antiphyllos,451.1328125,-430.0703125
Bandit Camp,0,WOD_BanditCamp_06,475,459,17,8,4751745908,Antiphyllos,475.1328125,-459.9375
Bandit Camp,0,WOD_BanditCamp_03,474,460,38,26,4743846026,Antiphyllos,474.296875,-460.796875
Bandit Camp,0,WOD_BanditCamp_03,479,446,105,37,47910544637,Antiphyllos,479.8203125,-446.7109375
Bandit Camp,0,WOD_BanditCamp_03,422,420,54,120,42254420120,Antiphyllos,422.421875,-420.0625
Bandit Camp,0,WOD_BanditCamp_02,458,436,28,114,45828436114,Antiphyllos,458.21875,-436.109375
Bandit Camp,0,WOD_BanditCamp_06,439,424,90,50,4399042450,Antiphyllos,439.703125,-424.609375
Bandit Fort,0,WOD_BanditFort_03,490,449,101,24,49010144924,Antiphyllos,490.7890625,-449.8125
Bandit Fort,0,WOD_BanditFort_01,486,457,68,26,4866845726,Antiphyllos,486.53125,-457.796875
Bandit Camp,0,WOD_BanditCamp_03,419,423,123,110,419123423110,Antiphyllos,419.9609375,-423.140625
Bandit Camp,0,WOD_BanditCamp_06,469,450,5,122,46905450122,Antiphyllos,469.0390625,-450.046875
Bandit Camp,0,WOD_BanditCamp_03,455,428,81,69,4558142869,Antiphyllos,455.6328125,-428.4609375
Bandit Fort,0,WOD_BanditFort_01,455,417,52,104,45552417104,Antiphyllos,455.40625,-417.1875
Bandit Fort,0,WOD_BanditFort_03,482,443,74,17,4827444317,Antiphyllos,482.578125,-443.8671875
Bandit Camp,0,WOD_BanditCamp_03,484,443,78,81,4847844381,Antiphyllos,484.609375,-443.3671875
Bandit Fort,0,WOD_BanditFort_03,478,459,84,69,4788445969,Antiphyllos,478.65625,-459.4609375
Bandit Camp,0,WOD_BanditCamp_02,456,422,92,42,4569242242,Antiphyllos,456.71875,-422.671875
Bandit Fort,0,WOD_BanditFort_03,468,429,35,6,4683542906,Antiphyllos,468.2734375,-429.953125
Bandit Fort,0,WOD_BanditFort_01,464,423,124,125,464124423125,Antiphyllos,464.96875,-423.0234375
