name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Antiphyllos Border Tower,0,WOD_Border_Tower_Desert_03,90,444,419,29,124,44429419124,Antiphyllos,"444,2265625","-419,03125"
Antiphyllos Border Tower,0,WOD_Border_Tower_Desert_03,90,445,418,31,119,44531418119,Antiphyllos,"445,2421875","-418,0703125"
Antiphyllos Border Tower,0,WOD_Scout_Tower_02,,459,415,110,122,459110415122,Antiphyllos,"459,859375","-415,046875"
Antiphyllos Border Tower,0,WOD_Border_Tower_Desert_03,180,478,422,122,46,47812242246,Antiphyllos,"478,953125","-422,640625"
Antiphyllos Border Tower,0,WOD_Scout_Tower_02,180,492,445,119,99,49211944599,Antiphyllos,"492,9296875","-445,2265625"
Antiphyllos Border Tower,0,WOD_Scout_Tower_02,180,486,459,105,51,48610545951,Antiphyllos,"486,8203125","-459,6015625"
Antiphyllos Border Tower,0,WOD_Scout_Tower_02,270,485,459,27,6,4852745906,Antiphyllos,"485,2109375","-459,953125"
Antiphyllos Border Tower,0,WOD_Border_Tower_Desert_03,270,478,463,125,5,47812546305,Antiphyllos,"478,9765625","-463,9609375"
Antiphyllos Border Tower,0,WOD_Border_Tower_Desert_03,,456,439,10,1,4561043901,Antiphyllos,"456,078125","-439,9921875"
Antiphyllos Border Tower,0,WOD_Scout_Tower_02,,432,437,32,12,4323243712,Antiphyllos,"432,25","-437,90625"
Antiphyllos Border Tower,0,WOD_Scout_Tower_02,,417,420,109,120,417109420120,Antiphyllos,"417,8515625","-420,0625"
Antiphyllos Border Tower,0,WOD_Scout_Tower_02,180,429,420,73,116,42973420116,Antiphyllos,"429,5703125","-420,09375"
