name,type,prefab,worldX,worldY,terrainX,terrainY,gisX,gisY
WOD_BanditFort,0,WOD_BanditFort_01,457,360,21,107,457.1640625,-360.1640625
WOD_Ruins,0,WOD_Ruins_01,460,363,107,107,460.8359375,-363.1640625
WOD_BanditCamp,0,WOD_BanditCamp_06,466,363,107,107,466.8359375,-363.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_07,471,363,21,107,471.1640625,-363.1640625
WOD_GuardTower,0,WOD_Guardtower_01,475,363,21,68,475.1640625,-363.5
WOD_GuardTower,0,WOD_Guardtower_01,479,363,64,66,479.5,-363.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_02,480,363,21,21,480.1640625,-363.8359375
WOD_BanditFort,0,WOD_BanditFort_01,480,363,107,107,480.8359375,-363.1640625
WOD_Ruins,0,WOD_Ruins_05,481,363,107,107,481.8359375,-363.1640625
WOD_GuardTower,0,WOD_Guardtower_01,482,363,21,60,482.1640625,-363.5
WOD_BanditCamp,0,WOD_BanditCamp_02,484,363,21,107,484.1640625,-363.1640625
WOD_OrcCamp,0,WOD_OrcCamp_Large_01,495,363,107,64,495.8359375,-363.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_07,449,364,21,64,449.1640625,-364.5
WOD_BanditCamp,0,WOD_BanditCamp_05,462,364,107,64,462.8359375,-364.5
WOD_GuardTower,0,WOD_Guardtower_01,470,364,21,25,470.1640625,-364.8359375
WOD_GuardTower,0,WOD_Guardtower_01,470,364,107,111,470.8359375,-364.1640625
WOD_BanditCamp,0,WOD_BanditCamp_07,479,364,64,107,479.5,-364.1640625
WOD_Ruins,0,WOD_Ruins_02,479,364,107,107,479.8359375,-364.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_06,484,364,64,21,484.5,-364.8359375
WOD_BanditFort,0,WOD_BanditFort_01,501,364,21,21,501.1640625,-364.8359375
WOD_Ruins,0,WOD_Ruins_04,517,364,21,107,517.1640625,-364.1640625
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_07,525,364,21,64,525.1640625,-364.5
WOD_Ruins,0,WOD_Ruins_06,465,365,21,64,465.1640625,-365.5
WOD_BanditCamp,0,WOD_BanditCamp_06,466,365,107,107,466.8359375,-365.1640625
WOD_Ruins,0,WOD_Ruins_01,472,365,21,64,472.1640625,-365.5
WOD_Ruins,0,WOD_Ruins_04,494,365,21,21,494.1640625,-365.8359375
