name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,altitude,sink,scale
Rocks,1,WOD_Rocks_Round_Small_05,111,523,365,47,47,Ayasofya,523.3671875,-365.6328125,7,,0.5,0.414588
Rocks,1,WOD_Rocks_Round_Small_09,131,532,366,58,84,Ayasofya,532.453125,-366.34375,7,,0.5,0.40235995
Rocks,1,WOD_Rocks_Round_Small_07,-54,533,377,73,4,Ayasofya,533.5703125,-377.96875,7,,0.5,0.3936969
Rocks,1,WOD_Rocks_Round_Small_10,63,477,368,8,108,Ayasofya,477.0625,-368.15625,7,,0.5,0.48452135
Rocks,1,WOD_Rocks_Round_Small_08,67,504,380,125,60,Ayasofya,504.9765625,-380.53125,7,,0.5,0.4591238
Rocks,1,WOD_Rocks_Round_Small_03,-26,514,381,31,100,Ayasofya,514.2421875,-381.21875,7,,0.5,0.4761508
Rocks,1,WOD_Rocks_Round_Small_08,-143,507,383,111,20,Ayasofya,507.8671875,-383.84375,7,,0.5,0.4746987
Rocks,1,WOD_Rocks_Round_Small_09,167,538,379,118,6,Ayasofya,538.921875,-379.953125,7,,0.5,0.44224575
Rocks,1,WOD_Rocks_Round_Small_02,0,490,380,114,120,Ayasofya,490.890625,-380.0625,7,,0.5,0.42147205
Rocks,1,WOD_Rocks_Round_Small_01,-14,540,371,15,79,Ayasofya,540.1171875,-371.3828125,7,,0.5,0.39558095
Rocks,1,WOD_Rocks_Round_Small_01,-115,499,377,127,91,Ayasofya,499.9921875,-377.2890625,7,,0.5,0.47929045
Rocks,1,WOD_Rocks_Round_Small_09,30,463,365,86,17,Ayasofya,463.671875,-365.8671875,7,,0.5,0.4040718
Rocks,1,WOD_Rocks_Round_Small_03,63,526,364,28,9,Ayasofya,526.21875,-364.9296875,7,,0.5,0.49473365
Rocks,1,WOD_Rocks_Round_Small_08,104,489,382,23,52,Ayasofya,489.1796875,-382.59375,7,,0.5,0.48879405
Rocks,1,WOD_Rocks_Round_Small_07,-82,480,382,8,4,Ayasofya,480.0625,-382.96875,7,,0.5,0.39245575
Rocks,1,WOD_Rocks_Round_Small_02,-91,511,375,12,69,Ayasofya,511.09375,-375.4609375,7,,0.5,0.39122775
Rocks,1,WOD_Rocks_Round_Small_09,-2,538,373,101,76,Ayasofya,538.7890625,-373.40625,7,,0.5,0.4123421
Rocks,1,WOD_Rocks_Round_Small_07,162,504,383,100,104,Ayasofya,504.78125,-383.1875,7,,0.5,0.47120435
Rocks,1,WOD_Rocks_Round_Small_05,89,510,375,1,93,Ayasofya,510.0078125,-375.2734375,7,,0.5,0.4825647
Rocks,1,WOD_Rocks_Round_Small_02,-116,490,381,115,4,Ayasofya,490.8984375,-381.96875,7,,0.5,0.3767042
Rocks,1,WOD_Rocks_Round_Small_07,63,472,364,13,106,Ayasofya,472.1015625,-364.171875,7,,0.5,0.48487005
Rocks,1,WOD_Rocks_Round_Small_07,54,486,380,49,110,Ayasofya,486.3828125,-380.140625,7,,0.5,0.4760708
Rocks,1,WOD_Rocks_Round_Small_06,-57,468,365,31,22,Ayasofya,468.2421875,-365.828125,7,,0.5,0.45572275
Rocks,1,WOD_Rocks_Round_Small_09,75,545,378,113,100,Ayasofya,545.8828125,-378.21875,7,,0.5,0.42408925
Rocks,1,WOD_Rocks_Round_Small_05,-78,494,380,3,54,Ayasofya,494.0234375,-380.578125,7,,0.5,0.38271015
