name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Ruins,0,WOD_Ruins_01,450,411,115,15,45011541115,Ayasofya,450.8984375,-411.8828125
Ruins,0,WOD_Ruins_03,520,387,92,64,5209238764,Ayasofya,520.71875,-387.5
Ruins,0,WOD_Ruins_04,499,377,65,69,4996537769,Ayasofya,499.5078125,-377.4609375
Ruins,0,WOD_Ruins_03,453,364,35,38,4533536438,Ayasofya,453.2734375,-364.703125
Ruins,0,WOD_Ruins_02,485,368,109,32,48510936832,Ayasofya,485.8515625,-368.75
Ruins,0,WOD_Ruins_06,455,380,59,109,45559380109,Ayasofya,455.4609375,-380.1484375
Ruins,0,WOD_Ruins_06,541,371,92,104,54192371104,Ayasofya,541.71875,-371.1875
Ruins,0,WOD_Ruins_05,543,379,63,31,5436337931,Ayasofya,543.4921875,-379.7578125
Ruins,0,WOD_Ruins_02,460,375,116,76,46011637576,Ayasofya,460.90625,-375.40625
Ruins,0,WOD_Ruins_02,502,375,88,88,5028837588,Ayasofya,502.6875,-375.3125
Ruins,0,WOD_Ruins_03,458,383,102,60,45810238360,Ayasofya,458.796875,-383.53125
Ruins,0,WOD_Ruins_03,540,366,26,17,5402636617,Ayasofya,540.203125,-366.8671875
Ruins,0,WOD_Ruins_02,485,367,65,56,4856536756,Ayasofya,485.5078125,-367.5625
Ruins,0,WOD_Ruins_05,457,391,64,59,4576439159,Ayasofya,457.5,-391.5390625
Ruins,0,WOD_Ruins_01,519,367,45,10,5194536710,Ayasofya,519.3515625,-367.921875
Ruins,0,WOD_Ruins_03,472,379,44,45,4724437945,Ayasofya,472.34375,-379.6484375
Ruins,0,WOD_Ruins_04,540,383,92,79,5409238379,Ayasofya,540.71875,-383.3828125
Ruins,0,WOD_Ruins_02,450,371,65,77,4506537177,Ayasofya,450.5078125,-371.3984375
Ruins,0,WOD_Ruins_01,449,387,118,36,44911838736,Ayasofya,449.921875,-387.71875
Ruins,0,WOD_Ruins_05,491,382,4,20,4910438220,Ayasofya,491.03125,-382.84375
Ruins,0,WOD_Ruins_01,452,385,4,31,4520438531,Ayasofya,452.03125,-385.7578125
Ruins,0,WOD_Ruins_06,476,365,69,69,4766936569,Ayasofya,476.5390625,-365.4609375
Ruins,0,WOD_Ruins_01,457,401,26,10,4572640110,Ayasofya,457.203125,-401.921875
Ruins,0,WOD_Ruins_01,533,382,120,91,53312038291,Ayasofya,533.9375,-382.2890625
Ruins,0,WOD_Ruins_03,549,373,31,119,54931373119,Ayasofya,549.2421875,-373.0703125
Ruins,0,WOD_Ruins_02,463,390,38,64,4633839064,Ayasofya,463.296875,-390.5
Ruins,0,WOD_Ruins_02,533,386,113,74,53311338674,Ayasofya,533.8828125,-386.421875
Ruins,0,WOD_Ruins_03,458,392,35,8,4583539208,Ayasofya,458.2734375,-392.9375
Ruins,0,WOD_Ruins_05,546,376,72,102,54672376102,Ayasofya,546.5625,-376.203125
Ruins,0,WOD_Ruins_01,476,397,58,110,47658397110,Ayasofya,476.453125,-397.140625
Ruins,0,WOD_Ruins_03,453,413,20,108,45320413108,Ayasofya,453.15625,-413.15625
Ruins,0,WOD_Ruins_04,482,368,35,114,48235368114,Ayasofya,482.2734375,-368.109375
Ruins,0,WOD_Ruins_03,487,371,58,109,48758371109,Ayasofya,487.453125,-371.1484375
Ruins,0,WOD_Ruins_06,460,366,110,91,46011036691,Ayasofya,460.859375,-366.2890625
Ruins,0,WOD_Ruins_05,477,398,51,6,4775139806,Ayasofya,477.3984375,-398.953125
Ruins,0,WOD_Ruins_01,513,368,111,22,51311136822,Ayasofya,513.8671875,-368.828125
Ruins,0,WOD_Ruins_03,550,371,37,115,55037371115,Ayasofya,550.2890625,-371.1015625
Ruins,0,WOD_Ruins_06,474,400,29,44,4742940044,Ayasofya,474.2265625,-400.65625
Ruins,0,WOD_Ruins_05,509,371,81,60,5098137160,Ayasofya,509.6328125,-371.53125
