name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Dibella,0,WOD_Shrine_Dibella_01,541,376,13,55,5411337655,Ayasofya,541.102,-376.5703125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,451,410,22,74,4512241074,Ayasofya,451.172,-410.421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,496,375,18,64,4961837564,Ayasofya,496.141,-375.5
Shrine of Dibella,0,WOD_Shrine_Dibella_01,514,365,111,119,514111365119,Ayasofya,514.867,-365.0703125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,469,374,124,58,46912437458,Ayasofya,469.969,-374.546875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,508,373,60,110,50860373110,Ayasofya,508.469,-373.140625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,512,365,124,46,51212436546,Ayasofya,512.969,-365.640625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,495,373,23,56,4952337356,Ayasofya,495.18,-373.5625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,497,380,3,45,4970338045,Ayasofya,497.023,-380.6484375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,460,405,22,59,4602240559,Ayasofya,460.172,-405.5390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,472,398,3,102,47203398102,Ayasofya,472.023,-398.203125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,491,397,111,110,491111397110,Ayasofya,491.867,-397.140625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,451,416,52,122,45152416122,Ayasofya,451.406,-416.046875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,446,372,6,114,44606372114,Ayasofya,446.047,-372.109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,510,374,77,108,51077374108,Ayasofya,510.602,-374.15625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,489,391,100,58,48910039158,Ayasofya,489.781,-391.546875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,484,388,13,115,48413388115,Ayasofya,484.102,-388.1015625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,468,369,91,79,4689136979,Ayasofya,468.711,-369.3828125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,521,379,88,122,52188379122,Ayasofya,521.688,-379.046875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,530,373,111,24,53011137324,Ayasofya,530.867,-373.8125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,496,387,54,114,49654387114,Ayasofya,496.422,-387.109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,529,377,64,50,5296437750,Ayasofya,529.5,-377.609375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,486,367,90,104,48690367104,Ayasofya,486.703,-367.1875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,498,381,79,46,4987938146,Ayasofya,498.617,-381.640625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,454,373,113,99,45411337399,Ayasofya,454.883,-373.2265625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,458,402,9,73,4580940273,Ayasofya,458.07,-402.4296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,443,396,123,18,44312339618,Ayasofya,443.961,-396.859375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,457,370,120,102,457120370102,Ayasofya,457.938,-370.203125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,475,387,123,47,47512338747,Ayasofya,475.961,-387.6328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,505,390,44,101,50544390101,Ayasofya,505.344,-390.2109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,529,367,17,84,5291736784,Ayasofya,529.133,-367.34375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,475,394,40,23,4754039423,Ayasofya,475.313,-394.8203125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,520,376,77,123,52077376123,Ayasofya,520.602,-376.0390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,515,370,93,86,5159337086,Ayasofya,515.727,-370.328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,473,382,86,56,4738638256,Ayasofya,473.672,-382.5625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,552,377,111,46,55211137746,Ayasofya,552.867,-377.640625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,561,377,44,81,5614437781,Ayasofya,561.344,-377.3671875
