name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,sink,scale
Desert Mountain,1,WOD_Mountain_Desert_06,-3,413,476,78,87,4137847687,Bergama,413.609375,-476.3203125,8,1,0.6274398363615984
Desert Mountain,1,WOD_Mountain_Desert_03,30,414,478,95,115,41495478115,Bergama,414.7421875,-478.1015625,8,1,0.7410110126556931
Desert Mountain,1,WOD_Mountain_Desert_07,118,414,477,26,105,41426477105,Bergama,414.203125,-477.1796875,8,1,0.916513462580195
Desert Mountain,1,WOD_Mountain_Desert_07,-105,426,469,10,6,4261046906,Bergama,426.078125,-469.953125,8,1,0.7536392220433797
Desert Mountain,1,WOD_Mountain_Desert_02,-120,445,477,123,37,44512347737,Bergama,445.9609375,-477.7109375,8,1,0.6284889844567565
Desert Mountain,1,WOD_Mountain_Desert_02,121,445,477,23,90,4452347790,Bergama,445.1796875,-477.296875,8,1,0.6494973313658865
Desert Mountain,1,WOD_Mountain_Desert_06,-175,413,476,93,108,41393476108,Bergama,413.7265625,-476.15625,8,1,0.8188307209225967
Desert Mountain,1,WOD_Mountain_Desert_01,-31,413,477,123,124,413123477124,Bergama,413.9609375,-477.03125,8,1,0.6635675564074566
Desert Mountain,1,WOD_Mountain_Desert_02,70,414,476,69,65,4146947665,Bergama,414.5390625,-476.4921875,8,1,0.6452400224055347
Desert Mountain,1,WOD_Mountain_Desert_03,144,415,478,87,59,4158747859,Bergama,415.6796875,-478.5390625,8,1,0.7000634888808556
Desert Mountain,1,WOD_Mountain_Desert_07,91,414,477,40,73,4144047773,Bergama,414.3125,-477.4296875,8,1,0.814472567404841
Desert Mountain,1,WOD_Mountain_Desert_06,-91,414,477,40,56,4144047756,Bergama,414.3125,-477.5625,8,1,0.8809290978481442
Desert Mountain,1,WOD_Mountain_Desert_04,78,416,478,5,9,4160547809,Bergama,416.0390625,-478.9296875,8,1,0.8738457425372048
Desert Mountain,1,WOD_Mountain_Desert_04,150,416,479,46,105,41646479105,Bergama,416.359375,-479.1796875,8,1,0.7566858630294285
Desert Mountain,1,WOD_Mountain_Desert_01,-163,417,480,84,17,4178448017,Bergama,417.65625,-480.8671875,8,1,0.8236872731100962
Desert Mountain,1,WOD_Mountain_Desert_03,23,414,477,114,79,41411447779,Bergama,414.890625,-477.3828125,8,1,0.7903091635788246
Desert Mountain,1,WOD_Mountain_Desert_02,138,415,478,102,29,41510247829,Bergama,415.796875,-478.7734375,8,1,0.9987529818685766
Desert Mountain,1,WOD_Mountain_Desert_05,-111,414,476,109,19,41410947619,Bergama,414.8515625,-476.8515625,8,1,0.6008501579266111
Desert Mountain,1,WOD_Mountain_Desert_07,162,414,477,27,108,41427477108,Bergama,414.2109375,-477.15625,8,1,0.8275107673195228
Desert Mountain,1,WOD_Mountain_Desert_04,78,444,477,110,110,444110477110,Bergama,444.859375,-477.140625,8,1,0.9081503545209992
Desert Mountain,1,WOD_Mountain_Desert_05,-142,445,477,36,84,4453647784,Bergama,445.28125,-477.34375,8,1,0.9573624106062618
Desert Mountain,1,WOD_Mountain_Desert_07,-10,426,469,14,1,4261446901,Bergama,426.109375,-469.9921875,8,1,0.6633565888405556
Desert Mountain,1,WOD_Mountain_Desert_03,-65,406,462,70,9,4067046209,Bergama,406.546875,-462.9296875,8,1,0.7063125530354598
Desert Mountain,1,WOD_Mountain_Desert_06,-47,417,480,67,27,4176748027,Bergama,417.5234375,-480.7890625,8,1,0.9063541218797344
Desert Mountain,1,WOD_Mountain_Desert_02,63,417,481,44,124,41744481124,Bergama,417.34375,-481.03125,8,1,0.6903199647561922
Desert Mountain,1,WOD_Mountain_Desert_07,135,415,478,82,8,4158247808,Bergama,415.640625,-478.9375,8,1,0.9576435529573866
Desert Mountain,1,WOD_Mountain_Desert_07,-91,414,477,124,78,41412447778,Bergama,414.96875,-477.390625,8,1,0.754786962876622
Desert Mountain,1,WOD_Mountain_Desert_06,-147,413,476,105,52,41310547652,Bergama,413.8203125,-476.59375,8,1,0.7881821417414085
Desert Mountain,1,WOD_Mountain_Desert_07,154,445,476,69,128,44569476128,Bergama,445.5390625,-476.0,8,1,0.719858521687032
Desert Mountain,1,WOD_Mountain_Desert_06,45,416,479,51,72,4165147972,Bergama,416.3984375,-479.4375,8,1,0.7920173730415636
Desert Mountain,1,WOD_Mountain_Desert_03,-162,414,476,76,59,4147647659,Bergama,414.59375,-476.5390625,8,1,0.8951095430066678
Desert Mountain,1,WOD_Mountain_Desert_04,-70,414,476,46,59,4144647659,Bergama,414.359375,-476.5390625,8,1,0.9832765484630198
Desert Mountain,1,WOD_Mountain_Desert_07,-2,406,462,83,8,4068346208,Bergama,406.6484375,-462.9375,8,1,0.7041588630806113
Desert Mountain,1,WOD_Mountain_Desert_01,136,406,463,76,110,40676463110,Bergama,406.59375,-463.140625,8,1,0.9515005004264704
Desert Mountain,1,WOD_Mountain_Desert_02,170,445,476,27,40,4452747640,Bergama,445.2109375,-476.6875,8,1,0.8289645713826366
Desert Mountain,1,WOD_Mountain_Desert_02,-175,417,481,58,127,41758481127,Bergama,417.453125,-481.0078125,8,1,0.6733920434015828
Desert Mountain,1,WOD_Mountain_Desert_02,-12,413,476,105,106,413105476106,Bergama,413.8203125,-476.171875,8,1,0.8584430135000822
Desert Mountain,1,WOD_Mountain_Desert_07,-136,426,470,61,97,4266147097,Bergama,426.4765625,-470.2421875,8,1,0.7715593565491222
Desert Mountain,1,WOD_Mountain_Desert_07,-116,414,476,33,9,4143347609,Bergama,414.2578125,-476.9296875,8,1,0.605650782016132
Desert Mountain,1,WOD_Mountain_Desert_04,-65,414,477,67,58,4146747758,Bergama,414.5234375,-477.546875,8,1,0.7669218000604024
Desert Mountain,1,WOD_Mountain_Desert_03,-73,415,478,54,20,4155447820,Bergama,415.421875,-478.84375,8,1,0.7650414738237572
Desert Mountain,1,WOD_Mountain_Desert_03,164,445,477,93,42,4459347742,Bergama,445.7265625,-477.671875,8,1,0.8320500984714864
Desert Mountain,1,WOD_Mountain_Desert_03,-131,413,475,127,17,41312747517,Bergama,413.9921875,-475.8671875,8,1,0.9672324761354592
Desert Mountain,1,WOD_Mountain_Desert_05,78,426,470,125,99,42612547099,Bergama,426.9765625,-470.2265625,8,1,0.9574871718090936
Desert Mountain,1,WOD_Mountain_Desert_05,-18,413,475,61,99,4136147599,Bergama,413.4765625,-475.2265625,8,1,0.7700259653653664
Desert Mountain,1,WOD_Mountain_Desert_01,-49,413,476,83,86,4138347686,Bergama,413.6484375,-476.328125,8,1,0.7526506516674649
Desert Mountain,1,WOD_Mountain_Desert_05,20,445,476,77,32,4457747632,Bergama,445.6015625,-476.75,8,1,0.8177623015957314
Desert Mountain,1,WOD_Mountain_Desert_06,145,445,475,69,5,4456947505,Bergama,445.5390625,-475.9609375,8,1,0.9858891305870524
Desert Mountain,1,WOD_Mountain_Desert_01,-18,415,477,32,20,4153247720,Bergama,415.25,-477.84375,8,1,0.7677403966939094
Desert Mountain,1,WOD_Mountain_Desert_06,-165,414,477,109,96,41410947796,Bergama,414.8515625,-477.25,8,1,0.988750963271932
Desert Mountain,1,WOD_Mountain_Desert_07,15,444,476,90,35,4449047635,Bergama,444.703125,-476.7265625,8,1,0.9815694364185764
Desert Mountain,1,WOD_Mountain_Desert_06,61,445,477,93,77,4459347777,Bergama,445.7265625,-477.3984375,8,1,0.8096104378363693
