name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Ruins,0,WOD_Ruins_03,421,471,19,104,42119471104,Bergama,421.1484375,-471.1875
Ruins,0,WOD_Ruins_02,433,467,110,12,43311046712,Bergama,433.859375,-467.90625
Ruins,0,WOD_Ruins_06,410,462,63,40,4106346240,Bergama,410.4921875,-462.6875
Ruins,0,WOD_Ruins_02,398,457,13,87,3981345787,Bergama,398.1015625,-457.3203125
Ruins,0,WOD_Ruins_03,427,464,120,26,42712046426,Bergama,427.9375,-464.796875
Ruins,0,WOD_Ruins_04,438,480,110,99,43811048099,Bergama,438.859375,-480.2265625
Ruins,0,WOD_Ruins_05,410,465,55,93,4105546593,Bergama,410.4296875,-465.2734375
Ruins,0,WOD_Ruins_04,411,465,56,120,41156465120,Bergama,411.4375,-465.0625
Ruins,0,WOD_Ruins_05,436,465,64,105,43664465105,Bergama,436.5,-465.1796875
Ruins,0,WOD_Ruins_03,405,468,69,67,4056946867,Bergama,405.5390625,-468.4765625
