name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region
Shrine of Dibella,0,WOD_Shrine_Dibella_01,436,482,22,97,4362248297,Bergama
Shrine of Dibella,0,WOD_Shrine_Dibella_01,410,465,15,68,4101546568,Bergama
Shrine of Dibella,0,WOD_Shrine_Dibella_01,401,467,38,18,4013846718,Bergama
Shrine of Dibella,0,WOD_Shrine_Dibella_01,424,476,81,110,42481476110,Bergama
Shrine of Dibella,0,WOD_Shrine_Dibella_01,445,464,67,60,4456746460,Bergama
Shrine of Dibella,0,WOD_Shrine_Dibella_01,420,450,59,38,4205945038,Bergama
Shrine of Dibella,0,WOD_Shrine_Dibella_01,407,469,106,61,40710646961,Bergama
Shrine of Dibella,0,WOD_Shrine_Dibella_01,427,455,60,40,4276045540,Bergama
Shrine of Dibella,0,WOD_Shrine_Dibella_01,407,453,54,104,40754453104,Bergama
Shrine of Dibella,0,WOD_Shrine_Dibella_01,445,468,27,42,4452746842,Bergama
Shrine of Dibella,0,WOD_Shrine_Dibella_01,413,476,73,23,4137347623,Bergama
Shrine of Dibella,0,WOD_Shrine_Dibella_01,423,473,114,102,423114473102,Bergama
Shrine of Dibella,0,WOD_Shrine_Dibella_01,431,451,86,78,4318645178,Bergama
