name,type,prefab,worldX,worldY,terrainX,terrainY,gisX,gisY
WOD_Shrine,0,WOD_Shrine_Dibella_01,116,253,64,62,116.5,-253.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_07,120,253,107,66,120.8359375,-253.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_06,122,253,21,67,122.1640625,-253.5
WOD_BanditCamp,0,WOD_BanditCamp_06,122,253,64,21,122.5,-253.8359375
WOD_BanditCamp,0,WOD_BanditCamp_03,122,253,107,30,122.8359375,-253.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_08,114,254,66,21,114.5,-254.8359375
WOD_Ruins,0,WOD_Ruins_03,123,254,107,58,123.8359375,-254.5
WOD_Ruins,0,WOD_Ruins_04,124,254,107,60,124.8359375,-254.5
WOD_Ruins,0,WOD_Ruins_05,125,254,21,21,125.1640625,-254.8359375
WOD_Ruins,0,WOD_Ruins_01,127,254,21,21,127.1640625,-254.8359375
WOD_BanditCamp,0,WOD_BanditCamp_03,131,255,21,21,131.1640625,-255.8359375
WOD_BanditCamp,0,WOD_BanditCamp_01,132,255,21,64,132.1640625,-255.5
WOD_BanditCamp,0,WOD_BanditCamp_05,132,255,64,107,132.5,-255.1640625
WOD_BanditCamp,0,WOD_BanditCamp_03,112,257,107,116,112.8359375,-257.1640625
WOD_Ruins,0,WOD_Ruins_05,122,257,107,21,122.8359375,-257.8359375
WOD_BanditCamp,0,WOD_BanditCamp_07,127,257,64,107,127.5,-257.1640625
WOD_BanditCamp,0,WOD_BanditCamp_09,128,258,21,107,128.1640625,-258.1640625
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_07,117,259,66,107,117.5,-259.1640625
WOD_GuardTower,0,WOD_Guardtower_01,117,259,107,25,117.8359375,-259.8359375
WOD_BanditCamp,0,WOD_BanditCamp_08,128,259,21,64,128.1640625,-259.5
WOD_BanditCamp,0,WOD_BanditCamp_08,129,259,21,58,129.1640625,-259.5
WOD_OrcCamp,0,WOD_OrcCamp_Medium_01,129,259,107,56,129.8359375,-259.5
WOD_BanditFort,0,WOD_BanditFort_01,130,259,21,69,130.1640625,-259.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_02,124,260,21,24,124.1640625,-260.8359375
WOD_Ruins,0,WOD_Ruins_01,126,260,107,21,126.8359375,-260.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_03,127,260,68,64,127.5,-260.5
WOD_BanditCamp,0,WOD_BanditCamp_09,117,261,21,107,117.1640625,-261.1640625
WOD_Ruins,0,WOD_Ruins_01,117,261,107,21,117.8359375,-261.8359375
WOD_BanditFort,0,WOD_BanditFort_01,117,261,107,64,117.8359375,-261.5
WOD_BanditCamp,0,WOD_BanditCamp_07,123,261,58,21,123.5,-261.8359375
WOD_BanditCamp,0,WOD_BanditCamp_08,123,261,21,64,123.1640625,-261.5
WOD_BanditCamp,0,WOD_BanditCamp_08,127,261,21,107,127.1640625,-261.1640625
WOD_Ruins,0,WOD_Ruins_05,123,262,69,21,123.5,-262.8359375
WOD_BanditCamp,0,WOD_BanditCamp_08,129,262,107,64,129.8359375,-262.5
WOD_Ruins,0,WOD_Ruins_06,110,263,107,64,110.8359375,-263.5
WOD_BanditCamp,0,WOD_BanditCamp_08,123,263,59,64,123.5,-263.5
WOD_BanditCamp,0,WOD_BanditCamp_08,123,263,58,107,123.5,-263.1640625
WOD_Ruins,0,WOD_Ruins_02,110,264,21,107,110.1640625,-264.1640625
WOD_BanditCamp,0,WOD_BanditCamp_08,118,264,21,107,118.1640625,-264.1640625
WOD_BanditCamp,0,WOD_BanditCamp_05,119,264,21,107,119.1640625,-264.1640625
WOD_BanditCamp,0,WOD_BanditCamp_01,122,264,21,64,122.1640625,-264.5
WOD_OrcCamp,0,WOD_OrcCamp_Small_01,117,265,107,64,117.8359375,-265.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_02,121,266,60,64,121.5,-266.5
WOD_Ruins,0,WOD_Ruins_02,111,267,107,64,111.8359375,-267.5
WOD_GuardTower,0,WOD_Guardtower_01,116,267,64,59,116.5,-267.5
WOD_Ruins,0,WOD_Ruins_05,119,267,64,21,119.5,-267.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_01,119,267,107,21,119.8359375,-267.8359375
WOD_BanditCamp,0,WOD_BanditCamp_02,121,268,21,64,121.1640625,-268.5
