name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,gisX,gisY
WOD_Ruins,0,WOD_Ruins_01,650,86,64,107,6506486107,650.5,-86.1640625
WOD_FarmA,0,WOD_Farmaa01,650,86,107,118,65010786107,650.8359375,-86.1640625
WOD_BanditCamp,0,WOD_BanditCamp_05,633,87,107,64,6331078764,633.8359375,-87.5
WOD_BanditCamp,0,WOD_BanditCamp_03,634,87,21,107,6342187107,634.1640625,-87.1640625
WOD_FarmA,0,WOD_Farmaa04,637,87,107,64,6371078764,637.8359375,-87.5
WOD_FarmA,0,WOD_Farmaa01,642,87,21,21,642218721,642.1640625,-87.8359375
WOD_GuardTower,0,WOD_Guardtower_01,644,87,21,60,644218764,644.1640625,-87.5
WOD_Ruins,0,WOD_Ruins_01,644,87,107,21,6441078721,644.8359375,-87.8359375
WOD_Ruins,0,WOD_Ruins_02,647,87,21,21,647218721,647.1640625,-87.8359375
WOD_Ruins,0,WOD_Ruins_03,647,87,64,107,6476487107,647.5,-87.1640625
WOD_BanditCamp,0,WOD_BanditCamp_09,647,87,107,21,6471078721,647.8359375,-87.8359375
WOD_Ruins,0,WOD_Ruins_03,647,87,107,107,64710787107,647.8359375,-87.1640625
WOD_FarmA,0,WOD_Farmaa03,648,87,107,54,6481078764,648.8359375,-87.5
WOD_BanditCamp,0,WOD_BanditCamp_05,648,87,21,31,648218721,648.1640625,-87.8359375
WOD_Ruins,0,WOD_Ruins_02,648,87,21,64,648218764,648.1640625,-87.5
WOD_Ruins,0,WOD_Ruins_04,621,88,21,21,621218821,621.1640625,-88.8359375
WOD_BanditCamp,0,WOD_BanditCamp_03,621,88,64,107,6216488107,621.5,-88.1640625
WOD_FarmA,0,WOD_Farmaa02,626,88,49,64,626648864,626.5,-88.5
WOD_BanditFort,0,WOD_BanditFort_01,626,88,21,30,626218821,626.1640625,-88.8359375
WOD_BanditCamp,0,WOD_BanditCamp_04,628,88,21,64,628218864,628.1640625,-88.5
WOD_BanditCamp,0,WOD_BanditCamp_04,631,88,107,21,6311078821,631.8359375,-88.8359375
WOD_BanditCamp,0,WOD_BanditCamp_04,633,88,64,21,633648821,633.5,-88.8359375
WOD_BanditCamp,0,WOD_BanditCamp_08,633,88,107,64,6331078864,633.8359375,-88.5
WOD_Ruins,0,WOD_Ruins_02,638,88,21,21,638218821,638.1640625,-88.8359375
WOD_GuardTower,0,WOD_Guardtower_01,640,88,21,27,640218821,640.1640625,-88.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_06,644,88,107,26,6441078821,644.8359375,-88.8359375
WOD_BanditCamp,0,WOD_BanditCamp_07,646,88,21,31,646218821,646.1640625,-88.8359375
WOD_BanditCamp,0,WOD_BanditCamp_01,647,88,107,116,64710788107,647.8359375,-88.1640625
WOD_Ruins,0,WOD_Ruins_01,647,88,21,107,6472188107,647.1640625,-88.1640625
WOD_Ruins,0,WOD_Ruins_01,648,88,107,64,6481078864,648.8359375,-88.5
WOD_BanditCamp,0,WOD_BanditCamp_09,649,88,58,64,649648864,649.5,-88.5
WOD_BanditCamp,0,WOD_BanditCamp_07,649,88,58,107,6496488107,649.5,-88.1640625
WOD_Ruins,0,WOD_Ruins_06,651,88,21,21,651218821,651.1640625,-88.8359375
WOD_Ruins,0,WOD_Ruins_02,652,88,21,107,6522188107,652.1640625,-88.1640625
WOD_BanditCamp,0,WOD_BanditCamp_04,652,88,107,21,6521078821,652.8359375,-88.8359375
WOD_GuardTower,0,WOD_Guardtower_01,618,89,67,107,6186489107,618.5,-89.1640625
WOD_Ruins,0,WOD_Ruins_01,625,89,21,21,625218921,625.1640625,-89.8359375
WOD_BanditFort,0,WOD_BanditFort_01,625,89,107,116,62510789107,625.8359375,-89.1640625
WOD_BanditCamp,0,WOD_BanditCamp_02,627,89,64,107,6276489107,627.5,-89.1640625
WOD_BanditFort,0,WOD_BanditFort_01,628,89,21,107,6282189107,628.1640625,-89.1640625
WOD_BanditCamp,0,WOD_BanditCamp_06,629,89,107,21,6291078921,629.8359375,-89.8359375
WOD_BanditCamp,0,WOD_BanditCamp_01,630,89,107,64,6301078964,630.8359375,-89.5
WOD_BanditCamp,0,WOD_BanditCamp_09,639,89,58,21,639648921,639.5,-89.8359375
WOD_GuardTower,0,WOD_Guardtower_01,639,89,107,113,63910789107,639.8359375,-89.1640625
WOD_FarmA,0,WOD_Farmaa03,641,89,107,64,6411078964,641.8359375,-89.5
WOD_BanditFort,0,WOD_BanditFort_01,642,89,64,107,6426489107,642.5,-89.1640625
WOD_Ruins,0,WOD_Ruins_03,645,89,107,64,6451078964,645.8359375,-89.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_04,645,89,107,112,64510789107,645.8359375,-89.1640625
WOD_Ruins,0,WOD_Ruins_02,615,90,21,107,6152190107,615.1640625,-90.1640625
WOD_FarmA,0,WOD_Farmaa00,616,90,64,21,616649021,616.5,-90.8359375
WOD_FarmA,0,WOD_Farmaa03,616,90,64,107,6166490107,616.5,-90.1640625
WOD_FarmA,0,WOD_Farmaa02,620,90,107,107,62010790107,620.8359375,-90.1640625
