name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Camp,0,WOD_BanditCamp_05,369,50,26,95,369265095,Daenia,369.203125,-50.2578125
Bandit Camp,0,WOD_BanditCamp_05,406,79,19,52,406197952,Daenia,406.1484375,-79.59375
Bandit Camp,0,WOD_BanditCamp_01,415,71,36,3,415367103,Daenia,415.28125,-71.9765625
Bandit Fort,0,WOD_BanditFort_01,350,125,54,56,3505412556,Daenia,350.421875,-125.5625
Bandit Camp,0,WOD_BanditCamp_02,365,64,51,106,3655164106,Daenia,365.3984375,-64.171875
Bandit Camp,0,WOD_BanditCamp_03,363,94,27,99,363279499,Daenia,363.2109375,-94.2265625
Bandit Camp,0,WOD_BanditCamp_01,379,53,29,88,379295388,Daenia,379.2265625,-53.3125
Bandit Camp,0,WOD_BanditCamp_05,347,110,78,40,3477811040,Daenia,347.609375,-110.6875
Bandit Camp,0,WOD_BanditCamp_03,371,109,31,22,3713110922,Daenia,371.2421875,-109.828125
Bandit Camp,0,WOD_BanditCamp_06,354,87,47,38,354478738,Daenia,354.3671875,-87.703125
Bandit Camp,0,WOD_BanditCamp_03,370,103,49,31,3704910331,Daenia,370.3828125,-103.7578125
Bandit Fort,0,WOD_BanditFort_02,363,83,60,97,363608397,Daenia,363.46875,-83.2421875
Bandit Camp,0,WOD_BanditCamp_06,402,112,60,5,4026011205,Daenia,402.46875,-112.9609375
Bandit Camp,0,WOD_BanditCamp_06,370,73,99,93,370997393,Daenia,370.7734375,-73.2734375
Bandit Camp,0,WOD_BanditCamp_02,403,109,77,88,4037710988,Daenia,403.6015625,-109.3125
Bandit Fort,0,WOD_BanditFort_01,379,86,69,92,379698692,Daenia,379.5390625,-86.28125
Bandit Camp,0,WOD_BanditCamp_03,352,61,97,77,352976177,Daenia,352.7578125,-61.3984375
Bandit Camp,0,WOD_BanditCamp_05,394,56,54,101,3945456101,Daenia,394.421875,-56.2109375
Bandit Fort,0,WOD_BanditFort_01,348,55,40,58,348405558,Daenia,348.3125,-55.546875
Bandit Fort,0,WOD_BanditFort_01,348,123,97,8,3489712308,Daenia,348.7578125,-123.9375
Bandit Camp,0,WOD_BanditCamp_05,354,110,46,77,3544611077,Daenia,354.359375,-110.3984375
Bandit Fort,0,WOD_BanditFort_02,366,110,64,45,3666411045,Daenia,366.5,-110.6484375
Bandit Fort,0,WOD_BanditFort_02,385,39,99,56,385993956,Daenia,385.7734375,-39.5625
Bandit Fort,0,WOD_BanditFort_01,386,75,101,114,38610175114,Daenia,386.7890625,-75.109375
Bandit Camp,0,WOD_BanditCamp_03,369,106,20,27,3692010627,Daenia,369.15625,-106.7890625
