fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate
8,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,369,101,41,100,36941101100,Daenia,369.3203125,-101.21875,1
40,Logging Camp,0,WOD_LoggingCamp_Medium_Destroyed_Woodlands,,356,116,8,45,3560811645,Daenia,356.0625,-116.6484375,1
73,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,385,92,88,27,385889227,Daenia,385.6875,-92.7890625,1
139,Logging Camp,0,WOD_LoggingCamp_Medium_Mountains,,376,114,42,15,3764211415,Daenia,376.328125,-114.8828125,1
142,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,409,55,31,84,409315584,Daenia,409.2421875,-55.34375,1
205,Logging Camp,0,WOD_LoggingCamp_Small_Destroyed_Mountains,,395,60,33,99,395336099,Daenia,395.2578125,-60.2265625,1
218,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,358,110,5,106,35805110106,Daenia,358.0390625,-110.171875,1
226,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,395,100,96,14,3959610014,Daenia,395.75,-100.890625,1
242,Logging Camp,0,WOD_LoggingCamp_Small_Woodlands,,370,53,100,31,3701005331,Daenia,370.78125,-53.7578125,1
313,Logging Camp,0,WOD_LoggingCamp_Small_Mountains,,387,47,63,108,3876347108,Daenia,387.4921875,-47.15625,1
328,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,402,113,18,22,4021811322,Daenia,402.140625,-113.828125,1
336,Logging Camp,0,WOD_LoggingCamp_Medium_Woodlands,,396,85,100,58,3961008558,Daenia,396.78125,-85.546875,1
345,Logging Camp,0,WOD_LoggingCamp_Small_Destroyed_Mountains,,358,87,101,115,35810187115,Daenia,358.7890625,-87.1015625,1
