name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Dibella,0,WOD_Shrine_Dibella_01,418,74,50,86,418507486,Daenia,418.391,-74.328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,418,45,120,123,41812045123,Daenia,418.938,-45.0390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,352,128,20,33,3522012833,Daenia,352.156,-128.7421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,347,42,90,95,347904295,Daenia,347.703,-42.2578125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,362,44,122,13,3621224413,Daenia,362.953,-44.8984375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,390,57,87,28,390875728,Daenia,390.68,-57.78125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,401,61,8,115,4010861115,Daenia,401.063,-61.1015625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,366,100,37,18,3663710018,Daenia,366.289,-100.859375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,407,66,17,88,407176688,Daenia,407.133,-66.3125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,370,113,100,4,37010011304,Daenia,370.781,-113.96875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,397,73,5,61,397057361,Daenia,397.039,-73.5234375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,348,95,70,51,348709551,Daenia,348.547,-95.6015625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,369,73,99,63,369997363,Daenia,369.773,-73.5078125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,351,122,63,82,3516312282,Daenia,351.492,-122.359375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,361,62,26,79,361266279,Daenia,361.203,-62.3828125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,360,81,54,76,360548176,Daenia,360.422,-81.40625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,414,97,59,33,414599733,Daenia,414.461,-97.7421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,386,113,122,31,38612211331,Daenia,386.953,-113.7578125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,357,114,81,90,3578111490,Daenia,357.633,-114.296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,378,54,60,23,378605423,Daenia,378.469,-54.8203125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,375,116,55,86,3755511686,Daenia,375.43,-116.328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,374,59,82,91,374825991,Daenia,374.641,-59.2890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,407,66,27,84,407276684,Daenia,407.211,-66.34375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,348,49,73,54,348734954,Daenia,348.57,-49.578125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,393,68,14,15,393146815,Daenia,393.109,-68.8828125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,385,95,119,124,38511995124,Daenia,385.93,-95.03125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,367,65,22,90,367226590,Daenia,367.172,-65.296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,394,59,10,116,3941059116,Daenia,394.078,-59.09375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,360,65,44,116,3604465116,Daenia,360.344,-65.09375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,392,112,116,59,39211611259,Daenia,392.906,-112.5390625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,415,89,42,55,415428955,Daenia,415.328,-89.5703125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,415,55,106,36,4151065536,Daenia,415.828,-55.71875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,370,98,56,118,3705698118,Daenia,370.438,-98.078125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,392,73,46,51,392467351,Daenia,392.359,-73.6015625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,391,46,73,92,391734692,Daenia,391.57,-46.28125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,387,64,17,114,3871764114,Daenia,387.133,-64.109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,356,110,82,37,3568211037,Daenia,356.641,-110.7109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,392,43,73,108,3927343108,Daenia,392.57,-43.15625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,387,85,42,45,387428545,Daenia,387.328,-85.6484375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,367,67,92,56,367926756,Daenia,367.719,-67.5625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,367,51,100,19,3671005119,Daenia,367.781,-51.8515625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,366,119,59,122,36659119122,Daenia,366.461,-119.046875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,401,79,101,111,40110179111,Daenia,401.789,-79.1328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,371,66,100,90,3711006690,Daenia,371.781,-66.296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,392,109,41,88,3924110988,Daenia,392.32,-109.3125
