name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Camp,0,WOD_BanditCamp_02,210,168,6,17,2100616817,Daggerfall,210.046875,-168.8671875
Bandit Camp,0,WOD_BanditCamp_03,141,202,102,68,14110220268,Daggerfall,141.796875,-202.46875
Bandit Camp,0,WOD_BanditCamp_05,139,178,45,28,1394517828,Daggerfall,139.3515625,-178.78125
Bandit Camp,0,WOD_BanditCamp_01,236,132,63,35,2366313235,Daggerfall,236.4921875,-132.7265625
Bandit Fort,0,WOD_BanditFort_01,255,132,54,111,25554132111,Daggerfall,255.421875,-132.1328125
Bandit Camp,0,WOD_BanditCamp_06,244,181,33,83,2443318183,Daggerfall,244.2578125,-181.3515625
Bandit Fort,0,WOD_BanditFort_02,146,187,100,40,14610018740,Daggerfall,146.78125,-187.6875
Bandit Camp,0,WOD_BanditCamp_02,207,227,5,49,2070522749,Daggerfall,207.0390625,-227.6171875
Bandit Camp,0,WOD_BanditCamp_05,270,174,96,68,2709617468,Daggerfall,270.75,-174.46875
Bandit Camp,0,WOD_BanditCamp_01,271,161,78,46,2717816146,Daggerfall,271.609375,-161.640625
Bandit Fort,0,WOD_BanditFort_01,215,187,40,5,2154018705,Daggerfall,215.3125,-187.9609375
Bandit Fort,0,WOD_BanditFort_02,185,165,90,113,18590165113,Daggerfall,185.703125,-165.1171875
Bandit Camp,0,WOD_BanditCamp_01,247,191,65,73,2476519173,Daggerfall,247.5078125,-191.4296875
Bandit Fort,0,WOD_BanditFort_01,139,206,99,108,13999206108,Daggerfall,139.7734375,-206.15625
Bandit Camp,0,WOD_BanditCamp_01,267,196,63,17,2676319617,Daggerfall,267.4921875,-196.8671875
Bandit Camp,0,WOD_BanditCamp_05,230,170,35,100,23035170100,Daggerfall,230.2734375,-170.21875
Bandit Camp,0,WOD_BanditCamp_06,275,197,124,26,27512419726,Daggerfall,275.96875,-197.796875
Bandit Camp,0,WOD_BanditCamp_06,90,172,60,54,906017254,Daggerfall,90.46875,-172.578125
Bandit Fort,0,WOD_BanditFort_02,281,195,24,78,2812419578,Daggerfall,281.1875,-195.390625
Bandit Camp,0,WOD_BanditCamp_01,118,157,10,96,1181015796,Daggerfall,118.078125,-157.25
Bandit Camp,0,WOD_BanditCamp_05,100,196,3,114,10003196114,Daggerfall,100.0234375,-196.109375
Bandit Camp,0,WOD_BanditCamp_03,264,185,26,54,2642618554,Daggerfall,264.203125,-185.578125
