name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Ruins,0,WOD_Ruins_01,289,202,41,119,28941202119,Daggerfall,289.3203125,-202.0703125
Ruins,0,WOD_Ruins_03,100,163,26,26,1002616326,Daggerfall,100.203125,-163.796875
Ruins,0,WOD_Ruins_06,90,174,79,46,907917446,Daggerfall,90.6171875,-174.640625
Ruins,0,WOD_Ruins_01,226,199,105,113,226105199113,Daggerfall,226.8203125,-199.1171875
Ruins,0,WOD_Ruins_02,206,225,24,93,2062422593,Daggerfall,206.1875,-225.2734375
Ruins,0,WOD_Ruins_02,153,175,3,68,1530317568,Daggerfall,153.0234375,-175.46875
Ruins,0,WOD_Ruins_05,140,193,23,33,1402319333,Daggerfall,140.1796875,-193.7421875
Ruins,0,WOD_Ruins_02,138,186,27,115,13827186115,Daggerfall,138.2109375,-186.1015625
Ruins,0,WOD_Ruins_04,209,193,87,72,2098719372,Daggerfall,209.6796875,-193.4375
Ruins,0,WOD_Ruins_05,256,149,120,31,25612014931,Daggerfall,256.9375,-149.7578125
Ruins,0,WOD_Ruins_03,125,179,82,77,1258217977,Daggerfall,125.640625,-179.3984375
Ruins,0,WOD_Ruins_04,253,166,17,3,2531716603,Daggerfall,253.1328125,-166.9765625
Ruins,0,WOD_Ruins_01,272,212,97,76,2729721276,Daggerfall,272.7578125,-212.40625
Ruins,0,WOD_Ruins_02,115,174,69,9,1156917409,Daggerfall,115.5390625,-174.9296875
Ruins,0,WOD_Ruins_02,189,220,77,52,1897722052,Daggerfall,189.6015625,-220.59375
Ruins,0,WOD_Ruins_02,152,169,27,8,1522716908,Daggerfall,152.2109375,-169.9375
Ruins,0,WOD_Ruins_01,280,206,54,44,2805420644,Daggerfall,280.421875,-206.65625
Ruins,0,WOD_Ruins_06,176,172,78,23,1767817223,Daggerfall,176.609375,-172.8203125
Ruins,0,WOD_Ruins_05,226,170,27,59,2262717059,Daggerfall,226.2109375,-170.5390625
Ruins,0,WOD_Ruins_05,197,205,51,12,1975120512,Daggerfall,197.3984375,-205.90625
Ruins,0,WOD_Ruins_04,172,183,37,78,1723718378,Daggerfall,172.2890625,-183.390625
Ruins,0,WOD_Ruins_06,210,164,32,102,21032164102,Daggerfall,210.25,-164.203125
Ruins,0,WOD_Ruins_04,232,211,70,22,2327021122,Daggerfall,232.546875,-211.828125
Ruins,0,WOD_Ruins_03,158,182,3,13,1580318213,Daggerfall,158.0234375,-182.8984375
