name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,altitude,sink,scale
Mountain,1,WOD_Mountain_03,103,675,441,26,36,Dak'fron,675.203125,-441.71875,4.0,9,1,0.7201615
Mountain,1,WOD_Mountain_10,145,690,448,64,42,Dak'fron,690.5,-448.671875,4.0,9,1,0.6532304
Mountain,1,WOD_Mountain_02,-68,716,472,60,109,Dak'fron,716.46875,-472.1484375,4.0,9,1,0.8032177
Mountain,1,WOD_Mountain_06,180,706,460,84,109,Dak'fron,706.65625,-460.1484375,4.0,9,1,0.6419098
Mountain,1,WOD_Mountain_08,-149,690,448,24,119,Dak'fron,690.1875,-448.0703125,4.0,9,1,0.6112135
Mountain,1,WOD_Mountain_10,113,692,450,42,3,Dak'fron,692.328125,-450.9765625,4.0,9,1,0.8036858
Mountain,1,WOD_Mountain_05,-114,714,472,124,123,Dak'fron,714.96875,-472.0390625,4.0,9,1,0.7104439
Mountain,1,WOD_Mountain_07,7,674,440,36,22,Dak'fron,674.28125,-440.828125,4.0,5,1,0.7266409
Mountain,1,WOD_Mountain_10,3,685,445,27,97,Dak'fron,685.2109375,-445.2421875,4.0,5,1,0.711992
Mountain,1,WOD_Mountain_01,121,706,463,74,83,Dak'fron,706.578125,-463.3515625,4.0,5,1,0.9428934
Mountain,1,WOD_Mountain_10,-164,695,455,77,32,Dak'fron,695.6015625,-455.75,4.0,5,1,0.7853414
Mountain,1,WOD_Mountain_10,-134,718,473,96,29,Dak'fron,718.75,-473.7734375,4.0,5,1,0.7085221
Mountain,1,WOD_Mountain_10,47,682,444,102,50,Dak'fron,682.796875,-444.609375,4.0,5,1,0.6056682
Mountain,1,WOD_Mountain_10,-173,716,473,108,27,Dak'fron,716.84375,-473.7890625,4.0,5,1,0.9160918
Mountain,1,WOD_Mountain_09,2,690,450,127,63,Dak'fron,690.9921875,-450.5078125,4.0,5,1,0.9241638
Mountain,1,WOD_Mountain_09,-163,714,472,1,70,Dak'fron,714.0078125,-472.453125,4.0,5,1,0.6872154
Mountain,1,WOD_Mountain_10,171,685,451,111,78,Dak'fron,685.8671875,-451.390625,4.0,5,1,0.9801396
Mountain,1,WOD_Mountain_10,-1,685,452,36,74,Dak'fron,685.28125,-452.421875,4.0,5,1,0.6558634
Mountain,1,WOD_Mountain_08,-30,683,445,90,15,Dak'fron,683.703125,-445.8828125,4.0,5,1,0.7265161
Mountain,1,WOD_Mountain_10,-143,687,451,96,6,Dak'fron,687.75,-451.953125,4.0,5,1,0.6490057
Mountain,1,WOD_Mountain_05,-134,683,442,113,91,Dak'fron,683.8828125,-442.2890625,4.0,5,1,0.786824
Mountain,1,WOD_Mountain_02,61,703,457,58,22,Dak'fron,703.453125,-457.828125,4.0,5,1,0.9496555
Mountain,1,WOD_Mountain_06,-167,674,441,118,19,Dak'fron,674.921875,-441.8515625,4.0,5,1,0.7590643
Mountain,1,WOD_Mountain_02,-22,715,472,74,63,Dak'fron,715.578125,-472.5078125,4.0,5,1,0.9684067
Mountain,1,WOD_Mountain_10,-98,685,450,24,22,Dak'fron,685.1875,-450.828125,4.0,5,1,0.6689714
Mountain,1,WOD_Mountain_08,147,712,470,128,15,Dak'fron,713.0,-470.8828125,4.0,5,1,0.6607667
Mountain,1,WOD_Mountain_01,-28,714,471,93,65,Dak'fron,714.7265625,-471.4921875,4.0,5,1,0.8184514
Mountain,1,WOD_Mountain_06,153,694,452,32,74,Dak'fron,694.25,-452.421875,4.0,5,1,0.7367253
Mountain,1,WOD_Mountain_08,116,713,471,69,108,Dak'fron,713.5390625,-471.15625,4.0,5,1,0.7267383
Mountain,1,WOD_Mountain_05,-73,721,475,84,123,Dak'fron,721.65625,-475.0390625,4.0,5,1,0.9418832
Mountain,1,WOD_Mountain_04,-124,687,449,41,91,Dak'fron,687.3203125,-449.2890625,4.0,5,1,0.6628886
