name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,sink,scale
Foothills,1,WOD_Mountain_Desert_06,140,674,443,76,67,6747644367,Dak'fron,674.59375,-443.4765625,4.0,1,0.6341244
Foothills,1,WOD_Mountain_Desert_03,-129,681,443,116,124,681116443124,Dak'fron,681.90625,-443.03125,4.0,1,0.6085435
Foothills,1,WOD_Mountain_Desert_01,-4,686,452,60,4,6866045204,Dak'fron,686.46875,-452.96875,4.0,1,0.6672568
Foothills,1,WOD_Mountain_Desert_05,-137,693,450,109,23,69310945023,Dak'fron,693.8515625,-450.8203125,4.0,1,0.8694613
Foothills,1,WOD_Mountain_Desert_02,-18,712,472,122,88,71212247288,Dak'fron,712.953125,-472.3125,4.0,1,0.9653569
Foothills,1,WOD_Mountain_Desert_07,-166,680,440,69,118,68069440118,Dak'fron,680.5390625,-440.078125,4.0,1,0.8648697
Foothills,1,WOD_Mountain_Desert_06,-137,686,445,124,96,68612444596,Dak'fron,686.96875,-445.25,4.0,1,0.8164182
Foothills,1,WOD_Mountain_Desert_06,28,692,451,108,15,69210845115,Dak'fron,692.84375,-451.8828125,4.0,1,0.747085
Foothills,1,WOD_Mountain_Desert_04,29,711,471,69,84,7116947184,Dak'fron,711.5390625,-471.34375,4.0,1,0.7516943
Foothills,1,WOD_Mountain_Desert_05,37,697,456,20,52,6972045652,Dak'fron,697.15625,-456.59375,4.0,1,0.7768517
Foothills,1,WOD_Mountain_Desert_02,75,674,443,60,87,6746044387,Dak'fron,674.46875,-443.3203125,4.0,1,0.9426665
Foothills,1,WOD_Mountain_Desert_03,29,674,443,87,123,67487443123,Dak'fron,674.6796875,-443.0390625,4.0,1,0.8818728
Foothills,1,WOD_Mountain_Desert_06,176,689,451,45,27,6894545127,Dak'fron,689.3515625,-451.7890625,4.0,1,0.6838769
Foothills,1,WOD_Mountain_Desert_06,1,720,475,86,24,7208647524,Dak'fron,720.671875,-475.8125,4.0,1,0.6250946
Foothills,1,WOD_Mountain_Desert_03,168,694,455,12,33,6941245533,Dak'fron,694.09375,-455.7421875,4.0,1,0.6870899
Foothills,1,WOD_Mountain_Desert_03,-67,705,464,97,106,70597464106,Dak'fron,705.7578125,-464.171875,4.0,1,0.9827862
Foothills,1,WOD_Mountain_Desert_03,2,677,440,128,0,67712844000,Dak'fron,678.0,-441.0,4.0,1,0.6485199
Foothills,1,WOD_Mountain_Desert_01,135,690,451,76,65,6907645165,Dak'fron,690.59375,-451.4921875,4.0,1,0.7903092
Foothills,1,WOD_Mountain_Desert_06,17,705,460,1,102,70501460102,Dak'fron,705.0078125,-460.203125,4.0,1,0.849392
Foothills,1,WOD_Mountain_Desert_06,168,712,473,110,96,71211047396,Dak'fron,712.859375,-473.25,4.0,1,0.683184
Foothills,1,WOD_Mountain_Desert_07,27,684,454,70,122,68470454122,Dak'fron,684.546875,-454.046875,4.0,1,0.7783419
Foothills,1,WOD_Mountain_Desert_05,-70,706,461,99,101,70699461101,Dak'fron,706.7734375,-461.2109375,4.0,1,0.7904769
Foothills,1,WOD_Mountain_Desert_03,-133,694,451,37,96,6943745196,Dak'fron,694.2890625,-451.25,4.0,1,0.7451144
Foothills,1,WOD_Mountain_Desert_04,-113,716,470,12,12,7161247012,Dak'fron,716.09375,-470.90625,4.0,1,0.8875286
Foothills,1,WOD_Mountain_Desert_06,-33,689,450,93,127,68993450127,Dak'fron,689.7265625,-450.0078125,4.0,1,0.7993163
Foothills,1,WOD_Mountain_Desert_04,-123,696,454,90,99,6969045499,Dak'fron,696.703125,-454.2265625,4.0,1,0.8788639
Foothills,1,WOD_Mountain_Desert_06,-165,697,455,9,38,6970945538,Dak'fron,697.0703125,-455.703125,4.0,1,0.7655483
Foothills,1,WOD_Mountain_Desert_03,-11,721,476,3,35,7210347635,Dak'fron,721.0234375,-476.7265625,4.0,1,0.927615
Foothills,1,WOD_Mountain_Desert_01,125,713,469,120,36,71312046936,Dak'fron,713.9375,-469.71875,4.0,1,0.7880817
Foothills,1,WOD_Mountain_Desert_03,-7,719,474,122,108,719122474108,Dak'fron,719.953125,-474.15625,4.0,1,0.6189694
Foothills,1,WOD_Mountain_Desert_05,-70,702,458,10,52,7021045852,Dak'fron,702.078125,-458.59375,4.0,1,0.7878925
Foothills,1,WOD_Mountain_Desert_02,-159,690,451,128,13,69012845113,Dak'fron,691.0,-451.8984375,4.0,1,0.6204437
Foothills,1,WOD_Mountain_Desert_01,-1,675,442,90,44,6759044244,Dak'fron,675.703125,-442.65625,4.0,1,0.754248
Foothills,1,WOD_Mountain_Desert_05,-42,706,462,28,108,70628462108,Dak'fron,706.21875,-462.15625,4.0,1,0.9444175
Foothills,1,WOD_Mountain_Desert_05,169,695,454,22,78,6952245478,Dak'fron,695.171875,-454.390625,4.0,1,0.6888701
Foothills,1,WOD_Mountain_Desert_03,26,716,470,70,79,7167047079,Dak'fron,716.546875,-470.3828125,4.0,1,0.6645572
Foothills,1,WOD_Mountain_Desert_07,39,689,450,3,15,6890345015,Dak'fron,689.0234375,-450.8828125,4.0,1,0.8478786
Foothills,1,WOD_Mountain_Desert_07,-143,688,450,92,88,6889245088,Dak'fron,688.71875,-450.3125,4.0,1,0.7348226
Foothills,1,WOD_Mountain_Desert_03,-118,685,453,91,68,6859145368,Dak'fron,685.7109375,-453.46875,4.0,1,0.9471999
