name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,altitude,sink,scale
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,-16,559,449,45,100,Dak'fron,559.3515625,-449.21875,9,,0.5,0.9228556
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,-175,581,477,46,128,Dak'fron,581.359375,-477.0,9,,0.5,0.8596084
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,125,669,473,27,5,Dak'fron,669.2109375,-473.9609375,9,,0.5,0.8889304
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,81,463,497,118,52,Dak'fron,463.921875,-497.59375,9,,0.5,0.7622894
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,105,596,469,17,114,Dak'fron,596.1328125,-469.109375,9,,0.5,0.8712634
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,-29,652,479,97,123,Dak'fron,652.7578125,-479.0390625,9,,0.5,0.9290085
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,34,639,480,26,38,Dak'fron,639.203125,-480.703125,9,,0.5,0.7779049
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,-60,589,450,74,120,Dak'fron,589.578125,-450.0625,9,,0.5,0.8416165
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,-166,510,471,6,115,Dak'fron,510.046875,-471.1015625,9,,0.5,0.8987363
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,-67,529,467,73,45,Dak'fron,529.5703125,-467.6484375,9,,0.5,0.9289334
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,155,685,476,92,86,Dak'fron,685.71875,-476.328125,9,,0.5,0.9524013
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,-85,643,463,82,60,Dak'fron,643.640625,-463.53125,9,,0.5,0.8700848
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,141,591,480,83,26,Dak'fron,591.6484375,-480.796875,9,,0.5,0.9544861
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,86,542,472,91,106,Dak'fron,542.7109375,-472.171875,9,,0.5,0.8315951
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,-91,523,473,1,8,Dak'fron,523.0078125,-473.9375,9,,0.5,0.8731399
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,54,572,478,18,54,Dak'fron,572.140625,-478.578125,9,,0.5,0.8391225
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,-177,666,497,101,78,Dak'fron,666.7890625,-497.390625,9,,0.5,0.9294365
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,-72,542,480,35,64,Dak'fron,542.2734375,-480.5,9,,0.5,0.7743812
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,55,636,464,83,87,Dak'fron,636.6484375,-464.3203125,9,,0.5,0.9970307
Rocks,1,WOD_Rocks_RoundSpiky_Small_07,-157,572,470,15,47,Dak'fron,572.1171875,-470.6328125,9,,0.5,0.9314289
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,120,592,459,128,124,Dak'fron,593.0,-459.03125,9,,0.5,0.9368539
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,109,616,453,15,83,Dak'fron,616.1171875,-453.3515625,9,,0.5,0.7594799
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,70,648,484,86,99,Dak'fron,648.671875,-484.2265625,9,,0.5,0.8956173
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,66,545,492,26,124,Dak'fron,545.203125,-492.03125,9,,0.5,0.8268915
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,-173,589,460,82,104,Dak'fron,589.640625,-460.1875,9,,0.5,0.9973078
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,-106,541,471,72,69,Dak'fron,541.5625,-471.4609375,9,,0.5,0.8696619
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,-13,721,496,20,13,Dak'fron,721.15625,-496.8984375,9,,0.5,0.895478
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,-42,626,444,68,47,Dak'fron,626.53125,-444.6328125,9,,0.5,0.8949227
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,-143,532,457,116,77,Dak'fron,532.90625,-457.3984375,9,,0.5,0.9524631
Rocks,1,WOD_Rocks_RoundSpiky_Small_01,120,634,446,35,118,Dak'fron,634.2734375,-446.078125,9,,0.5,0.7760152
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,15,545,485,114,52,Dak'fron,545.890625,-485.59375,9,,0.5,0.8133031
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,-100,558,469,14,35,Dak'fron,558.109375,-469.7265625,9,,0.5,0.7588162
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,68,649,496,93,55,Dak'fron,649.7265625,-496.5703125,9,,0.5,0.993324
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,-52,513,471,8,119,Dak'fron,513.0625,-471.0703125,9,,0.5,0.9798536
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,-65,602,489,13,49,Dak'fron,602.1015625,-489.6171875,9,,0.5,0.8224366
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,149,628,455,90,84,Dak'fron,628.703125,-455.34375,9,,0.5,0.92505
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,84,571,479,49,95,Dak'fron,571.3828125,-479.2578125,9,,0.5,0.7974052
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,-99,597,468,46,68,Dak'fron,597.359375,-468.46875,9,,0.5,0.8024909
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,-158,629,473,93,9,Dak'fron,629.7265625,-473.9296875,9,,0.5,0.7601695
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,-112,657,495,125,37,Dak'fron,657.9765625,-495.7109375,9,,0.5,0.7774497
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,-18,681,485,67,63,Dak'fron,681.5234375,-485.5078125,9,,0.5,0.8945199
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,15,639,474,5,8,Dak'fron,639.0390625,-474.9375,9,,0.5,0.966872
Rocks,1,WOD_Rocks_RoundSpiky_Small_04,117,621,444,82,44,Dak'fron,621.640625,-444.65625,9,,0.5,0.9479012
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,-89,603,439,115,110,Dak'fron,603.8984375,-439.140625,9,,0.5,0.9213814
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,-136,649,486,37,73,Dak'fron,649.2890625,-486.4296875,9,,0.5,0.9775006
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,113,630,447,42,119,Dak'fron,630.328125,-447.0703125,9,,0.5,0.75813
Rocks,1,WOD_Rocks_RoundSpiky_Small_08,-136,512,481,15,40,Dak'fron,512.1171875,-481.6875,9,,0.5,0.7842318
Rocks,1,WOD_Rocks_RoundSpiky_Small_05,-78,590,478,63,114,Dak'fron,590.4921875,-478.109375,9,,0.5,0.9021321
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,34,656,487,101,35,Dak'fron,656.7890625,-487.7265625,9,,0.5,0.7647738
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,38,601,481,92,88,Dak'fron,601.71875,-481.3125,9,,0.5,0.754519
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,88,527,485,84,88,Dak'fron,527.65625,-485.3125,9,,0.5,0.9263906
Rocks,1,WOD_Rocks_RoundSpiky_Small_06,47,554,453,35,26,Dak'fron,554.2734375,-453.796875,9,,0.5,0.9646055
