name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,683,449,54,109,68354449109,Dak'fron,683.421875,-449.1484375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,670,471,69,113,67069471113,Dak'fron,670.5390625,-471.1171875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,635,443,86,91,6358644391,Dak'fron,635.671875,-443.2890625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,517,480,110,105,517110480105,Dak'fron,517.859375,-480.1796875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,679,452,41,10,6794145210,Dak'fron,679.3203125,-452.921875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_02,554,470,14,46,5541447046,Dak'fron,554.109375,-470.640625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,589,467,56,97,5895646797,Dak'fron,589.4375,-467.2421875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_04,709,494,51,55,7095149455,Dak'fron,709.3984375,-494.5703125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_05,580,473,14,42,5801447342,Dak'fron,580.109375,-473.671875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_06,618,430,88,101,61888430101,Dak'fron,618.6875,-430.2109375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_07,505,466,111,58,50511146658,Dak'fron,505.8671875,-466.546875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,587,451,95,60,5879545160,Dak'fron,587.7421875,-451.53125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,538,468,65,73,5386546873,Dak'fron,538.5078125,-468.4296875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,681,451,118,86,68111845186,Dak'fron,681.921875,-451.328125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,704,493,13,82,7041349382,Dak'fron,704.1015625,-493.359375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,680,485,14,1,6801448501,Dak'fron,680.109375,-485.9921875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,494,474,56,82,4945647482,Dak'fron,494.4375,-474.359375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_02,580,446,1,46,5800144646,Dak'fron,580.0078125,-446.640625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,593,455,109,60,59310945560,Dak'fron,593.8515625,-455.53125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_04,571,472,78,86,5717847286,Dak'fron,571.609375,-472.328125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_05,677,454,91,116,67791454116,Dak'fron,677.7109375,-454.09375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_06,638,463,18,27,6381846327,Dak'fron,638.140625,-463.7890625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,641,468,60,111,64160468111,Dak'fron,641.46875,-468.1328125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,628,441,54,69,6285444169,Dak'fron,628.421875,-441.4609375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,512,473,33,74,5123347374,Dak'fron,512.2578125,-473.421875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,618,471,41,26,6184147126,Dak'fron,618.3203125,-471.796875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_02,638,463,64,37,6386446337,Dak'fron,638.5,-463.7109375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,612,473,32,72,6123247372,Dak'fron,612.25,-473.4375
