fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,sink
10,Desert Mountain,1,WOD_Mountain_Desert_03,9,542,448,109,105,542109448105,Dak'fron,542.8515625,-448.1796875,8,1
118,Desert Mountain,1,WOD_Mountain_Desert_06,172,533,452,13,110,53313452110,Dak'fron,533.1015625,-452.140625,8,1
134,Desert Mountain,1,WOD_Mountain_Desert_01,52,471,488,122,108,471122488108,Dak'fron,471.953125,-488.15625,8,1
185,Desert Mountain,1,WOD_Mountain_Desert_03,-8,474,487,24,104,47424487104,Dak'fron,474.1875,-487.1875,8,1
186,Desert Mountain,1,WOD_Mountain_Desert_04,-164,488,477,123,86,48812347786,Dak'fron,488.9609375,-477.328125,8,1
222,Desert Mountain,1,WOD_Mountain_Desert_05,109,460,494,52,5,4605249405,Dak'fron,460.40625,-494.9609375,8,1
251,Desert Mountain,1,WOD_Mountain_Desert_06,12,467,492,125,27,46712549227,Dak'fron,467.9765625,-492.7890625,8,1
285,Desert Mountain,1,WOD_Mountain_Desert_05,21,596,438,20,70,5962043870,Dak'fron,596.15625,-438.453125,8,1
346,Desert Mountain,1,WOD_Mountain_Desert_03,164,514,462,35,31,5143546231,Dak'fron,514.2734375,-462.7578125,8,1
511,Desert Mountain,1,WOD_Mountain_Desert_07,71,508,460,82,116,50882460116,Dak'fron,508.640625,-460.09375,8,1
538,Desert Mountain,1,WOD_Mountain_Desert_06,52,473,489,124,87,47312448987,Dak'fron,473.96875,-489.3203125,8,1
640,Desert Mountain,1,WOD_Mountain_Desert_03,43,520,453,14,88,5201445388,Dak'fron,520.109375,-453.3125,8,1
655,Desert Mountain,1,WOD_Mountain_Desert_04,176,482,483,93,114,48293483114,Dak'fron,482.7265625,-483.109375,8,1
794,Desert Mountain,1,WOD_Mountain_Desert_03,-87,563,447,97,106,56397447106,Dak'fron,563.7578125,-447.171875,8,1
808,Desert Mountain,1,WOD_Mountain_Desert_03,-174,482,483,8,96,4820848396,Dak'fron,482.0625,-483.25,8,1
864,Desert Mountain,1,WOD_Mountain_Desert_03,-97,565,443,54,12,5655444312,Dak'fron,565.421875,-443.90625,8,1
1002,Desert Mountain,1,WOD_Mountain_Desert_01,151,579,458,8,1,5790845801,Dak'fron,579.0625,-458.9921875,9,1
1004,Desert Mountain,1,WOD_Mountain_Desert_03,-35,587,447,91,6,5879144706,Dak'fron,587.7109375,-447.953125,9,1
1006,Desert Mountain,1,WOD_Mountain_Desert_05,-132,476,497,125,69,47612549769,Dak'fron,476.9765625,-497.4609375,9,1
1007,Desert Mountain,1,WOD_Mountain_Desert_06,-4,718,493,113,102,718113493102,Dak'fron,718.8828125,-493.203125,9,1
1011,Desert Mountain,1,WOD_Mountain_Desert_03,-36,674,471,124,41,67412447141,Dak'fron,674.96875,-471.6796875,9,1
1015,Desert Mountain,1,WOD_Mountain_Desert_07,64,698,477,114,19,69811447719,Dak'fron,698.890625,-477.8515625,9,1
1016,Desert Mountain,1,WOD_Mountain_Desert_01,-62,572,481,46,49,5724648149,Dak'fron,572.359375,-481.6171875,9,1
1018,Desert Mountain,1,WOD_Mountain_Desert_03,171,595,446,93,63,5959344663,Dak'fron,595.7265625,-446.5078125,9,1
1019,Desert Mountain,1,WOD_Mountain_Desert_04,-7,487,495,51,17,4875149517,Dak'fron,487.3984375,-495.8671875,9,1
1020,Desert Mountain,1,WOD_Mountain_Desert_05,-32,660,451,96,8,6609645108,Dak'fron,660.75,-451.9375,9,1
1021,Desert Mountain,1,WOD_Mountain_Desert_06,-81,589,477,52,105,58952477105,Dak'fron,589.40625,-477.1796875,9,1
1022,Desert Mountain,1,WOD_Mountain_Desert_07,161,504,469,3,122,50403469122,Dak'fron,504.0234375,-469.046875,9,1
1024,Desert Mountain,1,WOD_Mountain_Desert_02,85,697,483,113,0,69711348300,Dak'fron,697.8828125,-484,9,1
1025,Desert Mountain,1,WOD_Mountain_Desert_03,32,677,495,73,31,6777349531,Dak'fron,677.5703125,-495.7578125,9,1
1026,Desert Mountain,1,WOD_Mountain_Desert_04,70,654,466,45,100,65445466100,Dak'fron,654.3515625,-466.21875,9,1
1028,Desert Mountain,1,WOD_Mountain_Desert_06,-132,640,449,10,118,64010449118,Dak'fron,640.078125,-449.078125,9,1
1030,Desert Mountain,1,WOD_Mountain_Desert_01,-6,496,493,83,17,4968349317,Dak'fron,496.6484375,-493.8671875,9,1
1032,Desert Mountain,1,WOD_Mountain_Desert_03,86,520,492,77,86,5207749286,Dak'fron,520.6015625,-492.328125,9,1
1033,Desert Mountain,1,WOD_Mountain_Desert_04,-176,462,496,95,12,4629549612,Dak'fron,462.7421875,-496.90625,9,1
1034,Desert Mountain,1,WOD_Mountain_Desert_05,2,626,453,44,101,62644453101,Dak'fron,626.34375,-453.2109375,9,1
1035,Desert Mountain,1,WOD_Mountain_Desert_06,177,651,496,14,97,6511449697,Dak'fron,651.109375,-496.2421875,9,1
1036,Desert Mountain,1,WOD_Mountain_Desert_07,-41,659,489,76,8,6597648908,Dak'fron,659.59375,-489.9375,9,1
