Location,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,LocationType
Ruins of The Old Yeoming Hovel,2.0,WOD_Balfiera_Dock_Lighthouse_Small_01,-90.0,671,203,0,64,6715620368,Isle of Balfiera,671.4375,-203.46875,4.0,DungeonRuin
Ruins of Castle Gaerton,2.0,WOD_Dock_Small_01,180.0,125,201,64,127,1256320163,Daggerfall,125.4921875,-201.5078125,1.0,DungeonRuin
Ruins of Moorford Manor,2.0,WOD_Dock_Small_01,180.0,717,135,64,127,7176913565,Alcaire,717.5390625,-135.4921875,1.0,DungeonRuin
Ruins of Old Vannorya's Place,2.0,WOD_Dock_Small_01,-90.0,793,193,0,64,7935919363,Menevia,793.4609375,-193.5078125,1.0,DungeonRuin
Ruins of The Ghuldten Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,564,295,64,0,5645629560,Tigonus,564.4375,-295.53125,6.0,DungeonRuin
Ruins of The Bernar Farmstead,2.0,WOD_HF_Dock_Small_01,0.0,411,372,64,0,4116837273,Sentinel,411.53125,-372.4296875,7.0,DungeonRuin
Ruins of Tlolp'kern Manor,2.0,WOD_HF_Dock_Small_01,0.0,246,405,64,0,2466540554,Pothago,246.5078125,-405.578125,7.0,DungeonRuin
Ruins of Saerk Hall,2.0,WOD_HF_Dock_Small_01,-90.0,153,483,0,64,1535648377,Abibon-gora,153.4375,-483.3984375,7.0,DungeonRuin
Ruins of Cosh Hall,2.0,WOD_HF_Dock_Small_01,90.0,439,343,127,64,4396734361,Cybiades,439.5234375,-343.5234375,7.0,DungeonRuin
Ruins of Mhoghton Orchard,2.0,WOD_HF_Dock_Small_01,0.0,198,458,64,0,1986945870,Abibon-gora,198.5390625,-458.453125,7.0,DungeonRuin
Ruins of The Dhirtum Farmstead,2.0,WOD_HF_Dock_Small_01,-90.0,179,457,0,64,1795845765,Abibon-gora,179.453125,-457.4921875,7.0,DungeonRuin
Ruins of Tower Darhtin,2.0,WOD_HF_Dock_Small_01,0.0,176,460,64,0,1765246067,Abibon-gora,176.40625,-460.4765625,7.0,DungeonRuin
Ruins of Old Evelanna's Hovel,2.0,WOD_Dock_Small_01,0.0,727,188,64,0,7277018869,Isle of Balfiera,727.546875,-188.4609375,4.0,DungeonRuin
Ruins of Coppercroft Court,2.0,WOD_Dock_Small_01,-135.0,685,225,0,0,6854622563,Isle of Balfiera,685.359375,-225.5078125,4.0,DungeonRuin
Ruins of The Greening Cabin,2.0,WOD_Dock_Small_01,180.0,654,201,64,127,6546520165,Isle of Balfiera,654.5078125,-201.4921875,1.0,DungeonRuin
Ruins of Old Lysayne's Hovel,2.0,WOD_Dock_Small_01,180.0,646,202,64,127,6465820261,Isle of Balfiera,646.453125,-202.5234375,1.0,DungeonRuin
Ruins of Mastersley Grange,2.0,WOD_Dock_Small_01,0.0,663,178,64,0,6635417858,Isle of Balfiera,663.421875,-178.546875,1.0,DungeonRuin
Ruins of Greenhouse Manor,,nan,,361,40,72,65,361724065,Ykalon,361.5625,-40.4921875,1.0,DungeonRuin
Ruins of The Hold of Greenwing,,nan,,685,182,64,60,6856418260,Isle of Balfiera,685.5,-182.53125,4.0,DungeonRuin
Ruins of The Grusom Plantation,,nan,,888,379,51,69,8885137969,Totambu,888.3984375,-379.4609375,5.0,DungeonRuin
Ruins of Castle Gag,,nan,,879,382,58,67,8795838267,Totambu,879.453125,-382.4765625,5.0,DungeonRuin
Ruins of The Tower of M'ofylom,,nan,,854,306,82,73,8548230673,Satakalaam,854.640625,-306.4296875,5.0,DungeonRuin
