name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Dragontail Border Tower,0,WOD_DragontailMountains_BorderTower_01,,916,471,26,120,91626471120,Dragontail Mountains,916.203125,-471.0625
Dragontail Border Tower,0,WOD_DragontailMountains_ScoutTower_01,90,662,303,73,119,66273303119,Dragontail Mountains,662.5703125,-303.0703125
Dragontail Border Tower,0,WOD_DragontailMountains_BorderTower_01,180,849,383,108,24,84910838324,Dragontail Mountains,849.84375,-383.8125
Dragontail Border Tower,0,WOD_DragontailMountains_BorderTower_01,180,661,302,122,101,661122302101,Dragontail Mountains,661.953125,-302.2109375
Dragontail Border Tower,0,WOD_DragontailMountains_ScoutTower_01,90,655,297,122,122,655122297122,Dragontail Mountains,655.953125,-297.046875
Dragontail Border Tower,0,WOD_DragontailMountains_ScoutTower_01,90,761,375,24,123,76124375123,Dragontail Mountains,761.1875,-375.0390625
Dragontail Border Tower,0,WOD_DragontailMountains_BorderTower_01,180,688,331,111,54,68811133154,Dragontail Mountains,688.8671875,-331.578125
Dragontail Border Tower,0,WOD_DragontailMountains_ScoutTower_01,180,832,378,101,102,832101378102,Dragontail Mountains,832.7890625,-378.203125
Dragontail Border Tower,0,WOD_DragontailMountains_BorderTower_01,90,819,378,73,111,81973378111,Dragontail Mountains,819.5703125,-378.1328125
Dragontail Border Tower,0,WOD_DragontailMountains_ScoutTower_01,,897,396,29,114,89729396114,Dragontail Mountains,897.2265625,-396.109375
