name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,altitude,sink,scale
Rocks,1,WOD_Rocks_Round_Small_03,-128,552,17,106,109,Dwynnen,552.828125,-17.1484375,1,4.0,0.5,0.47282495
Rocks,1,WOD_Rocks_Round_Small_04,-107,521,24,116,31,Dwynnen,521.90625,-24.7578125,1,4.0,0.5,0.47788885
Rocks,1,WOD_Rocks_Round_Small_02,-50,500,28,86,0,Dwynnen,500.671875,-29.0,1,4.0,0.5,0.4878995
Rocks,1,WOD_Rocks_Round_Small_04,88,546,113,105,66,Dwynnen,546.8203125,-113.484375,1,4.0,0.5,0.47905735
Rocks,1,WOD_Rocks_Round_Small_02,-55,529,127,83,117,Dwynnen,529.6484375,-127.0859375,1,4.0,0.5,0.4566281
Rocks,1,WOD_Rocks_Round_Small_02,-6,563,28,5,82,Dwynnen,563.0390625,-28.359375,1,4.0,0.5,0.39294795
Rocks,1,WOD_Rocks_Round_Small_04,-70,575,104,31,26,Dwynnen,575.2421875,-104.796875,1,4.0,0.5,0.43337645
Rocks,1,WOD_Rocks_Round_Small_08,-145,517,109,23,56,Dwynnen,517.1796875,-109.5625,1,4.0,0.5,0.4792148
Rocks,1,WOD_Rocks_Round_Small_09,67,558,30,87,63,Dwynnen,558.6796875,-30.5078125,1,4.0,0.5,0.38670395
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,145,495,26,100,52,Dwynnen,495.78125,-26.59375,2,4.0,0.5,0.4777687
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,-72,496,24,4,112,Dwynnen,496.03125,-24.125,2,4.0,0.5,0.4195313
Rocks,1,WOD_Rocks_Round_Small_05,72,492,64,78,79,Dwynnen,492.609375,-64.3828125,1,4.0,0.5,0.4946935
Rocks,1,WOD_Rocks_Round_Small_03,36,590,59,0,98,Dwynnen,590.0,-59.234375,1,4.0,0.5,0.3870046
Rocks,1,WOD_Rocks_Round_Small_03,159,494,66,65,72,Dwynnen,494.5078125,-66.4375,1,4.0,0.5,0.4953637
Rocks,1,WOD_Rocks_Round_Small_04,31,558,16,3,16,Dwynnen,558.0234375,-16.875,1,4.0,0.5,0.3906531
Rocks,1,WOD_Rocks_Round_Small_07,143,537,25,122,82,Dwynnen,537.953125,-25.359375,1,4.0,0.5,0.4828182
Rocks,1,WOD_Rocks_Round_Small_09,128,542,24,19,57,Dwynnen,542.1484375,-24.5546875,1,4.0,0.5,0.39227025
Rocks,1,WOD_Rocks_RoundSpiky_Small_03,-159,489,24,65,96,Dwynnen,489.5078125,-24.25,2,4.0,0.5,0.4597952
Rocks,1,WOD_Rocks_Round_Small_06,173,590,52,82,39,Dwynnen,590.640625,-52.6953125,1,4.0,0.5,0.4529752
Rocks,1,WOD_Rocks_Round_Small_02,-9,533,24,12,25,Dwynnen,533.09375,-24.8046875,1,4.0,0.5,0.4763859
Rocks,1,WOD_Rocks_Round_Small_07,-14,550,21,36,45,Dwynnen,550.28125,-21.6484375,1,4.0,0.5,0.4255602
Rocks,1,WOD_Rocks_Round_Small_03,55,495,72,19,1,Dwynnen,495.1484375,-72.9921875,1,4.0,0.5,0.4784405
Rocks,1,WOD_Rocks_Round_Small_03,-136,516,23,36,103,Dwynnen,516.28125,-23.1953125,1,4.0,0.5,0.4382049
Rocks,1,WOD_Rocks_Round_Small_07,-105,508,73,122,50,Dwynnen,508.953125,-73.609375,1,4.0,0.5,0.40707735
Rocks,1,WOD_Rocks_Round_Small_03,-130,539,22,101,42,Dwynnen,539.7890625,-22.671875,1,4.0,0.5,0.3890955
Rocks,1,WOD_Rocks_Round_Small_03,142,533,124,124,3,Dwynnen,533.96875,-124.9765625,1,4.0,0.5,0.3767744
Rocks,1,WOD_Rocks_Round_Small_02,-62,496,67,5,9,Dwynnen,496.0390625,-67.9296875,1,4.0,0.5,0.41589725
Rocks,1,WOD_Rocks_Round_Small_09,0,551,24,70,90,Dwynnen,551.546875,-24.296875,1,4.0,0.5,0.44466635
Rocks,1,WOD_Rocks_Round_Small_07,-73,539,22,12,79,Dwynnen,539.09375,-22.3828125,1,4.0,0.5,0.3876301
Rocks,1,WOD_Rocks_Round_Small_08,59,541,24,67,25,Dwynnen,541.5234375,-24.8046875,1,4.0,0.5,0.4705806
Rocks,1,WOD_Rocks_Round_Small_04,-138,544,22,101,37,Dwynnen,544.7890625,-22.7109375,1,4.0,0.5,0.39129795
Rocks,1,WOD_Rocks_Round_Small_06,119,513,27,9,123,Dwynnen,513.0703125,-27.0390625,1,4.0,0.5,0.4224217
Rocks,1,WOD_Rocks_Round_Small_05,-65,531,127,99,21,Dwynnen,531.7734375,-127.8359375,1,4.0,0.5,0.46722875
Rocks,1,WOD_Rocks_Round_Small_05,-168,542,32,108,37,Dwynnen,542.84375,-32.7109375,1,4.0,0.5,0.4881573
Rocks,1,WOD_Rocks_Round_Small_04,180,530,127,17,62,Dwynnen,530.1328125,-127.515625,1,4.0,0.5,0.3900427
Rocks,1,WOD_Rocks_Round_Small_08,-99,561,30,100,54,Dwynnen,561.78125,-30.578125,1,4.0,0.5,0.45788225
Rocks,1,WOD_Rocks_Round_Small_09,27,492,61,8,84,Dwynnen,492.0625,-61.34375,1,4.0,0.5,0.46122735
Rocks,1,WOD_Rocks_Round_Small_09,-58,584,49,6,100,Dwynnen,584.046875,-49.21875,1,4.0,0.5,0.48670795
Rocks,1,WOD_Rocks_Round_Small_03,-111,494,76,56,63,Dwynnen,494.4375,-76.5078125,1,4.0,0.5,0.4637341
Rocks,1,WOD_Rocks_Round_Small_02,124,549,21,119,75,Dwynnen,549.9296875,-21.4140625,1,4.0,0.5,0.4269621
Rocks,1,WOD_Rocks_Round_Small_09,6,515,22,38,68,Dwynnen,515.296875,-22.46875,1,4.0,0.5,0.4484543
Rocks,1,WOD_Rocks_RoundSpiky_Small_09,152,501,22,93,3,Dwynnen,501.7265625,-22.9765625,2,4.0,0.5,0.465735
Rocks,1,WOD_Rocks_Round_Small_01,-168,555,22,88,10,Dwynnen,555.6875,-22.921875,1,4.0,0.5,0.4848167
Rocks,1,WOD_Rocks_RoundSpiky_Small_02,-157,499,26,33,12,Dwynnen,499.2578125,-26.90625,2,4.0,0.5,0.43734985
Rocks,1,WOD_Rocks_Round_Small_04,-169,585,41,119,90,Dwynnen,585.9296875,-41.296875,1,4.0,0.5,0.4431981
Rocks,1,WOD_Rocks_Round_Small_05,-10,553,22,45,108,Dwynnen,553.3515625,-22.15625,1,4.0,0.5,0.3973207
Rocks,1,WOD_Rocks_Round_Small_06,150,554,17,24,49,Dwynnen,554.1875,-17.6171875,1,4.0,0.5,0.4235514
Rocks,1,WOD_Rocks_Round_Small_03,67,557,22,102,37,Dwynnen,557.796875,-22.7109375,1,4.0,0.5,0.39214235
Rocks,1,WOD_Rocks_Round_Small_07,-82,523,23,93,111,Dwynnen,523.7265625,-23.1328125,1,4.0,0.5,0.3912055
Rocks,1,WOD_Rocks_Round_Small_02,-178,538,117,67,76,Dwynnen,538.5234375,-117.40625,1,4.0,0.5,0.44793855
Rocks,1,WOD_Rocks_Round_Small_04,-151,550,23,73,95,Dwynnen,550.5703125,-23.2578125,1,4.0,0.5,0.37685935
Rocks,1,WOD_Rocks_Round_Small_06,79,517,22,76,56,Dwynnen,517.59375,-22.5625,1,4.0,0.5,0.40349485
Rocks,1,WOD_Rocks_Round_Small_05,-34,551,31,20,82,Dwynnen,551.15625,-31.359375,1,4.0,0.5,0.42774995
Rocks,1,WOD_Rocks_Round_Small_07,-122,591,59,84,102,Dwynnen,591.65625,-59.203125,1,4.0,0.5,0.3837797
Rocks,1,WOD_Rocks_Round_Small_09,16,546,27,113,95,Dwynnen,546.8828125,-27.2578125,1,4.0,0.5,0.45572825
Rocks,1,WOD_Rocks_Round_Small_09,-178,497,70,36,79,Dwynnen,497.28125,-70.3828125,1,4.0,0.5,0.47882445
Rocks,1,WOD_Rocks_RoundSpiky_Small_10,-93,494,24,23,113,Dwynnen,494.1796875,-24.1171875,2,4.0,0.5,0.40270905
Rocks,1,WOD_Rocks_Round_Small_02,3,508,73,4,81,Dwynnen,508.03125,-73.3671875,1,4.0,0.5,0.4533441
