name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Dibella,0,WOD_Shrine_Dibella_01,499,106,31,104,49931106104,Dwynnen,499.242,-106.1875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,541,100,58,83,5415810083,Dwynnen,541.453,-100.3515625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,498,97,86,92,498869792,Dwynnen,498.672,-97.28125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,572,33,113,90,5721133390,Dwynnen,572.883,-33.296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,549,110,52,5,5495211005,Dwynnen,549.406,-110.9609375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,539,65,120,91,5391206591,Dwynnen,539.938,-65.2890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,522,152,17,77,5221715277,Dwynnen,522.133,-152.3984375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,519,16,13,97,519131697,Dwynnen,519.102,-16.2421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,570,59,13,93,570135993,Dwynnen,570.102,-59.2734375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,526,40,88,4,526884004,Dwynnen,526.688,-40.96875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,509,83,15,77,509158377,Dwynnen,509.117,-83.3984375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,503,77,119,33,5031197733,Dwynnen,503.93,-77.7421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,519,141,79,106,51979141106,Dwynnen,519.617,-141.171875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,550,86,64,101,5506486101,Dwynnen,550.5,-86.2109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,563,58,67,24,563675824,Dwynnen,563.523,-58.8125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,533,135,23,15,5332313515,Dwynnen,533.18,-135.8828125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,505,55,100,81,5051005581,Dwynnen,505.781,-55.3671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,517,72,115,12,5171157212,Dwynnen,517.898,-72.90625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,491,91,92,10,491929110,Dwynnen,491.719,-91.921875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,527,16,47,73,527471673,Dwynnen,527.367,-16.4296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,514,42,47,108,5144742108,Dwynnen,514.367,-42.15625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,511,77,3,10,511037710,Dwynnen,511.023,-77.921875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,512,75,27,17,512277517,Dwynnen,512.211,-75.8671875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,519,69,10,44,519106944,Dwynnen,519.078,-69.65625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,502,46,61,26,502614626,Dwynnen,502.477,-46.796875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,563,47,77,44,563774744,Dwynnen,563.602,-47.65625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,548,74,47,31,548477431,Dwynnen,548.367,-74.7578125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,523,128,101,110,523101128110,Dwynnen,523.789,-128.140625
