name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Guardtower,0,WOD_Guardtower_01,817,453,93,60,8179345360,Ephesus,817.7265625,-453.53125
Guardtower,0,WOD_Guardtower_01,877,460,44,9,8774446009,Ephesus,877.34375,-460.9296875
Guardtower,0,WOD_Guardtower_01,893,466,120,113,893120466113,Ephesus,893.9375,-466.1171875
Guardtower,0,WOD_Guardtower_01,853,454,77,67,8537745467,Ephesus,853.6015625,-454.4765625
Guardtower,0,WOD_Guardtower_01,899,437,56,45,8995643745,Ephesus,899.4375,-437.6484375
Guardtower,0,WOD_Guardtower_01,885,458,4,77,8850445877,Ephesus,885.03125,-458.3984375
Guardtower,0,WOD_Guardtower_01,822,430,96,92,8229643092,Ephesus,822.75,-430.28125
Guardtower,0,WOD_Guardtower_01,911,466,104,31,91110446631,Ephesus,911.8125,-466.7578125
Guardtower,0,WOD_Guardtower_01,864,430,97,119,86497430119,Ephesus,864.7578125,-430.0703125
Guardtower,0,WOD_Guardtower_01,840,461,78,61,8407846161,Ephesus,840.609375,-461.5234375
Guardtower,0,WOD_Guardtower_01,858,431,36,100,85836431100,Ephesus,858.28125,-431.21875
Guardtower,0,WOD_Guardtower_01,898,455,29,5,8982945505,Ephesus,898.2265625,-455.9609375
Guardtower,0,WOD_Guardtower_01,900,467,84,92,9008446792,Ephesus,900.65625,-467.28125
Guardtower,0,WOD_Guardtower_01,843,435,82,27,8438243527,Ephesus,843.640625,-435.7890625
Guardtower,0,WOD_Guardtower_01,840,468,38,115,84038468115,Ephesus,840.296875,-468.1015625
Guardtower,0,WOD_Guardtower_01,829,433,51,95,8295143395,Ephesus,829.3984375,-433.2578125
