name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,altitude,sink,scale
Mountain,1,WOD_Mountain_04,59,885,438,54,114,88554438114,Ephesus,885.421875,-438.109375,4.0,9,1,0.7533766075303111
Mountain,1,WOD_Mountain_10,-31,882,436,4,51,8820443651,Ephesus,882.03125,-436.6015625,4.0,9,1,0.827217824437573
Mountain,1,WOD_Mountain_06,-29,834,450,99,122,83499450122,Ephesus,834.7734375,-450.046875,4.0,9,1,0.9112627003799402
Mountain,1,WOD_Mountain_08,-80,820,458,127,13,82012745813,Ephesus,820.9921875,-458.8984375,4.0,9,1,0.7824601328866194
Mountain,1,WOD_Mountain_04,-98,836,461,100,54,83610046154,Ephesus,836.78125,-461.578125,4.0,9,1,0.6645238071539985
Mountain,1,WOD_Mountain_02,113,881,461,29,88,8812946188,Ephesus,881.2265625,-461.3125,4.0,9,1,0.6977702368006411
Mountain,1,WOD_Mountain_04,56,922,428,110,18,92211042818,Ephesus,922.859375,-428.859375,4.0,9,1,0.8419382078980184
Mountain,1,WOD_Mountain_06,-80,870,451,54,18,8705445118,Ephesus,870.421875,-451.859375,4.0,9,1,0.8769888477480079
Mountain,1,WOD_Mountain_07,61,836,453,3,33,8360345333,Ephesus,836.0234375,-453.7421875,4.0,9,1,0.6892326530562474
Mountain,1,WOD_Mountain_05,136,846,436,93,83,8469343683,Ephesus,846.7265625,-436.3515625,4.0,9,1,0.8575960796918549
Mountain,1,WOD_Mountain_10,-170,856,467,114,104,856114467104,Ephesus,856.890625,-467.1875,4.0,9,1,0.7695420194232718
Mountain,1,WOD_Mountain_04,-158,871,432,108,23,87110843223,Ephesus,871.84375,-432.8203125,4.0,9,1,0.8472061715995366
Mountain,1,WOD_Mountain_09,17,869,463,116,86,86911646386,Ephesus,869.90625,-463.328125,4.0,9,1,0.7715074803783064
Mountain,1,WOD_Mountain_03,-103,913,443,41,104,91341443104,Ephesus,913.3203125,-443.1875,4.0,9,1,0.6276667981820552
Mountain,1,WOD_Mountain_08,-111,884,425,31,42,8843142542,Ephesus,884.2421875,-425.671875,4.0,9,1,0.665877662599165
Mountain,1,WOD_Mountain_10,-172,843,436,46,93,8434643693,Ephesus,843.359375,-436.2734375,4.0,9,1,0.6839374995900489
Mountain,1,WOD_Mountain_08,33,822,442,81,44,8228144244,Ephesus,822.6328125,-442.65625,4.0,9,1,0.9777489559935736
Mountain,1,WOD_Mountain_10,35,814,436,3,64,8140343664,Ephesus,814.0234375,-436.5,4.0,9,1,0.6232116641295502
Mountain,1,WOD_Mountain_07,-163,921,441,19,46,9211944146,Ephesus,921.1484375,-441.640625,4.0,9,1,0.8785373955261837
Mountain,1,WOD_Mountain_08,-179,875,466,41,86,8754146686,Ephesus,875.3203125,-466.328125,4.0,9,1,0.871757109399427
Mountain,1,WOD_Mountain_09,-155,908,438,113,118,908113438118,Ephesus,908.8828125,-438.078125,4.0,9,1,0.8072802855722653
Mountain,1,WOD_Mountain_10,30,844,454,105,13,84410545413,Ephesus,844.8203125,-454.8984375,4.0,9,1,0.8347137385832675
Mountain,1,WOD_Mountain_08,140,820,446,114,49,82011444649,Ephesus,820.890625,-446.6171875,4.0,9,1,0.7584238811229175
Mountain,1,WOD_Mountain_10,-150,908,435,64,79,9086443579,Ephesus,908.5,-435.3828125,4.0,9,1,0.6333689741768074
Mountain,1,WOD_Mountain_08,-178,868,428,22,70,8682242870,Ephesus,868.171875,-428.453125,4.0,9,1,0.9288470932776982
Mountain,1,WOD_Mountain_06,-97,891,426,33,44,8913342644,Ephesus,891.2578125,-426.65625,4.0,9,1,0.65877865816015
Mountain,1,WOD_Mountain_06,-148,917,445,56,10,9175644510,Ephesus,917.4375,-445.921875,4.0,9,1,0.7227240398180784
Mountain,1,WOD_Mountain_04,167,912,442,108,0,91210844200,Ephesus,912.84375,-443.0,4.0,9,1,0.8798488217002067
Mountain,1,WOD_Mountain_09,176,904,434,81,72,9048143472,Ephesus,904.6328125,-434.4375,4.0,9,1,0.9807497907330944
Mountain,1,WOD_Mountain_10,145,835,428,111,90,83511142890,Ephesus,835.8671875,-428.296875,4.0,9,1,0.7421475393887719
Mountain,1,WOD_Mountain_04,63,875,459,123,50,87512345950,Ephesus,875.9609375,-459.609375,4.0,9,1,0.626121682860712
Mountain,1,WOD_Mountain_04,29,846,450,82,18,8468245018,Ephesus,846.640625,-450.859375,4.0,9,1,0.8826298825091916
Mountain,1,WOD_Mountain_08,12,884,469,3,9,8840346909,Ephesus,884.0234375,-469.9296875,4.0,9,1,0.9314627658222951
Mountain,1,WOD_Mountain_04,-91,827,458,116,109,827116458109,Ephesus,827.90625,-458.1484375,4.0,9,1,0.8995153030160532
Mountain,1,WOD_Mountain_10,12,824,431,83,36,8248343136,Ephesus,824.6484375,-431.71875,4.0,9,1,0.8798300240899005
Mountain,1,WOD_Mountain_07,58,919,429,29,37,9192942937,Ephesus,919.2265625,-429.7109375,4.0,9,1,0.8368921675047347
Mountain,1,WOD_Mountain_09,156,858,468,97,24,8589746824,Ephesus,858.7578125,-468.8125,4.0,9,1,0.900238009171595
Mountain,1,WOD_Mountain_02,83,864,435,19,124,86419435124,Ephesus,864.1484375,-435.03125,4.0,9,1,0.6031536414033761
Mountain,1,WOD_Mountain_10,-102,849,455,116,119,849116455119,Ephesus,849.90625,-455.0703125,4.0,9,1,0.7370443937366361
Mountain,1,WOD_Mountain_06,-11,890,427,52,111,89052427111,Ephesus,890.40625,-427.1328125,4.0,9,1,0.683899979862254
