fid,name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate
284,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_01,824,469,56,29,8245646929,Ephesus,824.4375,-469.7734375,4
285,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,822,470,104,8,82210447004,Ephesus,822.8125,-470.96875,4
658,Orc Camp,0,WOD_OrcCamp_Large_Mountains_01,919,434,17,68,9190543468,Ephesus,919.0390625,-434.46875,4
659,Orc Camp,0,WOD_OrcCamp_Small_Mountains_01,917,433,47,13,9174743313,Ephesus,917.3671875,-433.8984375,4
660,Orc Camp,0,WOD_OrcCamp_Small_Mountains_02,917,433,61,78,9176143378,Ephesus,917.4765625,-433.390625,4
661,Orc Camp,0,WOD_OrcCamp_Small_Mountains_03,814,439,81,114,81481439114,Ephesus,814.6328125,-439.109375,4
663,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,813,441,119,27,81311944127,Ephesus,813.9296875,-441.7890625,4
665,Orc Camp,0,WOD_OrcCamp_Large_Mountains_01,856,449,20,22,8561744910,Ephesus,856.1328125,-449.921875,4
666,Orc Camp,0,WOD_OrcCamp_Small_Mountains_01,857,450,59,106,85759450106,Ephesus,857.4609375,-450.171875,4
667,Orc Camp,0,WOD_OrcCamp_Small_Mountains_02,875,455,18,115,87518455115,Ephesus,875.140625,-455.1015625,4
669,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_01,875,456,92,33,8759245633,Ephesus,875.71875,-456.7421875,4
698,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,916,428,120,74,91612042874,Ephesus,916.9375,-428.421875,4
703,Orc Camp,0,WOD_OrcCamp_Small_Mountains_03,882,424,32,74,8823242474,Ephesus,882.25,-424.421875,4
705,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,905,466,108,9,90510846609,Ephesus,905.84375,-466.9296875,4
717,Orc Camp,0,WOD_OrcCamp_Small_Mountains_03,845,461,49,84,8454946184,Ephesus,845.3828125,-461.34375,4
722,Orc Camp,0,WOD_OrcCamp_Small_Mountains_01,873,426,51,47,8735142647,Ephesus,873.3984375,-426.6328125,4
734,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_03,858,450,92,95,85893450104,Ephesus,858.7265625,-450.1875,4
784,Orc Camp,0,WOD_OrcCamp_Large_Mountains_01,844,428,31,22,8443142812,Ephesus,844.2421875,-428.90625,4
804,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_03,913,458,73,37,9137345808,Ephesus,913.5703125,-458.9375,4
836,Orc Camp,0,WOD_OrcCamp_Small_Mountains_03,895,440,64,65,8956444065,Ephesus,895.5,-440.4921875,4
913,Orc Camp,0,WOD_OrcCamp_Small_Mountains_03,889,436,119,54,88912543654,Ephesus,889.9765625,-436.578125,4
917,Orc Camp,0,WOD_OrcCamp_Large_Mountains_01,888,442,59,20,8885944203,Ephesus,888.4609375,-442.9765625,4
926,Orc Camp,0,WOD_OrcCamp_Small_Mountains_02,843,436,108,105,843108436105,Ephesus,843.84375,-436.1796875,4
933,Orc Camp,0,WOD_OrcCamp_Small_Mountains_02,841,460,95,72,8419546072,Ephesus,841.7421875,-460.4375,4
939,Orc Camp,0,WOD_OrcCamp_Small_Mountains_01,846,467,92,83,8469246783,Ephesus,846.71875,-467.3515625,4
978,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,903,437,81,49,9038143749,Ephesus,903.6328125,-437.6171875,4
994,Orc Camp,0,WOD_OrcCamp_Large_Mountains_01,864,461,21,96,8641846196,Ephesus,864.140625,-461.25,4
996,Orc Camp,0,WOD_OrcCamp_Small_Mountains_02,825,464,120,6,82512046400,Ephesus,825.9375,-465,4
999,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,915,451,101,33,91510145133,Ephesus,915.7890625,-451.7421875,4
1007,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_03,845,470,44,83,8453547083,Ephesus,845.2734375,-470.3515625,4
1016,Orc Camp,0,WOD_OrcCamp_Small_Mountains_01,869,467,9,9,8690946709,Ephesus,869.0703125,-467.9296875,4
1041,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,862,432,28,111,86228432111,Ephesus,862.21875,-432.1328125,4
1048,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,873,469,37,54,8733746954,Ephesus,873.2890625,-469.578125,4
1069,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,900,461,35,50,9003546150,Ephesus,900.2734375,-461.609375,4
1079,Orc Camp,0,WOD_OrcCamp_Small_Mountains_01,890,423,54,105,89054423105,Ephesus,890.421875,-423.1796875,4
