name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Camp,0,WOD_BanditCamp_02,975,204,101,40,97510120440,Gavaudon,975.7890625,-204.6875
Bandit Camp,0,WOD_BanditCamp_02,988,233,33,63,9883323363,Gavaudon,988.2578125,-233.5078125
Bandit Camp,0,WOD_BanditCamp_05,960,216,115,31,96011521631,Gavaudon,960.8984375,-216.7578125
Bandit Camp,0,WOD_BanditCamp_02,975,231,56,86,9755623186,Gavaudon,975.4375,-231.328125
Bandit Camp,0,WOD_BanditCamp_06,963,230,83,52,9638323052,Gavaudon,963.6484375,-230.59375
Bandit Camp,0,WOD_BanditCamp_01,970,220,67,13,9706722013,Gavaudon,970.5234375,-220.8984375
Bandit Camp,0,WOD_BanditCamp_01,999,247,15,35,9991524735,Gavaudon,999.1171875,-247.7265625
Bandit Camp,0,WOD_BanditCamp_02,989,209,47,32,9894720932,Gavaudon,989.3671875,-209.75
Bandit Camp,0,WOD_BanditCamp_02,971,214,41,74,9714121474,Gavaudon,971.3203125,-214.421875
Bandit Camp,0,WOD_BanditCamp_01,990,262,99,52,9909926252,Gavaudon,990.7734375,-262.59375
Bandit Fort,0,WOD_BanditFort_01,982,218,116,28,98211621828,Gavaudon,982.90625,-218.78125
Bandit Camp,0,WOD_BanditCamp_01,971,214,116,42,97111621442,Gavaudon,971.90625,-214.671875
Bandit Fort,0,WOD_BanditFort_02,975,221,22,59,9752222159,Gavaudon,975.171875,-221.5390625
Bandit Fort,0,WOD_BanditFort_03,975,204,19,36,9751920436,Gavaudon,975.1484375,-204.71875
Bandit Camp,0,WOD_BanditCamp_03,992,219,77,100,99277219100,Gavaudon,992.6015625,-219.21875
Bandit Camp,0,WOD_BanditCamp_05,997,248,124,64,99712424864,Gavaudon,997.96875,-248.5
Bandit Camp,0,WOD_BanditCamp_01,981,214,73,9,9817321409,Gavaudon,981.5703125,-214.9296875
Bandit Camp,0,WOD_BanditCamp_02,992,243,79,106,99279243106,Gavaudon,992.6171875,-243.171875
Bandit Camp,0,WOD_BanditCamp_05,964,224,41,72,9644122472,Gavaudon,964.3203125,-224.4375
Bandit Fort,0,WOD_BanditFort_02,980,209,91,90,9809120990,Gavaudon,980.7109375,-209.296875
Bandit Fort,0,WOD_BanditFort_02,979,219,93,68,9799321968,Gavaudon,979.7265625,-219.46875
Bandit Camp,0,WOD_BanditCamp_03,996,242,29,96,9962924296,Gavaudon,996.2265625,-242.25
Bandit Camp,0,WOD_BanditCamp_06,965,224,42,68,9654222468,Gavaudon,965.328125,-224.46875
Bandit Camp,0,WOD_BanditCamp_05,984,206,60,65,9846020665,Gavaudon,984.46875,-206.4921875
Bandit Camp,0,WOD_BanditCamp_03,971,223,92,35,9719222335,Gavaudon,971.71875,-223.7265625
