name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Fort,0,WOD_BanditFort_03,987,226,27,19,9872722619,Gavaudon,987.2109375,-226.8515625
Bandit Camp,0,WOD_BanditCamp_01,989,233,13,79,9891323379,Gavaudon,989.1015625,-233.3828125
Bandit Camp,0,WOD_BanditCamp_05,969,211,105,105,969105211105,Gavaudon,969.8203125,-211.1796875
Bandit Camp,0,WOD_BanditCamp_05,985,256,102,72,98510225672,Gavaudon,985.796875,-256.4375
Bandit Fort,0,WOD_BanditFort_03,958,205,74,72,9587420572,Gavaudon,958.578125,-205.4375
Bandit Camp,0,WOD_BanditCamp_03,972,203,23,81,9722320381,Gavaudon,972.1796875,-203.3671875
Bandit Fort,0,WOD_BanditFort_01,985,223,99,20,9859922320,Gavaudon,985.7734375,-223.84375
Bandit Camp,0,WOD_BanditCamp_03,985,272,5,60,9850527260,Gavaudon,985.0390625,-272.53125
Bandit Fort,0,WOD_BanditFort_01,963,230,65,40,9636523040,Gavaudon,963.5078125,-230.6875
Bandit Camp,0,WOD_BanditCamp_02,977,206,67,120,97767206120,Gavaudon,977.5234375,-206.0625
Bandit Camp,0,WOD_BanditCamp_03,982,220,38,100,98238220100,Gavaudon,982.296875,-220.21875
