name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Dibella,0,WOD_Shrine_Dibella_01,991,264,108,74,99110826474,Gavaudon,991.844,-264.421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,995,251,33,29,9953325129,Gavaudon,995.258,-251.7734375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,992,209,109,113,992109209113,Gavaudon,992.852,-209.1171875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,990,265,59,41,9905926541,Gavaudon,990.461,-265.6796875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,990,238,47,19,9904723819,Gavaudon,990.367,-238.8515625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,988,236,15,9,9881523609,Gavaudon,988.117,-236.9296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,978,211,59,118,97859211118,Gavaudon,978.461,-211.078125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,982,215,69,50,9826921550,Gavaudon,982.539,-215.609375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,967,225,73,55,9677322555,Gavaudon,967.57,-225.5703125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,992,219,54,47,9925421947,Gavaudon,992.422,-219.6328125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,963,230,111,95,96311123095,Gavaudon,963.867,-230.2578125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,980,208,120,101,980120208101,Gavaudon,980.938,-208.2109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,964,230,55,87,9645523087,Gavaudon,964.43,-230.3203125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,992,232,15,99,9921523299,Gavaudon,992.117,-232.2265625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,973,213,3,113,97303213113,Gavaudon,973.023,-213.1171875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,983,271,90,72,9839027172,Gavaudon,983.703,-271.4375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,969,226,5,64,9690522664,Gavaudon,969.039,-226.5
