name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Fort,0,WOD_BanditFort_01,77,100,35,59,773510059,Glenumbra Moors,77.2734375,-100.5390625
Bandit Camp,0,WOD_BanditCamp_05,104,101,9,118,10409101118,Glenumbra Moors,104.0703125,-101.078125
Bandit Fort,0,WOD_BanditFort_01,124,59,44,46,124445946,Glenumbra Moors,124.34375,-59.640625
Bandit Camp,0,WOD_BanditCamp_06,146,87,100,111,14610087111,Glenumbra Moors,146.78125,-87.1328125
Bandit Fort,0,WOD_BanditFort_02,65,94,50,47,65509447,Glenumbra Moors,65.390625,-94.6328125
Bandit Camp,0,WOD_BanditCamp_03,99,97,113,118,9911397118,Glenumbra Moors,99.8828125,-97.078125
Bandit Camp,0,WOD_BanditCamp_06,122,87,41,119,1224187119,Glenumbra Moors,122.3203125,-87.0703125
Bandit Camp,0,WOD_BanditCamp_02,115,76,31,102,1153176102,Glenumbra Moors,115.2421875,-76.203125
Bandit Camp,0,WOD_BanditCamp_01,142,70,3,56,142037056,Glenumbra Moors,142.0234375,-70.5625
Bandit Fort,0,WOD_BanditFort_02,97,101,4,6,970410106,Glenumbra Moors,97.03125,-101.953125
Bandit Camp,0,WOD_BanditCamp_01,139,70,49,59,139497059,Glenumbra Moors,139.3828125,-70.5390625
Bandit Camp,0,WOD_BanditCamp_01,144,72,37,93,144377293,Glenumbra Moors,144.2890625,-72.2734375
Bandit Camp,0,WOD_BanditCamp_05,105,58,119,33,1051195833,Glenumbra Moors,105.9296875,-58.7421875
Bandit Fort,0,WOD_BanditFort_03,116,91,101,108,11610191108,Glenumbra Moors,116.7890625,-91.15625
Bandit Camp,0,WOD_BanditCamp_01,89,68,9,81,89096881,Glenumbra Moors,89.0703125,-68.3671875
Bandit Fort,0,WOD_BanditFort_02,120,98,49,108,1204998108,Glenumbra Moors,120.3828125,-98.15625
Bandit Camp,0,WOD_BanditCamp_03,68,85,72,33,68728533,Glenumbra Moors,68.5625,-85.7421875
Bandit Camp,0,WOD_BanditCamp_05,122,59,40,51,122405951,Glenumbra Moors,122.3125,-59.6015625
Bandit Fort,0,WOD_BanditFort_02,122,55,83,113,1228355113,Glenumbra Moors,122.6484375,-55.1171875
Bandit Camp,0,WOD_BanditCamp_06,124,94,51,86,124519486,Glenumbra Moors,124.3984375,-94.328125
Bandit Camp,0,WOD_BanditCamp_06,82,90,54,31,82549031,Glenumbra Moors,82.421875,-90.7578125
Bandit Fort,0,WOD_BanditFort_03,148,87,17,83,148178783,Glenumbra Moors,148.1328125,-87.3515625
Bandit Camp,0,WOD_BanditCamp_01,146,87,32,113,1463287113,Glenumbra Moors,146.25,-87.1171875
Bandit Fort,0,WOD_BanditFort_02,147,94,8,37,147089437,Glenumbra Moors,147.0625,-94.7109375
Bandit Camp,0,WOD_BanditCamp_02,122,82,12,101,1221282101,Glenumbra Moors,122.09375,-82.2109375
Bandit Camp,0,WOD_BanditCamp_05,70,81,91,9,70918109,Glenumbra Moors,70.7109375,-81.9296875
Bandit Fort,0,WOD_BanditFort_02,124,59,22,97,124225997,Glenumbra Moors,124.171875,-59.2421875
Bandit Camp,0,WOD_BanditCamp_05,125,70,111,64,1251117064,Glenumbra Moors,125.8671875,-70.5
Bandit Camp,0,WOD_BanditCamp_06,110,91,92,91,110929191,Glenumbra Moors,110.71875,-91.2890625
Bandit Camp,0,WOD_BanditCamp_02,125,90,90,122,1259090122,Glenumbra Moors,125.703125,-90.046875
Bandit Fort,0,WOD_BanditFort_01,106,75,88,92,106887592,Glenumbra Moors,106.6875,-75.28125
Bandit Fort,0,WOD_BanditFort_01,100,80,47,49,100478049,Glenumbra Moors,100.3671875,-80.6171875
Bandit Camp,0,WOD_BanditCamp_05,78,85,15,84,78158584,Glenumbra Moors,78.1171875,-85.34375
Bandit Fort,0,WOD_BanditFort_02,87,67,95,20,87956720,Glenumbra Moors,87.7421875,-67.84375
Bandit Camp,0,WOD_BanditCamp_02,145,97,115,78,1451159778,Glenumbra Moors,145.8984375,-97.390625
Bandit Fort,0,WOD_BanditFort_01,105,78,119,115,10511978115,Glenumbra Moors,105.9296875,-78.1015625
Bandit Fort,0,WOD_BanditFort_03,145,69,81,93,145816993,Glenumbra Moors,145.6328125,-69.2734375
Bandit Camp,0,WOD_BanditCamp_06,88,98,5,68,88059868,Glenumbra Moors,88.0390625,-98.46875
Bandit Camp,0,WOD_BanditCamp_03,131,69,110,47,1311106947,Glenumbra Moors,131.859375,-69.6328125
