name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,altitude,sink,scale
Rocks,1,WOD_Rocks_Round_Small_07,69,127,95,111,56,Glenumbra Moors,127.8671875,-95.5625,1,4.0,0.5,0.4048581
Rocks,1,WOD_Rocks_Round_Small_02,-13,125,101,99,59,Glenumbra Moors,125.7734375,-101.5390625,1,4.0,0.5,0.39014395
Rocks,1,WOD_Rocks_Round_Small_05,115,136,82,31,88,Glenumbra Moors,136.2421875,-82.3125,1,4.0,0.5,0.43752195
Rocks,1,WOD_Rocks_Round_Small_09,107,136,71,111,81,Glenumbra Moors,136.8671875,-71.3671875,1,4.0,0.5,0.464228
Rocks,1,WOD_Rocks_Round_Small_04,-137,136,99,120,48,Glenumbra Moors,136.9375,-99.625,3,4.0,0.5,0.3754086
Rocks,1,WOD_Rocks_Round_Small_07,103,136,98,4,77,Glenumbra Moors,136.03125,-98.3984375,1,4.0,0.5,0.39522575
Rocks,1,WOD_Rocks_Round_Small_02,-22,121,99,27,42,Glenumbra Moors,121.2109375,-99.671875,1,4.0,0.5,0.47780295
Rocks,1,WOD_Rocks_Round_Small_09,-159,128,76,100,17,Glenumbra Moors,128.78125,-76.8671875,1,4.0,0.5,0.42275565
Rocks,1,WOD_Rocks_Round_Small_01,-122,133,104,24,111,Glenumbra Moors,133.1875,-104.1328125,3,4.0,0.5,0.4754793
Rocks,1,WOD_Rocks_Round_Small_06,-92,136,80,92,117,Glenumbra Moors,136.71875,-80.0859375,1,4.0,0.5,0.43925285
Rocks,1,WOD_Rocks_Round_Small_10,93,140,98,113,72,Glenumbra Moors,140.8828125,-98.4375,3,4.0,0.5,0.39521625
Rocks,1,WOD_Rocks_Round_Small_09,-138,127,90,99,23,Glenumbra Moors,127.7734375,-90.8203125,1,4.0,0.5,0.4607356
Rocks,1,WOD_Rocks_Round_Small_07,-113,139,78,49,99,Glenumbra Moors,139.3828125,-78.2265625,1,4.0,0.5,0.46153815
Rocks,1,WOD_Rocks_Round_Small_08,33,123,100,68,85,Glenumbra Moors,123.53125,-100.3359375,1,4.0,0.5,0.4858521
