name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Ruins,0,WOD_Ruins_03,99,58,29,104,992958104,Glenumbra Moors,99.2265625,-58.1875
Ruins,0,WOD_Ruins_02,124,78,22,14,124227814,Glenumbra Moors,124.171875,-78.890625
Ruins,0,WOD_Ruins_03,84,92,35,101,843592101,Glenumbra Moors,84.2734375,-92.2109375
Ruins,0,WOD_Ruins_02,105,70,61,15,105617015,Glenumbra Moors,105.4765625,-70.8828125
Ruins,0,WOD_Ruins_06,138,67,114,95,1381146795,Glenumbra Moors,138.890625,-67.2578125
Ruins,0,WOD_Ruins_01,93,76,32,55,93327655,Glenumbra Moors,93.25,-76.5703125
Ruins,0,WOD_Ruins_04,131,78,72,60,131727860,Glenumbra Moors,131.5625,-78.53125
Ruins,0,WOD_Ruins_02,115,76,10,51,115107651,Glenumbra Moors,115.078125,-76.6015625
Ruins,0,WOD_Ruins_04,103,89,31,52,103318952,Glenumbra Moors,103.2421875,-89.59375
Ruins,0,WOD_Ruins_04,140,100,84,38,1408410038,Glenumbra Moors,140.65625,-100.703125
Ruins,0,WOD_Ruins_01,107,94,91,100,1079194100,Glenumbra Moors,107.7109375,-94.21875
Ruins,0,WOD_Ruins_06,90,69,13,37,90136937,Glenumbra Moors,90.1015625,-69.7109375
Ruins,0,WOD_Ruins_01,123,76,106,106,12310676106,Glenumbra Moors,123.828125,-76.171875
Ruins,0,WOD_Ruins_02,76,103,72,40,767210340,Glenumbra Moors,76.5625,-103.6875
Ruins,0,WOD_Ruins_01,126,92,29,111,1262992111,Glenumbra Moors,126.2265625,-92.1328125
Ruins,0,WOD_Ruins_05,95,81,101,6,951018106,Glenumbra Moors,95.7890625,-81.953125
Ruins,0,WOD_Ruins_03,130,94,64,42,130649442,Glenumbra Moors,130.5,-94.671875
Ruins,0,WOD_Ruins_03,113,62,51,110,1135162110,Glenumbra Moors,113.3984375,-62.140625
Ruins,0,WOD_Ruins_02,84,88,97,124,849788124,Glenumbra Moors,84.7578125,-88.03125
Ruins,0,WOD_Ruins_04,137,61,90,86,137906186,Glenumbra Moors,137.703125,-61.328125
Ruins,0,WOD_Ruins_04,119,75,123,99,1191237599,Glenumbra Moors,119.9609375,-75.2265625
Ruins,0,WOD_Ruins_02,105,98,24,38,105249838,Glenumbra Moors,105.1875,-98.703125
Ruins,0,WOD_Ruins_03,80,94,108,54,801089454,Glenumbra Moors,80.84375,-94.578125
Ruins,0,WOD_Ruins_06,82,91,68,56,82689156,Glenumbra Moors,82.53125,-91.5625
Ruins,0,WOD_Ruins_01,147,63,59,22,147596322,Glenumbra Moors,147.4609375,-63.828125
Ruins,0,WOD_Ruins_04,100,97,104,87,1001049787,Glenumbra Moors,100.8125,-97.3203125
Ruins,0,WOD_Ruins_04,75,102,79,44,757910244,Glenumbra Moors,75.6171875,-102.65625
Ruins,0,WOD_Ruins_04,109,71,84,68,109847168,Glenumbra Moors,109.65625,-71.46875
Ruins,0,WOD_Ruins_06,132,103,18,82,1321810382,Glenumbra Moors,132.140625,-103.359375
Ruins,0,WOD_Ruins_04,111,72,29,33,111297233,Glenumbra Moors,111.2265625,-72.7421875
Ruins,0,WOD_Ruins_02,124,56,111,18,1241115618,Glenumbra Moors,124.8671875,-56.859375
