name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Dibella,0,WOD_Shrine_Dibella_01,117,75,19,50,117197550,Glenumbra Moors,117.148,-75.609375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,98,68,84,35,98846835,Glenumbra Moors,98.656,-68.7265625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,100,55,123,76,1001235576,Glenumbra Moors,100.961,-55.40625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,115,69,116,55,1151166955,Glenumbra Moors,115.906,-69.5703125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,123,89,115,83,1231158983,Glenumbra Moors,123.898,-89.3515625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,144,65,59,32,144596532,Glenumbra Moors,144.461,-65.75
Shrine of Dibella,0,WOD_Shrine_Dibella_01,132,99,20,54,132209954,Glenumbra Moors,132.156,-99.578125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,117,87,119,109,11711987109,Glenumbra Moors,117.93,-87.1484375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,81,95,105,97,811059597,Glenumbra Moors,81.82,-95.2421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,118,53,29,46,118295346,Glenumbra Moors,118.227,-53.640625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,97,67,52,108,975267108,Glenumbra Moors,97.406,-67.15625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,87,75,40,38,87407538,Glenumbra Moors,87.313,-75.703125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,123,68,26,10,123266810,Glenumbra Moors,123.203,-68.921875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,142,76,13,102,1421376102,Glenumbra Moors,142.102,-76.203125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,103,99,47,96,103479996,Glenumbra Moors,103.367,-99.25
Shrine of Dibella,0,WOD_Shrine_Dibella_01,90,75,96,54,90967554,Glenumbra Moors,90.75,-75.578125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,127,84,72,6,127728406,Glenumbra Moors,127.563,-84.953125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,133,87,47,91,133478791,Glenumbra Moors,133.367,-87.2890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,99,98,95,64,99959864,Glenumbra Moors,99.742,-98.5
Shrine of Dibella,0,WOD_Shrine_Dibella_01,108,52,84,93,108845293,Glenumbra Moors,108.656,-52.2734375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,104,92,118,122,10411892122,Glenumbra Moors,104.922,-92.046875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,140,87,90,109,1409087109,Glenumbra Moors,140.703,-87.1484375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,115,85,28,35,115288535,Glenumbra Moors,115.219,-85.7265625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,128,73,67,33,128677333,Glenumbra Moors,128.523,-73.7421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,112,74,12,73,112127473,Glenumbra Moors,112.094,-74.4296875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,84,74,15,60,84157460,Glenumbra Moors,84.117,-74.53125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,109,99,38,114,1093899114,Glenumbra Moors,109.297,-99.109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,136,101,10,13,1361010113,Glenumbra Moors,136.078,-101.8984375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,87,76,46,5,87467605,Glenumbra Moors,87.359,-76.9609375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,120,53,102,97,1201025397,Glenumbra Moors,120.797,-53.2421875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,103,94,119,12,1031199412,Glenumbra Moors,103.93,-94.90625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,108,64,50,22,108506422,Glenumbra Moors,108.391,-64.828125
Shrine of Dibella,0,WOD_Shrine_Dibella_01,108,55,91,101,1089155101,Glenumbra Moors,108.711,-55.2109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,114,52,123,27,1141235227,Glenumbra Moors,114.961,-52.7890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,121,74,118,63,1211187463,Glenumbra Moors,121.922,-74.5078125
