fid,name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate
124,Orc Camp,0,WOD_OrcCamp_Medium_02,250,69,54,121,2505469123,Ilessan Hills,250.421875,-69.0390625,1
125,Orc Camp,0,WOD_OrcCamp_Medium_03,250,69,55,95,250556995,Ilessan Hills,250.4296875,-69.2578125,1
126,Orc Camp,0,WOD_OrcCamp_Large_01,249,67,26,65,249266765,Ilessan Hills,249.203125,-67.4921875,1
286,Orc Camp,0,WOD_OrcCamp_Medium_03,301,66,87,77,3011056677,Ilessan Hills,301.8203125,-66.3984375,1
287,Orc Camp,0,WOD_OrcCamp_Large_01,302,67,88,22,302886706,Ilessan Hills,302.6875,-67.953125,1
288,Orc Camp,0,WOD_OrcCamp_Small_01,300,66,44,6,300446601,Ilessan Hills,300.34375,-66.9921875,1
682,Orc Camp,0,WOD_OrcCamp_Small_03,299,66,117,14,2991246614,Ilessan Hills,299.96875,-66.890625,1
683,Orc Camp,0,WOD_OrcCamp_Medium_01,298,66,79,73,298796673,Ilessan Hills,298.6171875,-66.4296875,1
684,Orc Camp,0,WOD_OrcCamp_Medium_02,300,65,68,27,300686527,Ilessan Hills,300.53125,-65.7890625,1
685,Orc Camp,0,WOD_OrcCamp_Medium_03,331,69,42,69,331246969,Ilessan Hills,331.1875,-69.4609375,1
687,Orc Camp,0,WOD_OrcCamp_Small_01,331,68,49,5,331496801,Ilessan Hills,331.3828125,-68.9921875,1
1232,Orc Camp,0,WOD_OrcCamp_Large_01,318,82,41,27,318418227,Ilessan Hills,318.3203125,-82.7890625,1
1249,Orc Camp,0,WOD_OrcCamp_Small_03,272,71,10,61,272047161,Ilessan Hills,272.03125,-71.5234375,1
1258,Orc Camp,0,WOD_OrcCamp_Medium_02,286,81,114,6,2861148106,Ilessan Hills,286.890625,-81.953125,1
1274,Orc Camp,0,WOD_OrcCamp_Large_01,329,74,20,74,329037474,Ilessan Hills,329.0234375,-74.421875,1
1326,Orc Camp,0,WOD_OrcCamp_Small_03,320,86,90,19,320908619,Ilessan Hills,320.703125,-86.8515625,1
1335,Orc Camp,0,WOD_OrcCamp_Medium_02,278,73,56,104,2785673104,Ilessan Hills,278.4375,-73.1875,1
1360,Orc Camp,0,WOD_OrcCamp_Small_02,329,65,37,40,329376540,Ilessan Hills,329.2890625,-65.6875,1
1097,Orc Camp,0,WOD_OrcCamp_Medium_02,313,90,33,110,3133390110,Ilessan Hills,313.2578125,-90.140625,2
1102,Orc Camp,0,WOD_OrcCamp_Small_03,293,102,111,22,29311110222,Ilessan Hills,293.8671875,-102.828125,2
1117,Orc Camp,0,WOD_OrcCamp_Medium_01,309,88,91,50,309918850,Ilessan Hills,309.7109375,-88.609375,2
1126,Orc Camp,0,WOD_OrcCamp_Medium_03,308,95,90,45,3081259545,Ilessan Hills,308.9765625,-95.6484375,2
1151,Orc Camp,0,WOD_OrcCamp_Small_03,280,101,91,10,2809110105,Ilessan Hills,280.7109375,-101.9609375,2
1168,Orc Camp,0,WOD_OrcCamp_Medium_03,286,107,65,87,28665107128,Ilessan Hills,286.5078125,-107,2
1174,Orc Camp,0,WOD_OrcCamp_Medium_02,292,96,100,8,2921009603,Ilessan Hills,292.78125,-96.9765625,2
1184,Orc Camp,0,WOD_OrcCamp_Small_01,308,87,6,120,3080187120,Ilessan Hills,308.0078125,-87.0625,2
1186,Orc Camp,0,WOD_OrcCamp_Small_03,290,96,118,78,2901189678,Ilessan Hills,290.921875,-96.390625,2
145,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,239,104,83,22,2398310422,Ilessan Hills,239.6484375,-104.828125,3
146,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_03,237,104,47,83,2374710493,Ilessan Hills,237.3671875,-104.2734375,3
147,Orc Camp,0,WOD_OrcCamp_Large_Mountains_01,237,103,107,95,23711310395,Ilessan Hills,237.8828125,-103.2578125,3
688,Orc Camp,0,WOD_OrcCamp_Small_Mountains_02,226,83,105,111,22610583111,Ilessan Hills,226.8203125,-83.1328125,3
689,Orc Camp,0,WOD_OrcCamp_Small_Mountains_03,225,82,106,109,22510682109,Ilessan Hills,225.828125,-82.1484375,3
690,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_01,225,81,96,49,225968149,Ilessan Hills,225.75,-81.6171875,3
691,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,219,92,32,65,219329265,Ilessan Hills,219.25,-92.4921875,3
692,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_03,218,90,42,85,218359093,Ilessan Hills,218.2734375,-90.2734375,3
693,Orc Camp,0,WOD_OrcCamp_Large_Mountains_01,219,92,32,37,219329237,Ilessan Hills,219.25,-92.7109375,3
694,Orc Camp,0,WOD_OrcCamp_Small_Mountains_01,245,103,84,9,2458410309,Ilessan Hills,245.65625,-103.9296875,3
695,Orc Camp,0,WOD_OrcCamp_Small_Mountains_02,245,104,81,111,24581104111,Ilessan Hills,245.6328125,-104.1328125,3
696,Orc Camp,0,WOD_OrcCamp_Small_Mountains_03,244,104,111,65,24411110465,Ilessan Hills,244.8671875,-104.4921875,3
