name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Ruins,0,WOD_Ruins_03,221,103,100,15,22110010315,Ilessan Hills,221.78125,-103.8828125
Ruins,0,WOD_Ruins_04,229,100,26,108,22926100108,Ilessan Hills,229.203125,-100.15625
Ruins,0,WOD_Ruins_03,239,102,14,81,2391410281,Ilessan Hills,239.109375,-102.3671875
Ruins,0,WOD_Ruins_06,258,110,87,15,2588711015,Ilessan Hills,258.6796875,-110.8828125
Ruins,0,WOD_Ruins_06,331,70,59,114,3315970114,Ilessan Hills,331.4609375,-70.109375
Ruins,0,WOD_Ruins_05,313,91,5,92,313059192,Ilessan Hills,313.0390625,-91.28125
Ruins,0,WOD_Ruins_02,306,68,81,119,3068168119,Ilessan Hills,306.6328125,-68.0703125
Ruins,0,WOD_Ruins_04,233,100,72,65,2337210065,Ilessan Hills,233.5625,-100.4921875
Ruins,0,WOD_Ruins_03,266,70,115,9,2661157009,Ilessan Hills,266.8984375,-70.9296875
Ruins,0,WOD_Ruins_03,217,91,4,64,217049164,Ilessan Hills,217.03125,-91.5
Ruins,0,WOD_Ruins_03,291,96,91,55,291919655,Ilessan Hills,291.7109375,-96.5703125
Ruins,0,WOD_Ruins_02,342,93,20,108,3422093108,Ilessan Hills,342.15625,-93.15625
Ruins,0,WOD_Ruins_02,218,87,79,102,2187987102,Ilessan Hills,218.6171875,-87.203125
Ruins,0,WOD_Ruins_04,297,62,113,86,2971136286,Ilessan Hills,297.8828125,-62.328125
Ruins,0,WOD_Ruins_01,290,52,28,44,290285244,Ilessan Hills,290.21875,-52.65625
Ruins,0,WOD_Ruins_05,338,84,35,81,338358481,Ilessan Hills,338.2734375,-84.3671875
Ruins,0,WOD_Ruins_04,265,79,60,111,2656079111,Ilessan Hills,265.46875,-79.1328125
Ruins,0,WOD_Ruins_01,260,67,115,116,26011567116,Ilessan Hills,260.8984375,-67.09375
Ruins,0,WOD_Ruins_05,273,73,26,116,2732673116,Ilessan Hills,273.203125,-73.09375
Ruins,0,WOD_Ruins_01,305,96,88,38,305889638,Ilessan Hills,305.6875,-96.703125
Ruins,0,WOD_Ruins_06,292,107,10,86,2921010786,Ilessan Hills,292.078125,-107.328125
Ruins,0,WOD_Ruins_02,329,99,61,100,3296199100,Ilessan Hills,329.4765625,-99.21875
Ruins,0,WOD_Ruins_03,231,79,70,86,231707986,Ilessan Hills,231.546875,-79.328125
Ruins,0,WOD_Ruins_02,237,92,96,105,2379692105,Ilessan Hills,237.75,-92.1796875
Ruins,0,WOD_Ruins_04,265,104,78,18,2657810418,Ilessan Hills,265.609375,-104.859375
Ruins,0,WOD_Ruins_04,334,59,22,45,334225945,Ilessan Hills,334.171875,-59.6484375
Ruins,0,WOD_Ruins_03,277,57,13,102,2771357102,Ilessan Hills,277.1015625,-57.203125
Ruins,0,WOD_Ruins_03,310,63,14,84,310146384,Ilessan Hills,310.109375,-63.34375
Ruins,0,WOD_Ruins_01,306,95,49,95,306499595,Ilessan Hills,306.3828125,-95.2578125
Ruins,0,WOD_Ruins_03,282,107,22,113,28222107113,Ilessan Hills,282.171875,-107.1171875
Ruins,0,WOD_Ruins_01,228,111,123,70,22812311170,Ilessan Hills,228.9609375,-111.453125
Ruins,0,WOD_Ruins_03,247,91,97,47,247979147,Ilessan Hills,247.7578125,-91.6328125
Ruins,0,WOD_Ruins_06,270,85,31,108,2703185108,Ilessan Hills,270.2421875,-85.15625
Ruins,0,WOD_Ruins_02,219,102,9,97,2190910297,Ilessan Hills,219.0703125,-102.2421875
Ruins,0,WOD_Ruins_05,211,65,4,6,211046506,Ilessan Hills,211.03125,-65.953125
Ruins,0,WOD_Ruins_06,274,67,79,76,274796776,Ilessan Hills,274.6171875,-67.40625
Ruins,0,WOD_Ruins_03,244,99,35,54,244359954,Ilessan Hills,244.2734375,-99.578125
Ruins,0,WOD_Ruins_05,295,83,64,119,2956483119,Ilessan Hills,295.5,-83.0703125
Ruins,0,WOD_Ruins_01,246,90,99,63,246999063,Ilessan Hills,246.7734375,-90.5078125
Ruins,0,WOD_Ruins_04,313,58,102,38,3131025838,Ilessan Hills,313.796875,-58.703125
Ruins,0,WOD_Ruins_05,272,107,72,9,2727210709,Ilessan Hills,272.5625,-107.9296875
Ruins,0,WOD_Ruins_01,222,89,77,44,222778944,Ilessan Hills,222.6015625,-89.65625
Ruins,0,WOD_Ruins_04,267,84,81,73,267818473,Ilessan Hills,267.6328125,-84.4296875
Ruins,0,WOD_Ruins_06,234,86,5,23,234058623,Ilessan Hills,234.0390625,-86.8203125
Ruins,0,WOD_Ruins_01,313,69,111,52,3131116952,Ilessan Hills,313.8671875,-69.59375
Ruins,0,WOD_Ruins_06,240,129,56,8,2405612908,Ilessan Hills,240.4375,-129.9375
Ruins,0,WOD_Ruins_03,297,104,15,67,2971510467,Ilessan Hills,297.1171875,-104.4765625
Ruins,0,WOD_Ruins_01,236,104,40,74,2364010474,Ilessan Hills,236.3125,-104.421875
Ruins,0,WOD_Ruins_03,307,56,40,35,307405635,Ilessan Hills,307.3125,-56.7265625
Ruins,0,WOD_Ruins_01,319,68,55,23,319556823,Ilessan Hills,319.4296875,-68.8203125
Ruins,0,WOD_Ruins_03,340,89,77,18,340778918,Ilessan Hills,340.6015625,-89.859375
Ruins,0,WOD_Ruins_06,281,70,32,40,281327040,Ilessan Hills,281.25,-70.6875
Ruins,0,WOD_Ruins_03,341,89,26,81,341268981,Ilessan Hills,341.203125,-89.3671875
Ruins,0,WOD_Ruins_06,208,70,78,84,208787084,Ilessan Hills,208.609375,-70.34375
Ruins,0,WOD_Ruins_01,236,79,122,97,2361227997,Ilessan Hills,236.953125,-79.2421875
Ruins,0,WOD_Ruins_02,221,83,96,36,221968336,Ilessan Hills,221.75,-83.71875
Ruins,0,WOD_Ruins_02,284,110,65,46,2846511046,Ilessan Hills,284.5078125,-110.640625
Ruins,0,WOD_Ruins_03,257,72,35,12,257357212,Ilessan Hills,257.2734375,-72.90625
Ruins,0,WOD_Ruins_03,289,61,83,65,289836165,Ilessan Hills,289.6484375,-61.4921875
Ruins,0,WOD_Ruins_04,299,75,118,102,29911875102,Ilessan Hills,299.921875,-75.203125
Ruins,0,WOD_Ruins_03,293,70,113,50,2931137050,Ilessan Hills,293.8828125,-70.609375
Ruins,0,WOD_Ruins_05,237,71,14,88,237147188,Ilessan Hills,237.109375,-71.3125
Ruins,0,WOD_Ruins_05,288,108,10,95,2881010895,Ilessan Hills,288.078125,-108.2578125
Ruins,0,WOD_Ruins_06,224,84,88,45,224888445,Ilessan Hills,224.6875,-84.6484375
Ruins,0,WOD_Ruins_03,291,94,14,79,291149479,Ilessan Hills,291.109375,-94.3828125
Ruins,0,WOD_Ruins_01,254,98,49,54,254499854,Ilessan Hills,254.3828125,-98.578125
Ruins,0,WOD_Ruins_06,343,79,36,68,343367968,Ilessan Hills,343.28125,-79.46875
Ruins,0,WOD_Ruins_05,252,114,86,108,25286114108,Ilessan Hills,252.671875,-114.15625
Ruins,0,WOD_Ruins_06,250,92,73,15,250739215,Ilessan Hills,250.5703125,-92.8828125
Ruins,0,WOD_Ruins_06,243,72,97,79,243977279,Ilessan Hills,243.7578125,-72.3828125
Ruins,0,WOD_Ruins_06,265,78,100,10,2651007810,Ilessan Hills,265.78125,-78.921875
Ruins,0,WOD_Ruins_03,188,69,118,37,1881186937,Ilessan Hills,188.921875,-69.7109375
Ruins,0,WOD_Ruins_03,307,94,96,12,307969412,Ilessan Hills,307.75,-94.90625
