fid,name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate
1306,Orc Camp,0,WOD_OrcCamp_Medium_01,-74,633,163,59,76,6335916376,Isle of Balfiera,633.4609375,-163.40625,1
1346,Orc Camp,0,WOD_OrcCamp_Small_02,-83,658,185,28,118,65828185118,Isle of Balfiera,658.21875,-185.078125,1
709,Orc Camp,0,WOD_OrcCamp_Small_Mountains_02,-71,682,205,100,101,682100205101,Isle of Balfiera,682.78125,-205.2109375,4
786,Orc Camp,0,WOD_OrcCamp_Small_Mountains_02,15,703,194,73,108,70373194108,Isle of Balfiera,703.5703125,-194.15625,4
798,Orc Camp,0,WOD_OrcCamp_Large_Mountains_01,-9,679,181,24,92,6792418192,Isle of Balfiera,679.1875,-181.28125,4
803,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,158,695,196,15,13,6951519613,Isle of Balfiera,695.1171875,-196.8984375,4
833,Orc Camp,0,WOD_OrcCamp_Large_Mountains_01,-169,700,217,65,29,7006521729,Isle of Balfiera,700.5078125,-217.7734375,4
888,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_03,-180,719,211,33,30,7192921128,Isle of Balfiera,719.2265625,-211.78125,4
940,Orc Camp,0,WOD_OrcCamp_Small_Mountains_02,127,728,221,68,42,7286822142,Isle of Balfiera,728.53125,-221.671875,4
1055,Orc Camp,0,WOD_OrcCamp_Medium_Mountains_02,-133,704,210,40,106,70440210106,Isle of Balfiera,704.3125,-210.171875,4
1078,Orc Camp,0,WOD_OrcCamp_Large_Mountains_01,88,690,208,36,82,6903620882,Isle of Balfiera,690.28125,-208.359375,4
