name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Guardtower,0,WOD_Kairou_ScoutTower_01,202,443,58,6,2025844306,Kairou,202.453125,-443.953125
Guardtower,0,WOD_Kairou_ScoutTower_01,223,450,37,115,22337450115,Kairou,223.2890625,-450.1015625
Guardtower,0,WOD_Kairou_ScoutTower_01,218,449,77,99,2187744999,Kairou,218.6015625,-449.2265625
Guardtower,0,WOD_Kairou_ScoutTower_01,229,467,68,60,2296846760,Kairou,229.53125,-467.53125
Guardtower,0,WOD_Kairou_ScoutTower_01,239,459,40,78,2394045978,Kairou,239.3125,-459.390625
Guardtower,0,WOD_Kairou_ScoutTower_01,220,458,67,65,2206745865,Kairou,220.5234375,-458.4921875
Guardtower,0,WOD_Kairou_ScoutTower_01,222,472,46,19,2224647219,Kairou,222.359375,-472.8515625
Guardtower,0,WOD_Kairou_ScoutTower_01,226,472,69,12,2266947212,Kairou,226.5390625,-472.90625
Guardtower,0,WOD_Kairou_ScoutTower_01,229,442,6,86,2290644286,Kairou,229.046875,-442.328125
Guardtower,0,WOD_Kairou_ScoutTower_01,236,433,77,51,2367743351,Kairou,236.6015625,-433.6015625
Guardtower,0,WOD_Kairou_ScoutTower_01,207,452,72,114,20772452114,Kairou,207.5625,-452.109375
Guardtower,0,WOD_Kairou_ScoutTower_01,236,441,77,86,2367744186,Kairou,236.6015625,-441.328125
Guardtower,0,WOD_Kairou_ScoutTower_01,234,466,24,120,23424466120,Kairou,234.1875,-466.0625
Guardtower,0,WOD_Kairou_ScoutTower_01,221,463,1,14,2210146314,Kairou,221.0078125,-463.890625
