name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Kambria Border Tower,0,WOD_Border_Tower_02,,562,97,50,55,562509755,Kambria,"562,390625","-97,5703125"
Kambria Border Tower,0,WOD_Scout_Tower_02,,558,84,15,99,558158499,Kambria,"558,1171875","-84,2265625"
Kambria Border Tower,0,WOD_Border_Tower_02,,557,81,28,24,557288124,Kambria,"557,21875","-81,8125"
Kambria Border Tower,0,WOD_Scout_Tower_02,,557,75,19,51,557197551,Kambria,"557,1484375","-75,6015625"
Kambria Border Tower,0,WOD_Scout_Tower_02,,557,71,56,52,557567152,Kambria,"557,4375","-71,59375"
Kambria Border Tower,0,WOD_Scout_Tower_02,270,566,62,29,115,5662962115,Kambria,"566,2265625","-62,1015625"
Kambria Border Tower,0,WOD_Scout_Tower_02,270,579,61,10,118,5791061118,Kambria,"579,078125","-61,078125"
Kambria Border Tower,0,WOD_Border_Tower_02,270,586,61,24,114,5862461114,Kambria,"586,1875","-61,109375"
Kambria Border Tower,0,WOD_Border_Tower_02,270,594,57,105,118,59410557118,Kambria,"594,8203125","-57,078125"
Kambria Border Tower,0,WOD_Scout_Tower_02,,593,50,108,27,5931085027,Kambria,"593,84375","-50,7890625"
Kambria Border Tower,0,WOD_Scout_Tower_02,,592,47,22,24,592224724,Kambria,"592,171875","-47,8125"
Kambria Border Tower,0,WOD_Scout_Tower_02,270,599,42,74,124,5997442124,Kambria,"599,578125","-42,03125"
Kambria Border Tower,0,WOD_Scout_Tower_02,270,625,41,81,115,6258141115,Kambria,"625,6328125","-41,1015625"
Kambria Border Tower,0,WOD_Border_Tower_02,,638,41,127,106,63812741106,Kambria,"638,9921875","-41,171875"
Kambria Border Tower,0,WOD_Border_Tower_02,180,655,53,111,47,6551115347,Kambria,"655,8671875","-53,6328125"
Kambria Border Tower,0,WOD_Scout_Tower_02,180,655,62,115,54,6551156254,Kambria,"655,8984375","-62,578125"
Kambria Border Tower,0,WOD_Scout_Tower_02,180,657,74,100,28,6571007428,Kambria,"657,78125","-74,78125"
Kambria Border Tower,0,WOD_Border_Tower_02,180,657,76,111,51,6571117651,Kambria,"657,8671875","-76,6015625"
Kambria Border Tower,0,WOD_Border_Tower_02,180,657,84,110,50,6571108450,Kambria,"657,859375","-84,609375"
Kambria Border Tower,0,WOD_Scout_Tower_02,270,651,85,47,52,651478552,Kambria,"651,3671875","-85,59375"
Kambria Border Tower,0,WOD_Border_Tower_02,270,644,86,108,20,6441088620,Kambria,"644,84375","-86,84375"
Kambria Border Tower,0,WOD_Scout_Tower_02,270,641,86,1,22,641018622,Kambria,"641,0078125","-86,828125"
Kambria Border Tower,0,WOD_Scout_Tower_02,270,626,87,77,17,626778717,Kambria,"626,6015625","-87,8671875"
Kambria Border Tower,0,WOD_Border_Tower_02,270,618,88,29,14,618298814,Kambria,"618,2265625","-88,890625"
Kambria Border Tower,0,WOD_Scout_Tower_02,270,610,91,1,19,610019119,Kambria,"610,0078125","-91,8515625"
Kambria Border Tower,0,WOD_Scout_Tower_02,270,602,90,74,12,602749012,Kambria,"602,578125","-90,90625"
Kambria Border Tower,0,WOD_Border_Tower_02,270,589,101,1,22,5890110122,Kambria,"589,0078125","-101,828125"
Kambria Border Tower,0,WOD_Border_Tower_02,,575,103,26,28,5752610328,Kambria,"575,203125","-103,78125"
Kambria Border Tower,0,WOD_Scout_Tower_02,270,571,101,83,19,5718310119,Kambria,"571,6484375","-101,8515625"
