name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Ruins,0,WOD_Ruins_03,690,86,83,28,690838628,Koegria,690.6484375,-86.78125
Ruins,0,WOD_Ruins_04,667,112,88,55,6678811255,Koegria,667.6875,-112.5703125
Ruins,0,WOD_Ruins_04,661,106,91,65,6619110665,Koegria,661.7109375,-106.4921875
Ruins,0,WOD_Ruins_01,710,86,79,81,710798681,Koegria,710.6171875,-86.3671875
Ruins,0,WOD_Ruins_01,713,85,4,15,713048515,Koegria,713.03125,-85.8828125
Ruins,0,WOD_Ruins_01,661,74,114,116,66111474116,Koegria,661.890625,-74.09375
Ruins,0,WOD_Ruins_04,672,110,14,110,67214110110,Koegria,672.109375,-110.140625
Ruins,0,WOD_Ruins_02,710,79,15,58,710157958,Koegria,710.1171875,-79.546875
Ruins,0,WOD_Ruins_01,669,51,18,95,669185195,Koegria,669.140625,-51.2578125
Ruins,0,WOD_Ruins_02,682,100,28,109,68228100109,Koegria,682.21875,-100.1484375
Ruins,0,WOD_Ruins_02,700,89,109,74,7001098974,Koegria,700.8515625,-89.421875
Ruins,0,WOD_Ruins_02,700,73,92,124,7009273124,Koegria,700.71875,-73.03125
Ruins,0,WOD_Ruins_03,671,51,19,116,6711951116,Koegria,671.1484375,-51.09375
Ruins,0,WOD_Ruins_03,682,76,5,24,682057624,Koegria,682.0390625,-76.8125
Ruins,0,WOD_Ruins_03,671,108,55,95,6715510895,Koegria,671.4296875,-108.2578125
Ruins,0,WOD_Ruins_05,674,87,104,17,6741048717,Koegria,674.8125,-87.8671875
Ruins,0,WOD_Ruins_05,672,103,87,69,6728710369,Koegria,672.6796875,-103.4609375
Ruins,0,WOD_Ruins_02,665,80,88,33,665888033,Koegria,665.6875,-80.7421875
Ruins,0,WOD_Ruins_01,668,74,56,49,668567449,Koegria,668.4375,-74.6171875
Ruins,0,WOD_Ruins_03,682,110,97,110,68297110110,Koegria,682.7578125,-110.140625
Ruins,0,WOD_Ruins_02,679,64,104,49,6791046449,Koegria,679.8125,-64.6171875
Ruins,0,WOD_Ruins_05,660,54,46,63,660465463,Koegria,660.359375,-54.5078125
Ruins,0,WOD_Ruins_06,681,121,91,51,6819112151,Koegria,681.7109375,-121.6015625
Ruins,0,WOD_Ruins_06,704,80,51,8,704518008,Koegria,704.3984375,-80.9375
Ruins,0,WOD_Ruins_04,677,76,102,123,67710276123,Koegria,677.796875,-76.0390625
Ruins,0,WOD_Ruins_03,679,102,36,36,6793610236,Koegria,679.28125,-102.71875
Ruins,0,WOD_Ruins_04,679,93,35,20,679359320,Koegria,679.2734375,-93.84375
Ruins,0,WOD_Ruins_02,691,86,87,28,691878628,Koegria,691.6796875,-86.78125
Ruins,0,WOD_Ruins_06,675,104,36,40,6753610440,Koegria,675.28125,-104.6875
Ruins,0,WOD_Ruins_03,670,124,97,95,6709712495,Koegria,670.7578125,-124.2578125
Ruins,0,WOD_Ruins_04,680,86,3,14,680038614,Koegria,680.0234375,-86.890625
Ruins,0,WOD_Ruins_05,663,40,84,9,663844009,Koegria,663.65625,-40.9296875
Ruins,0,WOD_Ruins_01,711,76,97,102,7119776102,Koegria,711.7578125,-76.203125
Ruins,0,WOD_Ruins_04,680,118,109,10,68010911810,Koegria,680.8515625,-118.921875
