name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Dibella,0,WOD_Shrine_Dibella_01,698,340,38,14,6983834014,Kozanset,698.296875,-340.890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,713,346,114,106,713114346106,Kozanset,713.890625,-346.171875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,696,325,67,114,69667325114,Kozanset,696.5234375,-325.109375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,701,330,105,40,70110533040,Kozanset,701.8203125,-330.6875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,721,338,123,91,72112333891,Kozanset,721.9609375,-338.2890625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,709,322,69,40,7096932240,Kozanset,709.5390625,-322.6875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,700,339,55,108,70055339108,Kozanset,700.4296875,-339.15625
Shrine of Dibella,0,WOD_Shrine_Dibella_01,732,336,84,52,7328433652,Kozanset,732.65625,-336.59375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,732,332,74,65,7327433265,Kozanset,732.578125,-332.4921875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,722,335,12,36,7221233536,Kozanset,722.09375,-335.71875
Shrine of Dibella,0,WOD_Shrine_Dibella_01,734,319,17,29,7341731929,Kozanset,734.1328125,-319.7734375
Shrine of Dibella,0,WOD_Shrine_Dibella_01,722,322,72,47,7227232247,Kozanset,722.5625,-322.6328125
