name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,gisX,gisY
WOD_Ruins,0,WOD_Ruins_01,846,141,64,21,8466414121,846.5,-141.8359375
WOD_FarmA,0,WOD_Farmaa04,849,141,107,64,84910714164,849.8359375,-141.5
WOD_BanditFort,0,WOD_BanditFort_01,848,142,107,107,848107142107,848.8359375,-142.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_02,843,143,62,21,8436414321,843.5,-143.8359375
WOD_BanditFort,0,WOD_BanditFort_01,843,143,107,21,84310714321,843.8359375,-143.8359375
WOD_BanditFort,0,WOD_BanditFort_01,846,143,64,107,84664143107,846.5,-143.1640625
WOD_Ruins,0,WOD_Ruins_05,850,143,64,107,85064143107,850.5,-143.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_04,839,144,64,107,83964144107,839.5,-144.1640625
WOD_Ruins,0,WOD_Ruins_02,843,144,21,64,8432114464,843.1640625,-144.5
WOD_BanditFort,0,WOD_BanditFort_01,846,144,64,21,8466414421,846.5,-144.8359375
WOD_Ruins,0,WOD_Ruins_06,849,144,64,21,8496414421,849.5,-144.8359375
WOD_Ruins,0,WOD_Ruins_06,840,145,21,21,8402114521,840.1640625,-145.8359375
WOD_Ruins,0,WOD_Ruins_03,840,145,107,64,84010714564,840.8359375,-145.5
WOD_FarmA,0,WOD_Farmaa01,840,145,107,107,840107145107,840.8359375,-145.1640625
WOD_BanditFort,0,WOD_BanditFort_01,841,145,107,64,84110714564,841.8359375,-145.5
WOD_BanditCamp,0,WOD_BanditCamp_03,843,145,107,35,84310714521,843.8359375,-145.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_02,846,145,21,21,8462114521,846.1640625,-145.8359375
WOD_FarmA,0,WOD_Farmaa04,846,145,64,21,8466414521,846.5,-145.8359375
WOD_Ruins,0,WOD_Ruins_06,846,145,107,21,84610714521,846.8359375,-145.8359375
WOD_Ruins,0,WOD_Ruins_05,846,145,107,64,84610714564,846.8359375,-145.5
WOD_Ruins,0,WOD_Ruins_04,846,145,107,107,846107145107,846.8359375,-145.1640625
WOD_Ruins,0,WOD_Ruins_06,848,145,21,21,8482114521,848.1640625,-145.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_02,851,145,21,21,8512114521,851.1640625,-145.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_05,851,145,21,107,85121145107,851.1640625,-145.1640625
WOD_Ruins,0,WOD_Ruins_03,851,145,64,21,8516414521,851.5,-145.8359375
WOD_Ruins,0,WOD_Ruins_03,851,145,64,107,85164145107,851.5,-145.1640625
WOD_BanditCamp,0,WOD_BanditCamp_04,830,146,107,21,83010714621,830.8359375,-146.8359375
WOD_BanditCamp,0,WOD_BanditCamp_08,833,146,21,107,83321146107,833.1640625,-146.1640625
WOD_BanditCamp,0,WOD_BanditCamp_05,835,146,64,107,83564146107,835.5,-146.1640625
WOD_Ruins,0,WOD_Ruins_04,838,146,107,107,838107146107,838.8359375,-146.1640625
WOD_GuardTower,0,WOD_Guardtower_01,840,146,66,64,8406414664,840.5,-146.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_03,840,146,21,21,8402114621,840.1640625,-146.8359375
WOD_BanditFort,0,WOD_BanditFort_01,843,146,107,21,84310714621,843.8359375,-146.8359375
WOD_BanditCamp,0,WOD_BanditCamp_05,843,146,107,107,843107146107,843.8359375,-146.1640625
WOD_FarmA,0,WOD_Farmaa01,844,146,79,64,8446414664,844.5,-146.5
WOD_Ruins,0,WOD_Ruins_01,844,146,21,117,84421146107,844.1640625,-146.1640625
WOD_BanditCamp,0,WOD_BanditCamp_02,847,146,107,21,84710714621,847.8359375,-146.8359375
WOD_Ruins,0,WOD_Ruins_03,848,146,107,21,84810714621,848.8359375,-146.8359375
WOD_FarmA,0,WOD_Farmaa00,816,147,21,107,81621147107,816.1640625,-147.1640625
WOD_GuardTower,0,WOD_Guardtower_01,823,147,67,107,82364147107,823.5,-147.1640625
WOD_OrcCamp,0,WOD_OrcCamp_Small_01,823,147,21,107,82321147107,823.1640625,-147.1640625
WOD_BanditCamp,0,WOD_BanditCamp_02,824,147,64,21,8246414721,824.5,-147.8359375
WOD_BanditCamp,0,WOD_BanditCamp_04,828,147,21,21,8282114721,828.1640625,-147.8359375
WOD_FarmA,0,WOD_Farmaa04,828,147,64,21,8286414721,828.5,-147.8359375
WOD_BanditCamp,0,WOD_BanditCamp_04,830,147,21,21,8302114721,830.1640625,-147.8359375
WOD_FarmA,0,WOD_Farmaa02,831,147,21,107,83121147107,831.1640625,-147.1640625
WOD_FarmA,0,WOD_Farmaa02,834,147,21,21,8342114721,834.1640625,-147.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_02,838,147,21,64,8382114764,838.1640625,-147.5
WOD_Ruins,0,WOD_Ruins_04,838,147,64,107,83864147107,838.5,-147.1640625
WOD_BanditCamp,0,WOD_BanditCamp_01,838,147,107,107,838107147107,838.8359375,-147.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_05,839,147,107,61,83910714764,839.8359375,-147.5
WOD_BanditCamp,0,WOD_BanditCamp_01,839,147,21,59,8392114764,839.1640625,-147.5
WOD_BanditFort,0,WOD_BanditFort_01,841,147,64,72,8416414764,841.5,-147.5
WOD_Ruins,0,WOD_Ruins_06,841,147,21,58,8412114764,841.1640625,-147.5
WOD_FarmA,0,WOD_Farmaa04,843,147,21,107,84321147107,843.1640625,-147.1640625
WOD_Ruins,0,WOD_Ruins_05,844,147,56,64,8446414764,844.5,-147.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_03,844,147,62,107,84464147107,844.5,-147.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_06,845,147,64,66,8456414764,845.5,-147.5
WOD_Ruins,0,WOD_Ruins_03,845,147,107,58,84510714764,845.8359375,-147.5
WOD_Shrine,0,WOD_Shrine_Dibella_01,845,147,21,60,8452114764,845.1640625,-147.5
WOD_FarmA,0,WOD_Farmaa00,846,147,64,54,8466414764,846.5,-147.5
WOD_BanditCamp,0,WOD_BanditCamp_06,846,147,107,68,84610714764,846.8359375,-147.5
WOD_FarmA,0,WOD_Farmaa04,846,147,21,54,8462114764,846.1640625,-147.5
WOD_FarmA,0,WOD_Farmaa02,846,147,64,21,8466414721,846.5,-147.8359375
WOD_Ruins,0,WOD_Ruins_04,846,147,107,107,846107147107,846.8359375,-147.1640625
WOD_FarmA,0,WOD_Farmaa04,847,147,21,74,8472114764,847.1640625,-147.5
WOD_BanditCamp,0,WOD_BanditCamp_02,848,147,21,59,8482114764,848.1640625,-147.5
WOD_FarmA,0,WOD_Farmaa02,850,147,64,54,8506414764,850.5,-147.5
WOD_FarmA,0,WOD_Farmaa00,850,147,21,74,8502114764,850.1640625,-147.5
WOD_Ruins,0,WOD_Ruins_04,850,147,21,107,85021147107,850.1640625,-147.1640625
WOD_Ruins,0,WOD_Ruins_06,851,147,64,107,85164147107,851.5,-147.1640625
WOD_FarmA,0,WOD_Farmaa01,851,147,107,118,851107147107,851.8359375,-147.1640625
WOD_FarmA,0,WOD_Farmaa01,809,148,74,107,80964148107,809.5,-148.1640625
WOD_Ruins,0,WOD_Ruins_05,809,148,59,21,8096414821,809.5,-148.8359375
WOD_FarmA,0,WOD_Farmaa02,811,148,21,107,81121148107,811.1640625,-148.1640625
WOD_FarmA,0,WOD_Farmaa04,816,148,107,64,81610714864,816.8359375,-148.5
WOD_BanditCamp,0,WOD_BanditCamp_09,817,148,107,21,81710714821,817.8359375,-148.8359375
WOD_GuardTower,0,WOD_Guardtower_01,823,148,21,27,8232114821,823.1640625,-148.8359375
WOD_OrcCamp,0,WOD_OrcCamp_Medium_02,823,148,21,64,8232114864,823.1640625,-148.5
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_01,823,148,107,107,823107148107,823.8359375,-148.1640625
WOD_BanditCamp,0,WOD_BanditCamp_06,825,148,107,107,825107148107,825.8359375,-148.1640625
WOD_BanditCamp,0,WOD_BanditCamp_01,826,148,64,21,8266414821,826.5,-148.8359375
WOD_Ruins,0,WOD_Ruins_03,826,148,107,64,82610714864,826.8359375,-148.5
WOD_OrcCamp,0,WOD_OrcCamp_Small_02,832,148,107,21,83210714821,832.8359375,-148.8359375
WOD_OrcCamp,0,WOD_OrcCamp_Large_01,835,148,64,21,8356414821,835.5,-148.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Major_07,837,148,60,64,8376414864,837.5,-148.5
WOD_Ruins,0,WOD_Ruins_06,837,148,107,118,837107148107,837.8359375,-148.1640625
WOD_FarmA,0,WOD_Farmaa03,839,148,107,21,83910714821,839.8359375,-148.8359375
WOD_GuardTower,0,WOD_Guardtower_01,842,148,21,21,8422114821,842.1640625,-148.8359375
WOD_FarmA,0,WOD_Farmaa01,843,148,107,118,843107148107,843.8359375,-148.1640625
WOD_OrcCamp,0,WOD_OrcCamp_Small_01,807,149,107,21,80710714921,807.8359375,-149.8359375
WOD_Ruins,0,WOD_Ruins_04,809,149,107,68,80910714964,809.8359375,-149.5
WOD_FarmA,0,WOD_Farmaa01,809,149,21,64,8092114964,809.1640625,-149.5
WOD_FarmA,0,WOD_Farmaa03,811,149,107,54,81110714964,811.8359375,-149.5
WOD_OrcCamp,0,WOD_OrcCamp_Medium_01,812,149,107,107,812107149107,812.8359375,-149.1640625
WOD_FarmA,0,WOD_Farmaa04,813,149,64,54,8136414964,813.5,-149.5
WOD_BanditCamp,0,WOD_BanditCamp_01,813,149,21,59,8132114964,813.1640625,-149.5
WOD_FarmA,0,WOD_Farmaa02,814,149,21,21,8142114921,814.1640625,-149.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_05,816,149,107,61,81610714964,816.8359375,-149.5
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_06,816,149,21,61,8162114964,816.1640625,-149.5
WOD_Ruins,0,WOD_Ruins_04,817,149,64,61,8176414964,817.5,-149.5
WOD_FarmA,0,WOD_Farmaa00,819,149,64,74,8196414964,819.5,-149.5
WOD_FarmA,0,WOD_Farmaa04,819,149,64,21,8196414921,819.5,-149.8359375
WOD_BanditCamp,0,WOD_BanditCamp_05,819,149,64,107,81964149107,819.5,-149.1640625
WOD_BanditCamp,0,WOD_BanditCamp_03,820,149,107,107,820107149107,820.8359375,-149.1640625
WOD_OrcCamp,0,WOD_OrcCamp_Medium_02,821,149,21,21,8212114921,821.1640625,-149.8359375
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_03,821,149,107,62,82110714964,821.8359375,-149.5
WOD_GuardTower,0,WOD_Guardtower_01,822,149,107,113,822107149107,822.8359375,-149.1640625
WOD_Ruins,0,WOD_Ruins_03,829,149,21,107,82921149107,829.1640625,-149.1640625
WOD_BanditFort,0,WOD_BanditFort_01,829,149,107,107,829107149107,829.8359375,-149.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_03,833,149,107,21,83310714921,833.8359375,-149.8359375
WOD_Ruins,0,WOD_Ruins_02,833,149,107,107,833107149107,833.8359375,-149.1640625
WOD_Ruins,0,WOD_Ruins_03,836,149,107,107,836107149107,836.8359375,-149.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_03,837,149,21,25,8372114921,837.1640625,-149.8359375
WOD_Shrine,0,WOD_Shrine_Zenithar_Minor_07,837,149,21,107,83721149107,837.1640625,-149.1640625
WOD_GuardTower,0,WOD_Guardtower_01,837,149,61,107,83764149107,837.5,-149.1640625
WOD_Ruins,0,WOD_Ruins_02,838,149,21,107,83821149107,838.1640625,-149.1640625
WOD_Ruins,0,WOD_Ruins_03,840,149,107,107,840107149107,840.8359375,-149.1640625
WOD_FarmA,0,WOD_Farmaa04,842,149,107,64,84210714964,842.8359375,-149.5
WOD_BanditCamp,0,WOD_BanditCamp_04,843,149,107,21,84310714921,843.8359375,-149.8359375
WOD_Ruins,0,WOD_Ruins_01,850,149,64,56,8506414964,850.5,-149.5
WOD_BanditCamp,0,WOD_BanditCamp_07,850,149,21,31,8502114921,850.1640625,-149.8359375
WOD_BanditCamp,0,WOD_BanditCamp_05,851,149,21,21,8512114921,851.1640625,-149.8359375
WOD_BanditCamp,0,WOD_BanditCamp_07,851,149,64,107,85164149107,851.5,-149.1640625
WOD_FarmA,0,WOD_Farmaa00,851,149,107,21,85110714921,851.8359375,-149.8359375
WOD_BanditCamp,0,WOD_BanditCamp_04,803,150,107,64,80310715064,803.8359375,-150.5
WOD_Ruins,0,WOD_Ruins_05,804,150,107,107,804107150107,804.8359375,-150.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Minor_05,809,150,62,64,8096415064,809.5,-150.5
WOD_Ruins,0,WOD_Ruins_01,809,150,58,107,80964150107,809.5,-150.1640625
WOD_Ruins,0,WOD_Ruins_05,811,150,21,21,8112115021,811.1640625,-150.8359375
WOD_BanditCamp,0,WOD_BanditCamp_09,819,150,107,64,81910715064,819.8359375,-150.5
WOD_FarmA,0,WOD_Farmaa04,822,150,74,64,8226415064,822.5,-150.5
WOD_GuardTower,0,WOD_Guardtower_01,822,150,61,107,82264150107,822.5,-150.1640625
WOD_Shrine,0,WOD_Shrine_Stendarr_Major_03,822,150,62,21,8226415021,822.5,-150.8359375
