name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Guardtower,0,WOD_Mournoth_ScoutTower_01,876,300,104,17,87610430017,Mournoth,876.8125,-300.8671875
Guardtower,0,WOD_Mournoth_ScoutTower_01,939,324,86,93,9398632493,Mournoth,939.671875,-324.2734375
Guardtower,0,WOD_Mournoth_ScoutTower_01,923,284,68,70,9236828470,Mournoth,923.53125,-284.453125
Guardtower,0,WOD_Mournoth_ScoutTower_01,959,278,108,45,95910827845,Mournoth,959.84375,-278.6484375
Guardtower,0,WOD_Mournoth_ScoutTower_01,972,307,72,101,97272307101,Mournoth,972.5625,-307.2109375
Guardtower,0,WOD_Mournoth_ScoutTower_01,928,284,5,51,9280528451,Mournoth,928.0390625,-284.6015625
Guardtower,0,WOD_Mournoth_ScoutTower_01,914,308,124,26,91412530826,Mournoth,914.9765625,-308.796875
Guardtower,0,WOD_Mournoth_ScoutTower_01,943,382,116,78,94311638278,Mournoth,943.90625,-382.390625
Guardtower,0,WOD_Mournoth_ScoutTower_01,991,300,108,88,99110830088,Mournoth,991.84375,-300.3125
Guardtower,0,WOD_Mournoth_ScoutTower_01,941,382,114,84,94111438284,Mournoth,941.890625,-382.34375
Guardtower,0,WOD_Mournoth_ScoutTower_01,882,317,49,101,88249317101,Mournoth,882.3828125,-317.2109375
Guardtower,0,WOD_Mournoth_ScoutTower_01,985,329,47,20,9854732920,Mournoth,985.3671875,-329.84375
Guardtower,0,WOD_Mournoth_ScoutTower_01,985,292,60,33,9856029233,Mournoth,985.46875,-292.7421875
Guardtower,0,WOD_Mournoth_ScoutTower_01,976,303,49,65,9764930365,Mournoth,976.3828125,-303.4921875
Guardtower,0,WOD_Mournoth_ScoutTower_01,916,286,45,44,9164528644,Mournoth,916.3515625,-286.65625
Guardtower,0,WOD_Mournoth_ScoutTower_01,952,370,47,8,9524737008,Mournoth,952.3671875,-370.9375
Guardtower,0,WOD_Mournoth_ScoutTower_01,907,295,45,31,9074529531,Mournoth,907.3515625,-295.7578125
Guardtower,0,WOD_Mournoth_ScoutTower_01,930,284,51,74,9305128474,Mournoth,930.3984375,-284.421875
Guardtower,0,WOD_Mournoth_ScoutTower_01,937,283,41,4,9374128303,Mournoth,937.3203125,-283.9765625
Guardtower,0,WOD_Mournoth_ScoutTower_01,911,291,77,64,9117729164,Mournoth,911.6015625,-291.5
Guardtower,0,WOD_Mournoth_ScoutTower_01,921,302,37,22,9213730222,Mournoth,921.2890625,-302.828125
Guardtower,0,WOD_Mournoth_ScoutTower_01,901,297,9,93,9010929793,Mournoth,901.0703125,-297.2734375
Guardtower,0,WOD_Mournoth_ScoutTower_01,954,295,73,113,95473295113,Mournoth,954.5703125,-295.1171875
Guardtower,0,WOD_Mournoth_ScoutTower_01,960,303,50,56,9605030356,Mournoth,960.390625,-303.5625
Guardtower,0,WOD_Mournoth_ScoutTower_01,997,352,17,99,9971735299,Mournoth,997.1328125,-352.2265625
