name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,960,339,32,108,96032339108,Mournoth,960.25,-339.15625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,998,307,74,95,9987430795,Mournoth,998.578,-307.2578125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,880,301,102,102,880102301102,Mournoth,880.797,-301.203125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,900,291,29,60,9002929160,Mournoth,900.227,-291.53125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,992,302,93,26,9929330226,Mournoth,992.727,-302.796875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_02,994,290,125,88,99412529088,Mournoth,994.977,-290.3125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,984,335,12,69,9841233569,Mournoth,984.094,-335.4609375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_05,990,321,70,65,9907032165,Mournoth,990.547,-321.4921875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_07,946,300,100,29,94610030029,Mournoth,946.781,-300.7734375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,986,321,31,61,9863132161,Mournoth,986.242,-321.5234375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,945,291,111,108,945111291108,Mournoth,945.867,-291.15625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,964,347,70,56,9647034756,Mournoth,964.547,-347.5625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,896,324,108,4,89610832404,Mournoth,896.844,-324.96875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,985,333,22,114,98522333114,Mournoth,985.172,-333.109375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,962,369,40,4,9624036904,Mournoth,962.313,-369.96875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_02,962,294,8,120,96208294120,Mournoth,962.063,-294.0625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,917,284,3,120,91703284120,Mournoth,917.023,-284.0625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_04,891,312,22,32,8912231232,Mournoth,891.172,-312.75
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_05,945,376,10,110,94510376110,Mournoth,945.078,-376.140625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_06,906,276,59,18,9065927618,Mournoth,906.461,-276.859375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_07,930,283,73,22,9307328322,Mournoth,930.57,-283.828125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,979,371,78,83,9797837183,Mournoth,979.609,-371.3515625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,954,297,104,65,95410429765,Mournoth,954.813,-297.4921875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,952,330,15,73,9521533073,Mournoth,952.117,-330.4296875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,951,363,79,14,9517936314,Mournoth,951.617,-363.890625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,961,381,61,46,9616138146,Mournoth,961.477,-381.640625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_02,976,343,72,23,9767234323,Mournoth,976.563,-343.8203125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,960,369,84,3,9608436903,Mournoth,960.656,-369.9765625
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_04,976,366,108,49,97610836649,Mournoth,976.844,-366.6171875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_05,945,301,12,17,9451230117,Mournoth,945.094,-301.8671875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_06,915,327,41,104,91541327104,Mournoth,915.32,-327.1875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_07,958,332,23,72,9582333272,Mournoth,958.18,-332.4375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_01,924,308,10,92,9241030892,Mournoth,924.078,-308.28125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_02,966,324,44,106,96644324106,Mournoth,966.344,-324.171875
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_03,988,352,26,37,9882635237,Mournoth,988.203,-352.7109375
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_04,888,314,78,127,88878314127,Mournoth,888.609,-314.0078125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Major_05,936,310,38,88,9363831088,Mournoth,936.297,-310.3125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_01,965,364,104,24,96510436424,Mournoth,965.813,-364.8125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_02,968,377,96,60,9689637760,Mournoth,968.75,-377.53125
Shrine of Stendarr,0,WOD_Shrine_Stendarr_Minor_03,974,358,78,20,9747835820,Mournoth,974.609,-358.84375
