name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Bandit Fort,0,WOD_BanditFort_02,312,411,32,5,3123241105,Myrkwasa,312.25,-411.9609375
Bandit Fort,0,WOD_BanditFort_01,276,436,5,27,2760543627,Myrkwasa,276.0390625,-436.7890625
Bandit Camp,0,WOD_BanditCamp_06,281,422,36,96,2813642296,Myrkwasa,281.28125,-422.25
Bandit Camp,0,WOD_BanditCamp_03,330,406,13,17,3301340617,Myrkwasa,330.1015625,-406.8671875
Bandit Fort,0,WOD_BanditFort_03,280,436,28,97,2802843697,Myrkwasa,280.21875,-436.2421875
Bandit Fort,0,WOD_BanditFort_02,302,423,8,26,3020842326,Myrkwasa,302.0625,-423.796875
Bandit Camp,0,WOD_BanditCamp_03,256,434,78,41,2567843441,Myrkwasa,256.609375,-434.6796875
Bandit Fort,0,WOD_BanditFort_03,329,408,38,111,32938408111,Myrkwasa,329.296875,-408.1328125
Bandit Fort,0,WOD_BanditFort_03,260,447,31,86,2603144786,Myrkwasa,260.2421875,-447.328125
Bandit Camp,0,WOD_BanditCamp_02,305,407,56,106,30556407106,Myrkwasa,305.4375,-407.171875
Bandit Camp,0,WOD_BanditCamp_02,278,448,90,92,2789044892,Myrkwasa,278.703125,-448.28125
Bandit Camp,0,WOD_BanditCamp_03,305,405,26,9,3052640509,Myrkwasa,305.203125,-405.9296875
Bandit Camp,0,WOD_BanditCamp_03,264,422,61,90,2646142290,Myrkwasa,264.4765625,-422.296875
Bandit Camp,0,WOD_BanditCamp_05,253,448,41,3,2534144803,Myrkwasa,253.3203125,-448.9765625
Bandit Camp,0,WOD_BanditCamp_01,319,409,20,93,3192040993,Myrkwasa,319.15625,-409.2734375
Bandit Camp,0,WOD_BanditCamp_06,262,420,96,102,26296420102,Myrkwasa,262.75,-420.203125
Bandit Fort,0,WOD_BanditFort_01,258,430,32,84,2583243084,Myrkwasa,258.25,-430.34375
Bandit Camp,0,WOD_BanditCamp_05,289,421,76,19,2897642119,Myrkwasa,289.59375,-421.8515625
Bandit Fort,0,WOD_BanditFort_01,300,428,49,45,3004942845,Myrkwasa,300.3828125,-428.6484375
Bandit Camp,0,WOD_BanditCamp_05,285,419,51,92,2855141992,Myrkwasa,285.3984375,-419.28125
Bandit Fort,0,WOD_BanditFort_03,293,410,8,32,2930841032,Myrkwasa,293.0625,-410.75
Bandit Camp,0,WOD_BanditCamp_06,304,434,44,105,30444434105,Myrkwasa,304.34375,-434.1796875
Bandit Camp,0,WOD_BanditCamp_03,268,422,70,54,2687042254,Myrkwasa,268.546875,-422.578125
Bandit Fort,0,WOD_BanditFort_02,291,431,77,23,2917743123,Myrkwasa,291.6015625,-431.8203125
Bandit Camp,0,WOD_BanditCamp_02,304,422,37,79,3043742279,Myrkwasa,304.2890625,-422.3828125
Bandit Camp,0,WOD_BanditCamp_01,290,414,33,24,2903341424,Myrkwasa,290.2578125,-414.8125
Bandit Camp,0,WOD_BanditCamp_02,319,415,64,101,31964415101,Myrkwasa,319.5,-415.2109375
Bandit Camp,0,WOD_BanditCamp_02,316,410,65,46,3166541046,Myrkwasa,316.5078125,-410.640625
Bandit Camp,0,WOD_BanditCamp_03,329,418,52,87,3295241887,Myrkwasa,329.40625,-418.3203125
Bandit Camp,0,WOD_BanditCamp_01,261,452,86,113,26186452113,Myrkwasa,261.671875,-452.1171875
Bandit Camp,0,WOD_BanditCamp_02,272,419,97,88,2729741988,Myrkwasa,272.7578125,-419.3125
Bandit Camp,0,WOD_BanditCamp_01,284,432,86,91,2848643291,Myrkwasa,284.671875,-432.2890625
Bandit Fort,0,WOD_BanditFort_02,311,427,31,116,31131427116,Myrkwasa,311.2421875,-427.09375
Bandit Camp,0,WOD_BanditCamp_06,269,419,45,3,2694541903,Myrkwasa,269.3515625,-419.9765625
Bandit Camp,0,WOD_BanditCamp_01,290,432,65,74,2906543274,Myrkwasa,290.5078125,-432.421875
Bandit Camp,0,WOD_BanditCamp_03,262,444,35,41,2623544441,Myrkwasa,262.2734375,-444.6796875
Bandit Camp,0,WOD_BanditCamp_03,329,411,97,97,3299741197,Myrkwasa,329.7578125,-411.2421875
Bandit Fort,0,WOD_BanditFort_03,328,426,33,83,3283342683,Myrkwasa,328.2578125,-426.3515625
Bandit Camp,0,WOD_BanditCamp_05,305,417,122,113,305122417113,Myrkwasa,305.953125,-417.1171875
Bandit Camp,0,WOD_BanditCamp_01,272,419,59,115,27259419115,Myrkwasa,272.4609375,-419.1015625
