name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,altitude,sink,scale
Rocks,1,WOD_Rocks_Round_Small_07,62,286,429,118,6,Myrkwasa,286.921875,-429.953125,7,,0.5,0.4200022
Rocks,1,WOD_Rocks_Round_Small_01,33,331,410,54,69,Myrkwasa,331.421875,-410.4609375,7,,0.5,0.41367415
Rocks,1,WOD_Rocks_Round_Small_01,-69,247,434,64,84,Myrkwasa,247.5,-434.34375,7,,0.5,0.4395901
Rocks,1,WOD_Rocks_Round_Small_07,-99,327,413,26,74,Myrkwasa,327.203125,-413.421875,7,,0.5,0.4673408
Rocks,1,WOD_Rocks_Round_Small_06,-128,252,432,27,116,Myrkwasa,252.2109375,-432.09375,7,,0.5,0.49544785
Rocks,1,WOD_Rocks_Round_Small_09,159,295,409,96,47,Myrkwasa,295.75,-409.6328125,7,,0.5,0.45718705
Rocks,1,WOD_Rocks_Round_Small_10,102,294,408,9,20,Myrkwasa,294.0703125,-408.84375,7,,0.5,0.46313425
Rocks,1,WOD_Rocks_Round_Small_06,42,329,412,111,61,Myrkwasa,329.8671875,-412.5234375,7,,0.5,0.3863541
Rocks,1,WOD_Rocks_Round_Small_03,-10,288,429,50,58,Myrkwasa,288.390625,-429.546875,7,,0.5,0.40766315
Rocks,1,WOD_Rocks_Round_Small_06,122,300,394,23,109,Myrkwasa,300.1796875,-394.1484375,7,,0.5,0.48596545
Rocks,1,WOD_Rocks_Round_Small_04,20,264,428,106,9,Myrkwasa,264.828125,-428.9296875,7,,0.5,0.405351
Rocks,1,WOD_Rocks_Round_Small_06,-91,252,444,4,20,Myrkwasa,252.03125,-444.84375,7,,0.5,0.4631934
Rocks,1,WOD_Rocks_Round_Small_10,50,308,401,114,12,Myrkwasa,308.890625,-401.90625,7,,0.5,0.39172715
Rocks,1,WOD_Rocks_Round_Small_10,-139,280,432,19,101,Myrkwasa,280.1484375,-432.2109375,7,,0.5,0.49714825
Rocks,1,WOD_Rocks_Round_Small_07,20,284,430,40,110,Myrkwasa,284.3125,-430.140625,7,,0.5,0.4807697
Rocks,1,WOD_Rocks_Round_Small_03,36,328,411,93,55,Myrkwasa,328.7265625,-411.5703125,7,,0.5,0.40343545
Rocks,1,WOD_Rocks_Round_Small_10,-40,261,426,35,115,Myrkwasa,261.2734375,-426.1015625,7,,0.5,0.3863303
Rocks,1,WOD_Rocks_Round_Small_08,-76,251,452,81,116,Myrkwasa,251.6328125,-452.09375,7,,0.5,0.40263655
Rocks,1,WOD_Rocks_Round_Small_01,27,291,423,88,122,Myrkwasa,291.6875,-423.046875,7,,0.5,0.37935425
Rocks,1,WOD_Rocks_Round_Small_03,-29,267,428,17,52,Myrkwasa,267.1328125,-428.59375,7,,0.5,0.40178235
Rocks,1,WOD_Rocks_Round_Small_06,42,320,412,18,69,Myrkwasa,320.140625,-412.4609375,7,,0.5,0.4427538
Rocks,1,WOD_Rocks_Round_Small_07,40,291,424,56,90,Myrkwasa,291.4375,-424.296875,7,,0.5,0.4114959
Rocks,1,WOD_Rocks_Round_Small_01,-150,273,428,104,1,Myrkwasa,273.8125,-428.9921875,7,,0.5,0.48016445
Rocks,1,WOD_Rocks_Round_Small_07,-92,268,434,17,28,Myrkwasa,268.1328125,-434.78125,7,,0.5,0.46433825
Rocks,1,WOD_Rocks_Round_Small_04,96,319,411,74,58,Myrkwasa,319.578125,-411.546875,7,,0.5,0.4497276
Rocks,1,WOD_Rocks_Round_Small_09,-150,338,416,67,113,Myrkwasa,338.5234375,-416.1171875,7,,0.5,0.4039186
Rocks,1,WOD_Rocks_Round_Small_09,-67,251,452,61,102,Myrkwasa,251.4765625,-452.203125,7,,0.5,0.433858
Rocks,1,WOD_Rocks_Round_Small_08,-148,255,426,122,52,Myrkwasa,255.953125,-426.59375,7,,0.5,0.4313701
Rocks,1,WOD_Rocks_Round_Small_10,134,264,421,37,104,Myrkwasa,264.2890625,-421.1875,7,,0.5,0.3803767
Rocks,1,WOD_Rocks_Round_Small_02,113,304,402,106,17,Myrkwasa,304.828125,-402.8671875,7,,0.5,0.4237878
Rocks,1,WOD_Rocks_Round_Small_06,67,295,411,55,22,Myrkwasa,295.4296875,-411.828125,7,,0.5,0.4313664
Rocks,1,WOD_Rocks_Round_Small_02,-8,287,429,93,60,Myrkwasa,287.7265625,-429.53125,7,,0.5,0.4716844
Rocks,1,WOD_Rocks_Round_Small_03,-99,253,452,37,32,Myrkwasa,253.2890625,-452.75,7,,0.5,0.3765753
Rocks,1,WOD_Rocks_Round_Small_05,116,311,402,58,70,Myrkwasa,311.453125,-402.453125,7,,0.5,0.39820925
Rocks,1,WOD_Rocks_Round_Small_09,-108,266,429,4,0,Myrkwasa,266.03125,-430.0,7,,0.5,0.41733185
Rocks,1,WOD_Rocks_Round_Small_10,95,249,448,77,32,Myrkwasa,249.6015625,-448.75,7,,0.5,0.46496875
Rocks,1,WOD_Rocks_Round_Small_01,144,286,406,51,124,Myrkwasa,286.3984375,-406.03125,7,,0.5,0.47398655
Rocks,1,WOD_Rocks_Round_Small_02,26,309,413,6,110,Myrkwasa,309.046875,-413.140625,7,,0.5,0.46734865
Rocks,1,WOD_Rocks_Round_Small_05,139,279,425,58,63,Myrkwasa,279.453125,-425.5078125,7,,0.5,0.4260682
Rocks,1,WOD_Rocks_Round_Small_03,68,312,400,41,120,Myrkwasa,312.3203125,-400.0625,7,,0.5,0.4559098
Rocks,1,WOD_Rocks_Round_Small_05,-113,265,433,92,109,Myrkwasa,265.71875,-433.1484375,7,,0.5,0.4189962
Rocks,1,WOD_Rocks_Round_Small_08,116,266,439,41,54,Myrkwasa,266.3203125,-439.578125,7,,0.5,0.3998757
Rocks,1,WOD_Rocks_Round_Small_01,-124,256,449,83,60,Myrkwasa,256.6484375,-449.53125,7,,0.5,0.3798751
Rocks,1,WOD_Rocks_Round_Small_04,-79,309,406,111,69,Myrkwasa,309.8671875,-406.4609375,7,,0.5,0.3974688
Rocks,1,WOD_Rocks_Round_Small_02,-140,302,424,99,118,Myrkwasa,302.7734375,-424.078125,7,,0.5,0.4194176
Rocks,1,WOD_Rocks_Round_Small_01,131,253,452,36,14,Myrkwasa,253.28125,-452.890625,7,,0.5,0.4378282
Rocks,1,WOD_Rocks_Round_Small_06,50,304,414,97,87,Myrkwasa,304.7578125,-414.3203125,7,,0.5,0.40414095
Rocks,1,WOD_Rocks_Round_Small_05,39,253,442,20,97,Myrkwasa,253.15625,-442.2421875,7,,0.5,0.44195625
Rocks,1,WOD_Rocks_Round_Small_07,34,255,450,76,118,Myrkwasa,255.59375,-450.078125,7,,0.5,0.38513555
Rocks,1,WOD_Rocks_Round_Small_10,-89,276,407,35,100,Myrkwasa,276.2734375,-407.21875,7,,0.5,0.4127507
Rocks,1,WOD_Rocks_Round_Small_06,-162,293,419,22,96,Myrkwasa,293.171875,-419.25,7,,0.5,0.49838945
Rocks,1,WOD_Rocks_Round_Small_06,-82,299,407,93,108,Myrkwasa,299.7265625,-407.15625,7,,0.5,0.4804567
Rocks,1,WOD_Rocks_Round_Small_02,-78,294,400,125,97,Myrkwasa,294.9765625,-400.2421875,7,,0.5,0.4045996
Rocks,1,WOD_Rocks_Round_Small_09,119,265,434,23,125,Myrkwasa,265.1796875,-434.0234375,7,,0.5,0.4414962
Rocks,1,WOD_Rocks_Round_Small_08,-87,331,410,61,38,Myrkwasa,331.4765625,-410.703125,7,,0.5,0.4505909
Rocks,1,WOD_Rocks_Round_Small_02,-71,294,425,96,92,Myrkwasa,294.75,-425.28125,7,,0.5,0.4696294
Rocks,1,WOD_Rocks_Round_Small_02,127,299,407,17,28,Myrkwasa,299.1328125,-407.78125,7,,0.5,0.48507635
Rocks,1,WOD_Rocks_Round_Small_03,-158,285,433,26,55,Myrkwasa,285.203125,-433.5703125,7,,0.5,0.4200527
Rocks,1,WOD_Rocks_Round_Small_07,-173,270,420,23,83,Myrkwasa,270.1796875,-420.3515625,7,,0.5,0.4143258
Rocks,1,WOD_Rocks_Round_Small_02,-53,291,401,70,40,Myrkwasa,291.546875,-401.6875,7,,0.5,0.4798085
Rocks,1,WOD_Rocks_Round_Small_07,-8,273,419,82,41,Myrkwasa,273.640625,-419.6796875,7,,0.5,0.39732925
Rocks,1,WOD_Rocks_Round_Small_04,171,267,413,33,45,Myrkwasa,267.2578125,-413.6484375,7,,0.5,0.43228885
Rocks,1,WOD_Rocks_Round_Small_03,-114,287,430,42,97,Myrkwasa,287.328125,-430.2421875,7,,0.5,0.45625075
