name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Northmoor Border Tower,0,WOD_Scout_Tower_01,,124,55,73,14,124735514,Northmoor,"124,5703125","-55,890625"
Northmoor Border Tower,0,WOD_Border_Tower_05,,132,55,84,9,132845509,Northmoor,"132,65625","-55,9296875"
Northmoor Border Tower,0,WOD_Scout_Tower_01,,147,61,13,52,147136152,Northmoor,"147,1015625","-61,59375"
Northmoor Border Tower,0,WOD_Border_Tower_05,,148,67,60,96,148606796,Northmoor,"148,46875","-67,25"
Northmoor Border Tower,0,WOD_Border_Tower_05,,150,65,81,8,150816508,Northmoor,"150,6328125","-65,9375"
Northmoor Border Tower,0,WOD_Scout_Tower_01,,158,68,78,10,158786810,Northmoor,"158,609375","-68,921875"
Northmoor Border Tower,0,WOD_Border_Tower_05,,181,66,20,10,181206610,Northmoor,"181,15625","-66,921875"
Northmoor Border Tower,0,WOD_Border_Tower_05,,195,65,26,9,195266509,Northmoor,"195,203125","-65,9296875"
Northmoor Border Tower,0,WOD_Border_Tower_05,,202,66,24,5,202246605,Northmoor,"202,1875","-66,9609375"
Northmoor Border Tower,0,WOD_Scout_Tower_01,,204,66,82,6,204826606,Northmoor,"204,640625","-66,953125"
Northmoor Border Tower,0,WOD_Scout_Tower_01,,217,64,28,9,217286409,Northmoor,"217,21875","-64,9296875"
Northmoor Border Tower,0,WOD_Border_Tower_05,,226,65,76,14,226766514,Northmoor,"226,59375","-65,890625"
Northmoor Border Tower,0,WOD_Scout_Tower_01,,238,65,24,10,238246510,Northmoor,"238,1875","-65,921875"
Northmoor Border Tower,0,WOD_Border_Tower_05,,242,65,26,9,242266509,Northmoor,"242,203125","-65,9296875"
Northmoor Border Tower,0,WOD_Border_Tower_05,,250,65,31,10,250316510,Northmoor,"250,2421875","-65,921875"
Northmoor Border Tower,0,WOD_Scout_Tower_01,,267,65,78,15,267786515,Northmoor,"267,609375","-65,8828125"
Northmoor Border Tower,0,WOD_Scout_Tower_01,,272,66,38,14,272386614,Northmoor,"272,296875","-66,890625"
Northmoor Border Tower,0,WOD_Scout_Tower_01,,275,60,120,55,2751206055,Northmoor,"275,9375","-60,5703125"
Northmoor Border Tower,0,WOD_Border_Tower_05,,277,50,120,52,2771205052,Northmoor,"277,9375","-50,59375"
Northmoor Border Tower,0,WOD_Border_Tower_05,,274,35,116,52,2741163552,Northmoor,"274,90625","-35,59375"
Northmoor Border Tower,0,WOD_Scout_Tower_01,,274,24,116,45,2741162445,Northmoor,"274,90625","-24,6484375"
Northmoor Border Tower,0,WOD_Scout_Tower_01,,275,17,116,52,2751161752,Northmoor,"275,90625","-17,59375"
Northmoor Border Tower,0,WOD_Border_Tower_05,,277,15,81,12,277811512,Northmoor,"277,6328125","-15,90625"
Northmoor Border Tower,0,WOD_Border_Tower_05,,286,7,116,52,2861160752,Northmoor,"286,90625","-7,59375"
Northmoor Border Tower,0,WOD_Border_Tower_05,,223,4,79,15,223790415,Northmoor,"223,6171875","-4,8828125"
Northmoor Border Tower,0,WOD_Border_Tower_05,,219,9,10,123,2191009123,Northmoor,"219,078125","-9,0390625"
Northmoor Border Tower,0,WOD_Border_Tower_05,,215,12,9,123,2150912123,Northmoor,"215,0703125","-12,0390625"
Northmoor Border Tower,0,WOD_Border_Tower_05,,211,13,82,13,211821313,Northmoor,"211,640625","-13,8984375"
Northmoor Border Tower,0,WOD_Border_Tower_05,,192,25,125,124,19212525124,Northmoor,"192,9765625","-25,03125"
Northmoor Border Tower,0,WOD_Border_Tower_05,,160,33,78,17,160783317,Northmoor,"160,609375","-33,8671875"
Northmoor Border Tower,0,WOD_Border_Tower_05,,151,36,12,95,151123695,Northmoor,"151,09375","-36,2578125"
Northmoor Border Tower,0,WOD_Border_Tower_05,,126,42,67,32,126674232,Northmoor,"126,5234375","-42,75"
Northmoor Border Tower,0,WOD_Border_Tower_05,,123,44,118,44,1231184444,Northmoor,"123,921875","-44,65625"
