name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY,climate,altitude,sink,scale
Mountain,1,WOD_Mountain_01,-169,874,141,97,52,8749714152,Orsinium Area,874.7578125,-141.59375,4.0,9,1,0.6926806505884818
Mountain,1,WOD_Mountain_03,-154,867,139,23,90,8672313990,Orsinium Area,867.1796875,-139.296875,4.0,9,1,0.7442182241943569
Mountain,1,WOD_Mountain_09,-15,867,140,1,64,8670114064,Orsinium Area,867.0078125,-140.5,4.0,9,1,0.7195001243407764
Mountain,1,WOD_Mountain_08,-101,862,138,17,65,8621713865,Orsinium Area,862.1328125,-138.4921875,4.0,9,1,0.8985991263502815
Mountain,1,WOD_Mountain_02,136,871,139,88,97,8718813997,Orsinium Area,871.6875,-139.2421875,4.0,9,1,0.7667868807982794
Mountain,1,WOD_Mountain_08,-169,874,141,18,8,8741814108,Orsinium Area,874.140625,-141.9375,4.0,9,1,0.7805007845799368
Mountain,1,WOD_Mountain_01,172,875,140,91,90,8759114090,Orsinium Area,875.7109375,-140.296875,4.0,9,1,0.7959693466555386
Mountain,1,WOD_Mountain_04,-117,868,138,86,29,8688613829,Orsinium Area,868.671875,-138.7734375,4.0,9,1,0.6578908995370317
Mountain,1,WOD_Mountain_05,-164,862,139,47,125,86247139125,Orsinium Area,862.3671875,-139.0234375,4.0,9,1,0.7055468098490794
Mountain,1,WOD_Mountain_06,86,868,140,101,72,86810114072,Orsinium Area,868.7890625,-140.4375,4.0,9,1,0.8830638910151107
Mountain,1,WOD_Mountain_06,-20,871,138,113,5,87111313805,Orsinium Area,871.8828125,-138.9609375,4.0,9,1,0.6185033910266474
Mountain,1,WOD_Mountain_10,79,876,142,104,127,876104142127,Orsinium Area,876.8125,-142.0078125,4.0,9,1,0.9097353097455864
Mountain,1,WOD_Mountain_09,155,868,139,123,60,86812313960,Orsinium Area,868.9609375,-139.53125,4.0,9,1,0.8158782628277436
Mountain,1,WOD_Mountain_02,-154,877,141,44,1,8774414101,Orsinium Area,877.34375,-141.9921875,4.0,9,1,0.6470802876372045
Mountain,1,WOD_Mountain_01,-34,860,139,5,118,86005139118,Orsinium Area,860.0390625,-139.078125,4.0,9,1,0.7131201199630098
