name,type,prefab,rotYaxis,worldX,worldY,terrainX,terrainY,region,gisX,gisY,climate,sink,scale
Foothills,1,WOD_Mountain_Small_06,107,853,142,61,60,Orsinium Area,853.4765625,-142.53125,4.0,1,0.7533855
Foothills,1,WOD_Mountain_Small_04,41,856,142,33,123,Orsinium Area,856.2578125,-142.0390625,4.0,1,0.6432662
Foothills,1,WOD_Mountain_Small_07,-30,865,136,109,99,Orsinium Area,865.8515625,-136.2265625,4.0,1,0.7694199
Foothills,1,WOD_Mountain_Small_07,-21,873,142,128,8,Orsinium Area,874.0,-142.9375,4.0,1,0.7757894
Foothills,1,WOD_Mountain_Small_07,9,872,143,97,116,Orsinium Area,872.7578125,-143.09375,4.0,1,0.8935993
Foothills,1,WOD_Mountain_Small_03,-152,860,137,125,13,Orsinium Area,860.9765625,-137.8984375,4.0,1,0.678497
Foothills,1,WOD_Mountain_Small_05,34,855,142,29,20,Orsinium Area,855.2265625,-142.84375,4.0,1,0.6748813
Foothills,1,WOD_Mountain_Small_02,-136,863,140,5,44,Orsinium Area,863.0390625,-140.65625,4.0,1,0.7038459
Foothills,1,WOD_Mountain_Small_03,-80,862,140,108,20,Orsinium Area,862.84375,-140.84375,4.0,1,0.7623384
Foothills,1,WOD_Mountain_Small_03,141,861,140,41,6,Orsinium Area,861.3203125,-140.953125,4.0,1,0.607266
Foothills,1,WOD_Mountain_Small_01,-37,860,139,122,38,Orsinium Area,860.953125,-139.703125,4.0,1,0.8654597
Foothills,1,WOD_Mountain_Small_03,-73,861,136,86,29,Orsinium Area,861.671875,-136.7734375,4.0,1,0.8158928
Foothills,1,WOD_Mountain_Small_05,23,878,143,32,76,Orsinium Area,878.25,-143.40625,4.0,1,0.6927947
Foothills,1,WOD_Mountain_Small_07,-15,868,137,105,35,Orsinium Area,868.8203125,-137.7265625,4.0,1,0.791056
Foothills,1,WOD_Mountain_Small_07,100,854,142,101,58,Orsinium Area,854.7890625,-142.546875,4.0,1,0.8509985
Foothills,1,WOD_Mountain_Small_07,-99,853,141,97,118,Orsinium Area,853.7578125,-141.078125,4.0,1,0.7601364
Foothills,1,WOD_Mountain_Small_02,-118,866,137,1,0,Orsinium Area,866.0078125,-138.0,4.0,1,0.8878178
Foothills,1,WOD_Mountain_Small_07,112,855,141,104,79,Orsinium Area,855.8125,-141.3828125,4.0,1,0.7986305
Foothills,1,WOD_Mountain_Small_02,74,859,137,51,119,Orsinium Area,859.3984375,-137.0703125,4.0,1,0.691298
Foothills,1,WOD_Mountain_Small_02,106,853,141,36,81,Orsinium Area,853.28125,-141.3671875,4.0,1,0.8708409
Foothills,1,WOD_Mountain_Small_06,52,867,136,67,32,Orsinium Area,867.5234375,-136.75,4.0,1,0.9606732
Foothills,1,WOD_Mountain_Small_07,52,868,136,38,54,Orsinium Area,868.296875,-136.578125,4.0,1,0.7758476
Foothills,1,WOD_Mountain_Small_03,134,856,141,22,123,Orsinium Area,856.171875,-141.0390625,4.0,1,0.9831964
Foothills,1,WOD_Mountain_Small_06,47,867,136,35,81,Orsinium Area,867.2734375,-136.3671875,4.0,1,0.7397103
Foothills,1,WOD_Mountain_Small_07,109,859,137,28,124,Orsinium Area,859.21875,-137.03125,4.0,1,0.7728956
Foothills,1,WOD_Mountain_Small_03,52,877,143,116,110,Orsinium Area,877.90625,-143.140625,4.0,1,0.7555185
