name,type,prefab,worldX,worldY,terrainX,terrainY,locationID,region,gisX,gisY
Ruins,0,WOD_Ruins_04,558,12,38,92,558381292,Phrygias,558.296875,-12.28125
Ruins,0,WOD_Ruins_01,600,26,76,22,600762622,Phrygias,600.59375,-26.828125
Ruins,0,WOD_Ruins_05,575,11,72,5,575721105,Phrygias,575.5625,-11.9609375
Ruins,0,WOD_Ruins_02,588,3,105,125,58810503125,Phrygias,588.8203125,-3.0234375
Ruins,0,WOD_Ruins_03,467,8,13,33,467130833,Phrygias,467.1015625,-8.7421875
Ruins,0,WOD_Ruins_05,473,28,9,76,473092876,Phrygias,473.0703125,-28.40625
Ruins,0,WOD_Ruins_04,479,33,55,18,479553318,Phrygias,479.4296875,-33.859375
Ruins,0,WOD_Ruins_06,445,5,120,100,44512005100,Phrygias,445.9375,-5.21875
Ruins,0,WOD_Ruins_03,448,32,47,90,448473290,Phrygias,448.3671875,-32.296875
Ruins,0,WOD_Ruins_03,469,29,54,101,4695429101,Phrygias,469.421875,-29.2109375
